feature,modality,gene_symbol,selection_reason,training_variance
expr::SPARC (6678),expression,SPARC,variance,16.03631591796875
expr::KRT19 (3880),expression,KRT19,variance,14.856959342956543
expr::VIM (7431),expression,VIM,variance,13.641331672668457
expr::UCHL1 (7345),expression,UCHL1,variance,13.459461212158203
expr::SPP1 (6696),expression,SPP1,variance,13.40544319152832
expr::RPS4Y1 (6192),expression,RPS4Y1,variance,12.813858032226562
expr::TACSTD2 (4070),expression,TACSTD2,variance,12.488158226013184
expr::KRT17 (3872),expression,KRT17,variance,12.428689956665039
expr::KRT7 (3855),expression,KRT7,variance,12.390680313110352
expr::MT1E (4493),expression,MT1E,variance,12.32672119140625
expr::KRT5 (3852),expression,KRT5,variance,11.824883460998535
expr::IFI27 (3429),expression,IFI27,variance,11.581475257873535
expr::FXYD3 (5349),expression,FXYD3,variance,11.477372169494629
expr::AGR2 (10551),expression,AGR2,variance,11.273672103881836
expr::FN1 (2335),expression,FN1,variance,11.240999221801758
expr::S100A14 (57402),expression,S100A14,variance,11.12138557434082
expr::EPCAM (4072),expression,EPCAM,variance,11.116985321044922
expr::SPINT2 (10653),expression,SPINT2,variance,10.898920059204102
expr::TGFBI (7045),expression,TGFBI,variance,10.87251091003418
expr::S100P (6286),expression,S100P,variance,10.796990394592285
expr::COL1A2 (1278),expression,COL1A2,variance,10.742223739624023
expr::SLPI (6590),expression,SLPI,variance,10.685513496398926
expr::C19orf33 (64073),expression,C19ORF33,variance,10.551831245422363
expr::NNMT (4837),expression,NNMT,variance,10.533608436584473
expr::ALDH1A1 (216),expression,ALDH1A1,variance,10.380231857299805
expr::CDKN2A (1029),expression,CDKN2A,variance,10.353116035461426
expr::LCN2 (3934),expression,LCN2,variance,10.3208589553833
expr::MAL2 (114569),expression,MAL2,variance,10.23073673248291
expr::GPX2 (2877),expression,GPX2,variance,10.160079002380371
expr::EFEMP1 (2202),expression,EFEMP1,variance,10.131309509277344
expr::AKR1C2 (1646),expression,AKR1C2,variance,10.11941909790039
expr::IGFBP7 (3490),expression,IGFBP7,variance,10.030973434448242
expr::SERPINE1 (5054),expression,SERPINE1,variance,9.84133529663086
expr::CLDN4 (1364),expression,CLDN4,variance,9.780755996704102
expr::RAB25 (57111),expression,RAB25,variance,9.754487037658691
expr::XAGE1A (653220),expression,XAGE1A,variance,9.718391418457031
expr::MAGEA3 (4102),expression,MAGEA3,variance,9.626375198364258
expr::KRT6A (3853),expression,KRT6A,variance,9.478413581848145
expr::KRT8 (3856),expression,KRT8,variance,9.398201942443848
expr::THY1 (7070),expression,THY1,variance,9.395447731018066
expr::ALDH3A1 (218),expression,ALDH3A1,variance,9.3497953414917
expr::IGFBP3 (3486),expression,IGFBP3,variance,9.300880432128906
expr::CLDN7 (1366),expression,CLDN7,variance,9.178305625915527
expr::SFN (2810),expression,SFN,variance,9.148153305053711
expr::MMP1 (4312),expression,MMP1,variance,9.08114242553711
expr::CDH1 (999),expression,CDH1,variance,9.073084831237793
expr::MMP2 (4313),expression,MMP2,variance,9.022090911865234
expr::TFPI2 (7980),expression,TFPI2,variance,8.961885452270508
expr::BST2 (684),expression,BST2,variance,8.942991256713867
expr::ELF3 (1999),expression,ELF3,variance,8.923257827758789
expr::MAGEA4 (4103),expression,MAGEA4,variance,8.827430725097656
expr::IFITM1 (8519),expression,IFITM1,variance,8.746550559997559
expr::S100A4 (6275),expression,S100A4,variance,8.727494239807129
expr::MAGEA6 (4105),expression,MAGEA6,variance,8.715606689453125
expr::ADIRF (10974),expression,ADIRF,variance,8.675873756408691
expr::CRIP1 (1396),expression,CRIP1,variance,8.609590530395508
expr::TIMP3 (7078),expression,TIMP3,variance,8.603981971740723
expr::DKK1 (22943),expression,DKK1,variance,8.583632469177246
expr::BASP1 (10409),expression,BASP1,variance,8.556733131408691
expr::GJA1 (2697),expression,GJA1,variance,8.556153297424316
expr::ST14 (6768),expression,ST14,variance,8.546220779418945
expr::CD24 (100133941),expression,CD24,variance,8.538660049438477
expr::MYL9 (10398),expression,MYL9,variance,8.510231971740723
expr::TINAGL1 (64129),expression,TINAGL1,variance,8.498332023620605
expr::SRGN (5552),expression,SRGN,variance,8.396954536437988
expr::CD74 (972),expression,CD74,variance,8.392922401428223
expr::AKR1C1 (1645),expression,AKR1C1,variance,8.370454788208008
expr::AKR1C3 (8644),expression,AKR1C3,variance,8.349437713623047
expr::CXCL1 (2919),expression,CXCL1,variance,8.327606201171875
expr::S100A2 (6273),expression,S100A2,variance,8.291616439819336
expr::SERPINE2 (5270),expression,SERPINE2,variance,8.257349014282227
expr::ALDH1A3 (220),expression,ALDH1A3,variance,8.245656967163086
expr::CXCL8 (3576),expression,CXCL8,variance,8.22952938079834
expr::TGM2 (7052),expression,TGM2,variance,8.161206245422363
expr::PLAU (5328),expression,PLAU,variance,8.109957695007324
expr::TNC (3371),expression,TNC,variance,8.079036712646484
expr::C3 (718),expression,C3,variance,8.079018592834473
expr::LAMC2 (3918),expression,LAMC2,variance,8.050230026245117
expr::CDH3 (1001),expression,CDH3,variance,7.994661331176758
expr::CYBA (1535),expression,CYBA,variance,7.919118881225586
expr::CCL2 (6347),expression,CCL2,variance,7.864396572113037
expr::COL3A1 (1281),expression,COL3A1,variance,7.8320393562316895
expr::RBP1 (5947),expression,RBP1,variance,7.806728839874268
expr::SPOCK1 (6695),expression,SPOCK1,variance,7.77608060836792
expr::ANXA3 (306),expression,ANXA3,variance,7.770954608917236
expr::LOXL2 (4017),expression,LOXL2,variance,7.770841121673584
expr::AREG (374),expression,AREG,variance,7.759541988372803
expr::PRAME (23532),expression,PRAME,variance,7.746479034423828
expr::FGFBP1 (9982),expression,FGFBP1,variance,7.728493690490723
expr::ANXA8 (653145),expression,ANXA8,variance,7.710920810699463
expr::THBS1 (7057),expression,THBS1,variance,7.690282344818115
expr::VCAN (1462),expression,VCAN,variance,7.683944225311279
expr::EEF1A2 (1917),expression,EEF1A2,variance,7.642800331115723
expr::CLDN1 (9076),expression,CLDN1,variance,7.549124717712402
expr::CAV1 (857),expression,CAV1,variance,7.539119243621826
expr::EDIL3 (10085),expression,EDIL3,variance,7.487470626831055
expr::S100A9 (6280),expression,S100A9,variance,7.475121974945068
expr::DMKN (93099),expression,DMKN,variance,7.442722320556641
expr::AKR1B10 (57016),expression,AKR1B10,variance,7.42746639251709
expr::SPINT1 (6692),expression,SPINT1,variance,7.422152042388916
expr::SDC2 (6383),expression,SDC2,variance,7.4146013259887695
expr::XAGE1B (653067),expression,XAGE1B,variance,7.411080837249756
expr::KLK6 (5653),expression,KLK6,variance,7.409359931945801
expr::MALL (7851),expression,MALL,variance,7.3468756675720215
expr::KRT81 (3887),expression,KRT81,variance,7.341779708862305
expr::SLC43A3 (29015),expression,SLC43A3,variance,7.3322834968566895
expr::F3 (2152),expression,F3,variance,7.326476573944092
expr::CST6 (1474),expression,CST6,variance,7.3021240234375
expr::C15orf48 (84419),expression,C15ORF48,variance,7.284752368927002
expr::TSPAN1 (10103),expression,TSPAN1,variance,7.276158809661865
expr::CPA4 (51200),expression,CPA4,variance,7.268956661224365
expr::IGFBP2 (3485),expression,IGFBP2,variance,7.258080959320068
expr::GPNMB (10457),expression,GPNMB,variance,7.235490798950195
expr::COL1A1 (1277),expression,COL1A1,variance,7.214880466461182
expr::S100B (6285),expression,S100B,variance,7.191954135894775
expr::COL4A1 (1282),expression,COL4A1,variance,7.18784761428833
expr::PEG10 (23089),expression,PEG10,variance,7.181763172149658
