feature,modality,gene_symbol,selection_reason,training_variance
expr::SPARC (6678),expression,SPARC,variance,17.039398193359375
expr::KRT19 (3880),expression,KRT19,variance,14.938881874084473
expr::VIM (7431),expression,VIM,variance,14.57739543914795
expr::RPS4Y1 (6192),expression,RPS4Y1,variance,14.335991859436035
expr::UCHL1 (7345),expression,UCHL1,variance,13.710926055908203
expr::AGR2 (10551),expression,AGR2,variance,13.275409698486328
expr::SPP1 (6696),expression,SPP1,variance,12.966836929321289
expr::MT1E (4493),expression,MT1E,variance,12.441035270690918
expr::KRT7 (3855),expression,KRT7,variance,11.997405052185059
expr::FN1 (2335),expression,FN1,variance,11.716755867004395
expr::TACSTD2 (4070),expression,TACSTD2,variance,11.7086181640625
expr::KRT17 (3872),expression,KRT17,variance,11.435084342956543
expr::S100P (6286),expression,S100P,variance,11.36320686340332
expr::IFI27 (3429),expression,IFI27,variance,11.317239761352539
expr::COL1A2 (1278),expression,COL1A2,variance,11.202410697937012
expr::SPINT2 (10653),expression,SPINT2,variance,11.195077896118164
expr::EPCAM (4072),expression,EPCAM,variance,11.12405776977539
expr::TGFBI (7045),expression,TGFBI,variance,11.115097045898438
expr::NNMT (4837),expression,NNMT,variance,11.078557968139648
expr::FXYD3 (5349),expression,FXYD3,variance,11.018416404724121
expr::AKR1C2 (1646),expression,AKR1C2,variance,10.905145645141602
expr::ALDH1A1 (216),expression,ALDH1A1,variance,10.767187118530273
expr::IGFBP7 (3490),expression,IGFBP7,variance,10.753454208374023
expr::KRT5 (3852),expression,KRT5,variance,10.734983444213867
expr::S100A14 (57402),expression,S100A14,variance,10.660019874572754
expr::MAL2 (114569),expression,MAL2,variance,10.519996643066406
expr::CDKN2A (1029),expression,CDKN2A,variance,10.47637939453125
expr::C19orf33 (64073),expression,C19ORF33,variance,10.40123462677002
expr::SLPI (6590),expression,SLPI,variance,10.186685562133789
expr::SERPINE1 (5054),expression,SERPINE1,variance,10.109755516052246
expr::IGFBP3 (3486),expression,IGFBP3,variance,9.950409889221191
expr::GPX2 (2877),expression,GPX2,variance,9.89729118347168
expr::XAGE1A (653220),expression,XAGE1A,variance,9.872904777526855
expr::CLDN4 (1364),expression,CLDN4,variance,9.798932075500488
expr::THY1 (7070),expression,THY1,variance,9.721966743469238
expr::MMP2 (4313),expression,MMP2,variance,9.702618598937988
expr::RAB25 (57111),expression,RAB25,variance,9.656156539916992
expr::EFEMP1 (2202),expression,EFEMP1,variance,9.520244598388672
expr::LCN2 (3934),expression,LCN2,variance,9.512699127197266
expr::TFPI2 (7980),expression,TFPI2,variance,9.460209846496582
expr::ALDH3A1 (218),expression,ALDH3A1,variance,9.447842597961426
expr::CDH1 (999),expression,CDH1,variance,9.357086181640625
expr::KRT8 (3856),expression,KRT8,variance,9.343618392944336
expr::MAGEA3 (4102),expression,MAGEA3,variance,9.317018508911133
expr::S100A4 (6275),expression,S100A4,variance,9.310637474060059
expr::AKR1C3 (8644),expression,AKR1C3,variance,9.2929105758667
expr::CLDN7 (1366),expression,CLDN7,variance,9.061613082885742
expr::SFN (2810),expression,SFN,variance,9.060592651367188
expr::BASP1 (10409),expression,BASP1,variance,9.056131362915039
expr::CD24 (100133941),expression,CD24,variance,8.976777076721191
expr::ELF3 (1999),expression,ELF3,variance,8.97301959991455
expr::SRGN (5552),expression,SRGN,variance,8.954283714294434
expr::CXCL1 (2919),expression,CXCL1,variance,8.937848091125488
expr::CYBA (1535),expression,CYBA,variance,8.918570518493652
expr::AKR1C1 (1645),expression,AKR1C1,variance,8.899697303771973
expr::BST2 (684),expression,BST2,variance,8.731599807739258
expr::TIMP3 (7078),expression,TIMP3,variance,8.671249389648438
expr::CRIP1 (1396),expression,CRIP1,variance,8.618852615356445
expr::COL3A1 (1281),expression,COL3A1,variance,8.600128173828125
expr::IFITM1 (8519),expression,IFITM1,variance,8.566362380981445
expr::TINAGL1 (64129),expression,TINAGL1,variance,8.500625610351562
expr::COL1A1 (1277),expression,COL1A1,variance,8.496247291564941
expr::VCAN (1462),expression,VCAN,variance,8.461594581604004
expr::DKK1 (22943),expression,DKK1,variance,8.446383476257324
expr::ST14 (6768),expression,ST14,variance,8.437933921813965
expr::MMP1 (4312),expression,MMP1,variance,8.386210441589355
expr::CXCL8 (3576),expression,CXCL8,variance,8.383005142211914
expr::GJA1 (2697),expression,GJA1,variance,8.311492919921875
expr::PLAU (5328),expression,PLAU,variance,8.269804954528809
