feature,mean_abs_shap
expression__expr::S100A1 (6271),0.25256553
copy_number__cn::SIGLEC5 (8778),0.172806
copy_number__cn::MTAP (4507),0.17075463
expression__expr::FABP5 (2171),0.1526487
expression__expr::RRM2 (6241),0.139418
expression__expr::PRAME (23532),0.13860068
expression__expr::IGFBP7 (3490),0.12693934
expression__expr::NUPR1 (26471),0.12634236
expression__expr::S100A2 (6273),0.113740735
expression__expr::CDH1 (999),0.11370506
expression__expr::GDF15 (9518),0.10961615
mutations__mut::damaging::TP53 (7157),0.106761806
copy_number__cn::SIGLEC14 (100049587),0.10674713
copy_number__cn::MDM2 (4193),0.10093116
copy_number__cn::PPP1R1B (84152),0.1001996
mutations__mut::hotspot::TP53 (7157),0.09004938
expression__expr::RARRES2 (5919),0.07604776
copy_number__cn::OR4K5 (79317),0.07100057
expression__expr::GJA1 (2697),0.0703639
expression__expr::CD24 (100133941),0.06964254
expression__expr::CTHRC1 (115908),0.065748565
expression__expr::TACSTD2 (4070),0.06340854
expression__expr::TFPI2 (7980),0.061758906
expression__expr::ANXA3 (306),0.061590698
expression__expr::RAMP1 (10267),0.061571866
expression__expr::AKR1C3 (8644),0.059254434
expression__expr::BCAT1 (586),0.05764683
copy_number__cn::MIEN1 (84299),0.05739863
expression__expr::SMIM22 (440335),0.054561604
expression__expr::ST14 (6768),0.050907467
copy_number__cn::CYP24A1 (1591),0.048484974
expression__expr::STC2 (8614),0.04752186
expression__expr::SLC28A1 (9154),0.04546465
expression__expr::NT5E (4907),0.045211047
expression__expr::MCAM (4162),0.044714626
copy_number__cn::ENSG00000260861,0.043061152
expression__expr::IGFBP5 (3488),0.04135316
copy_number__cn::GRB7 (2886),0.038928177
expression__expr::SLC29A1 (2030),0.038676735
copy_number__cn::OR4K2 (390431),0.037141517
expression__expr::C15orf48 (84419),0.033775203
expression__expr::PDLIM4 (8572),0.03239094
expression__expr::PLIN2 (123),0.03219012
copy_number__cn::RRM1 (6240),0.029482814
expression__expr::TM4SF1 (4071),0.028364044
expression__expr::CDA (978),0.025509883
expression__expr::MGST1 (4257),0.024762373
copy_number__cn::ENSG00000268500,0.023887053
expression__expr::DCK (1633),0.023751425
copy_number__cn::P3H4 (10609),0.023132345
expression__expr::ELF3 (1999),0.02310487
expression__expr::S100B (6285),0.022940187
expression__expr::CLU (1191),0.022015193
expression__expr::G0S2 (50486),0.021568978
expression__expr::ALDH1A3 (220),0.019857537
copy_number__cn::SIRPB1 (10326),0.019259237
expression__expr::ITGB4 (3691),0.015197142
expression__expr::NTS (4922),0.014889846
expression__expr::IFITM1 (8519),0.014748776
copy_number__cn::CDK4 (1019),0.014469733
copy_number__cn::LRATD2 (157638),0.014451736
copy_number__cn::OR4K1 (79544),0.0131878825
expression__expr::S100A6 (6277),0.013074065
copy_number__cn::TRIB1 (10221),0.012943138
expression__expr::KYNU (8942),0.012696395
copy_number__cn::MBD6 (114785),0.012448329
expression__expr::SNRPN (6638),0.012135788
expression__expr::PLAC8 (51316),0.012115332
expression__expr::PLAU (5328),0.01208016
expression__expr::PLAT (5327),0.011722356
expression__expr::PLBD1 (79887),0.011635085
expression__expr::TRIM29 (23650),0.011605196
copy_number__cn::BCAS1 (8537),0.011370034
expression__expr::IL32 (9235),0.011261788
expression__expr::MT1E (4493),0.011185384
copy_number__cn::CMPK1 (51727),0.011023984
expression__expr::ANKRD1 (27063),0.010889643
expression__expr::THY1 (7070),0.010845775
copy_number__cn::MYCN (4613),0.010795202
expression__expr::ABCC3 (8714),0.01072602
expression__expr::FST (10468),0.010281275
copy_number__cn::CDA (978),0.009825052
expression__expr::RAB34 (83871),0.009711465
copy_number__cn::RRM2 (6241),0.009656616
copy_number__cn::UGT2B17 (7367),0.009555353
expression__expr::IL18 (3606),0.009516097
expression__expr::TUBA1A (7846),0.009423961
copy_number__cn::CCL3L3 (414062),0.009363025
expression__expr::CD44 (960),0.009272292
copy_number__cn::CTTN (2017),0.009270277
mutations__mut::damaging::RPL22 (6146),0.0
mutations__mut::hotspot::APC (324),0.0
mutations__mut::damaging::DNAH14 (127602),0.0
mutations__mut::damaging::KIAA1549 (57670),0.0
mutations__mut::damaging::SHB (6461),0.0
mutations__mut::damaging::CFAP65 (255101),0.0
mutations__mut::damaging::ABCA8 (10351),0.0
mutations__mut::damaging::INPPL1 (3636),0.0
mutations__mut::damaging::SYNE2 (23224),0.0
mutations__mut::damaging::SLC28A1 (9154),0.0
mutations__mut::damaging::RRM1 (6240),0.0
mutations__mut::damaging::NT5C2 (22978),0.0
mutations__mut::damaging::CMPK1 (51727),0.0
mutations__mut::damaging::CDA (978),0.0
mutations__mut::damaging::COL4A5 (1287),0.0
mutations__mut::damaging::USP9X (8239),0.0
mutations__mut::damaging::BRD3 (8019),0.0
mutations__mut::damaging::TNRC18 (84629),0.0
mutations__mut::damaging::MSH6 (2956),0.0
mutations__mut::damaging::NCOR1 (9611),0.0
mutations__mut::damaging::TLN2 (83660),0.0
mutations__mut::damaging::SORCS3 (22986),0.0
mutations__mut::damaging::CCDC168 (643677),0.0
mutations__mut::damaging::COL2A1 (1280),0.0
mutations__mut::damaging::KMT2A (4297),0.0
mutations__mut::damaging::FAT3 (120114),0.0
mutations__mut::damaging::KDM6A (7403),0.0
mutations__mut::damaging::CFAP47 (286464),0.0
mutations__mut::damaging::SUPT20HL2 (170067),0.0
mutations__mut::damaging::MXRA5 (25878),0.0
mutations__mut::damaging::NOTCH1 (4851),0.0
mutations__mut::damaging::CSMD1 (64478),0.0
mutations__mut::damaging::FLNB (2317),0.0
mutations__mut::damaging::NALCN (259232),0.0
mutations__mut::damaging::VWF (7450),0.0
mutations__mut::damaging::KIF26A (26153),0.0
mutations__mut::damaging::KMT2B (9757),0.0
mutations__mut::damaging::FAT1 (2195),0.0
mutations__mut::damaging::MUC19 (283463),0.0
mutations__mut::damaging::SYNE1 (23345),0.0
mutations__mut::damaging::SZT2 (23334),0.0
mutations__mut::damaging::RYR2 (6262),0.0
mutations__mut::damaging::KEAP1 (9817),0.0
mutations__mut::damaging::CACNA1E (777),0.0
mutations__mut::damaging::MBD6 (114785),0.0
mutations__mut::damaging::ZFHX3 (463),0.0
mutations__mut::damaging::CCDST (112268240),0.0
mutations__mut::damaging::RAB40A (142684),0.0
mutations__mut::damaging::ELOA (6924),0.0
mutations__mut::damaging::NOTCH3 (4854),0.0
mutations__mut::hotspot::PTEN (5728),0.0
mutations__mut::damaging::FSIP2 (401024),0.0
mutations__mut::damaging::PBRM1 (55193),0.0
mutations__mut::damaging::SLK (9748),0.0
mutations__mut::damaging::APC (324),0.0
mutations__mut::damaging::STK11 (6794),0.0
mutations__mut::damaging::NF2 (4771),0.0
mutations__mut::damaging::BCORL1 (63035),0.0
mutations__mut::hotspot::PIK3CA (5290),0.0
mutations__mut::damaging::PDS5B (23047),0.0
mutations__mut::damaging::SPAG8 (26206),0.0
mutations__mut::damaging::SPANXN4 (441525),0.0
mutations__mut::hotspot::BRAF (673),0.0
mutations__mut::damaging::JAK1 (3716),0.0
mutations__mut::damaging::MUC16 (94025),0.0
mutations__mut::damaging::RNF43 (54894),0.0
mutations__mut::damaging::AXIN1 (8312),0.0
mutations__mut::damaging::DMD (1756),0.0
mutations__mut::damaging::DOCK3 (1795),0.0
mutations__mut::damaging::VHL (7428),0.0
mutations__mut::damaging::SMAD4 (4089),0.0
mutations__mut::damaging::BRSK1 (84446),0.0
mutations__mut::damaging::TRMT9B (57604),0.0
mutations__mut::damaging::ACTRT1 (139741),0.0
mutations__mut::damaging::ALMS1 (7840),0.0
mutations__mut::damaging::BCOR (54880),0.0
mutations__mut::damaging::NRK (203447),0.0
mutations__mut::damaging::USP26 (83844),0.0
mutations__mut::hotspot::CTNNB1 (1499),0.0
mutations__mut::damaging::PCLO (27445),0.0
mutations__mut::damaging::PIEZO2 (63895),0.0
mutations__mut::damaging::SETD2 (29072),0.0
mutations__mut::damaging::ZNF469 (84627),0.0
mutations__mut::damaging::APOB (338),0.0
mutations__mut::damaging::NEB (4703),0.0
mutations__mut::damaging::FBXW7 (55294),0.0
mutations__mut::damaging::DST (667),0.0
mutations__mut::damaging::RERE (473),0.0
mutations__mut::damaging::SETD1B (23067),0.0
mutations__mut::damaging::SLITRK2 (84631),0.0
mutations__mut::damaging::CCDC73 (493860),0.0
mutations__mut::damaging::PIK3R1 (5295),0.0
mutations__mut::damaging::ARID1B (57492),0.0
mutations__mut::hotspot::NFE2L2 (4780),0.0
mutations__mut::damaging::LRRK2 (120892),0.0
mutations__mut::damaging::CREBBP (1387),0.0
mutations__mut::damaging::LRP1B (53353),0.0
mutations__mut::damaging::LMTK3 (114783),0.0
mutations__mut::damaging::NPM1P49 (100422284),0.0
mutations__mut::damaging::JAKMIP3 (282973),0.0
mutations__mut::damaging::LINC02138 (400558),0.0
mutations__mut::damaging::COL11A1 (1301),0.0
mutations__mut::damaging::DNAH9 (1770),0.0
mutations__mut::damaging::MSH3 (4437),0.0
mutations__mut::damaging::WNK2 (65268),0.0
mutations__mut::damaging::TYMS (7298),0.0
mutations__mut::damaging::SUPT20H (55578),0.0
copy_number__cn::DNAI7 (55259),0.0
copy_number__cn::CD44 (960),0.0
copy_number__cn::MMP10 (4319),0.0
copy_number__cn::CIMIP3 (114841037),0.0
copy_number__cn::NDUFC2 (4718),0.0
copy_number__cn::AVIL (10677),0.0
copy_number__cn::GUCA1A (2978),0.0
copy_number__cn::OR4C6 (219432),0.0
copy_number__cn::IFNE (338376),0.0
copy_number__cn::MED20 (9477),0.0
copy_number__cn::GLI1 (2735),0.0
copy_number__cn::DCTN2 (10540),0.0
copy_number__cn::OR4C11 (219429),0.0
copy_number__cn::ENSG00000285133,0.0
copy_number__cn::INHBE (83729),0.0
mutations__mut::damaging::KMT2C (58508),0.0
copy_number__cn::TSFM (10102),0.0
copy_number__cn::OR4S2 (219431),0.0
copy_number__cn::MRPL21 (219927),0.0
copy_number__cn::BIRC3 (330),0.0
copy_number__cn::BTNL3 (10917),0.0
copy_number__cn::OR4P4 (81300),0.0
copy_number__cn::CCND3 (896),0.0
copy_number__cn::DMRTA1 (63951),0.0
copy_number__cn::IRAG2 (4033),0.0
copy_number__cn::BYSL (705),0.0
copy_number__cn::MMP20 (9313),0.0
copy_number__cn::TAF8 (129685),0.0
copy_number__cn::ENSG00000257921,0.0
copy_number__cn::MMP8 (4317),0.0
copy_number__cn::FKBP10 (60681),0.0
copy_number__cn::C6orf132 (647024),0.0
lineage__meta::lineage_thyroid,0.0
lineage__meta::lineage_soft tissue,0.0
lineage__meta::lineage_skin,0.0
lineage__meta::lineage_pleura,0.0
lineage__meta::lineage_pancreas,0.0
lineage__meta::lineage_ovary/fallopian tube,0.0
lineage__meta::lineage_lung,0.0
lineage__meta::lineage_liver,0.0
lineage__meta::lineage_kidney,0.0
lineage__meta::lineage_head and neck,0.0
lineage__meta::lineage_esophagus/stomach,0.0
lineage__meta::lineage_cns/brain,0.0
lineage__meta::lineage_breast,0.0
lineage__meta::lineage_bowel,0.0
lineage__meta::lineage_bone,0.0
copy_number__cn::TMEM123 (114908),0.0
signatures__sig::LoHFraction,0.0
signatures__sig::CIN,0.0
signatures__sig::WGD,0.0
signatures__sig::Ploidy,0.0
signatures__sig::Aneuploidy,0.0
signatures__sig::MSIScore,0.0
copy_number__cn::TYMS (7298),0.0
expression__expr::ALDH1A1 (216),0.0
copy_number__cn::SLC28A1 (9154),0.0
copy_number__cn::DCK (1633),0.0
copy_number__cn::SLC29A1 (2030),0.0
copy_number__cn::NT5C2 (22978),0.0
lineage__meta::lineage_uterus,0.0
copy_number__cn::KIF5A (3798),0.0
copy_number__cn::MMP1 (4312),0.0
lineage__meta::lineage_bladder/urinary tract,0.0
copy_number__cn::KRAS (3845),0.0
copy_number__cn::ZPBP2 (124626),0.0
copy_number__cn::SMIM38 (107984345),0.0
copy_number__cn::PIP4K2C (79837),0.0
copy_number__cn::OS9 (10956),0.0
copy_number__cn::FADD (8772),0.0
copy_number__cn::B4GALNT1 (2583),0.0
copy_number__cn::IKZF3 (22806),0.0
copy_number__cn::ENSG00000287908,0.0
copy_number__cn::ARHGEF25 (115557),0.0
copy_number__cn::DTX3 (196403),0.0
copy_number__cn::FGF3 (2248),0.0
copy_number__cn::EGFR (1956),0.0
copy_number__cn::FGF4 (2249),0.0
copy_number__cn::MYEOV (26579),0.0
copy_number__cn::FAM133B (257415),0.0
copy_number__cn::AGAP2 (116986),0.0
copy_number__cn::TSPAN31 (6302),0.0
copy_number__cn::LTO1 (220064),0.0
copy_number__cn::FGF19 (9965),0.0
copy_number__cn::CCND1 (595),0.0
copy_number__cn::PNMT (5409),0.0
copy_number__cn::SEC61G (23480),0.0
copy_number__cn::TCAP (8557),0.0
copy_number__cn::PGAP3 (93210),0.0
copy_number__cn::ERBB2 (2064),0.0
copy_number__cn::MYC (4609),0.0
mutations__mut::hotspot::NT5C2 (22978),0.0
mutations__mut::damaging::SLC29A1 (2030),0.0
mutations__mut::damaging::DCK (1633),0.0
mutations__mut::damaging::RRM2 (6241),0.0
copy_number__cn::POU5F1B (5462),0.0
copy_number__cn::GUCA1B (2979),0.0
copy_number__cn::VOPP1 (81552),0.0
copy_number__cn::MMP27 (64066),0.0
copy_number__cn::NT5C3B (115024),0.0
copy_number__cn::MMP7 (4316),0.0
copy_number__cn::PPFIA1 (8500),0.0
copy_number__cn::LCE1D (353134),0.0
copy_number__cn::LANCL2 (55915),0.0
copy_number__cn::YAP1 (10413),0.0
copy_number__cn::MRGPRD (116512),0.0
copy_number__cn::MRGPRF (116535),0.0
copy_number__cn::GSTM1 (2944),0.0
copy_number__cn::CFAP300 (85016),0.0
copy_number__cn::TPCN2 (219931),0.0
copy_number__cn::IGHMBP2 (3508),0.0
copy_number__cn::ETFRF1 (144363),0.0
copy_number__cn::ACOT1 (641371),0.0
copy_number__cn::SLC35E3 (55508),0.0
copy_number__cn::ANO1 (55107),0.0
copy_number__cn::ENSG00000264545,0.0
copy_number__cn::MARCHF9 (92979),0.0
copy_number__cn::KRTAP9-6 (100507608),0.0
copy_number__cn::VSTM2A (222008),0.0
copy_number__cn::METTL1 (4234),0.0
copy_number__cn::LCE3C (353144),0.0
copy_number__cn::LCE3B (353143),0.0
copy_number__cn::CDK6 (1021),0.0
copy_number__cn::CYP27B1 (1594),0.0
copy_number__cn::ENSG00000287725,0.0
copy_number__cn::CDKN2B (1030),0.0
copy_number__cn::STARD3 (10948),0.0
copy_number__cn::EEF1AKMT3 (25895),0.0
copy_number__cn::CDKN2A (1029),0.0
expression__expr::GPNMB (10457),0.0
expression__expr::SLC43A3 (29015),0.0
expression__expr::TSPAN1 (10103),0.0
expression__expr::SERPINE2 (5270),0.0
expression__expr::TPM2 (7169),0.0
expression__expr::FSTL1 (11167),0.0
expression__expr::COL4A2 (1284),0.0
expression__expr::MAGEA4 (4103),0.0
expression__expr::IGFBP2 (3485),0.0
expression__expr::MALL (7851),0.0
expression__expr::SPOCK1 (6695),0.0
expression__expr::CDH3 (1001),0.0
expression__expr::COL4A1 (1282),0.0
expression__expr::LOXL2 (4017),0.0
expression__expr::THBS1 (7057),0.0
expression__expr::GSTM3 (2947),0.0
expression__expr::XAGE1B (653067),0.0
expression__expr::TGM2 (7052),0.0
expression__expr::COL5A2 (1290),0.0
expression__expr::KRT81 (3887),0.0
expression__expr::TSPAN8 (7103),0.0
expression__expr::COL6A2 (1292),0.0
expression__expr::SPINT1 (6692),0.0
expression__expr::CD74 (972),0.0
expression__expr::EDIL3 (10085),0.0
expression__expr::CST6 (1474),0.0
expression__expr::ADIRF (10974),0.0
expression__expr::FGFBP1 (9982),0.0
expression__expr::MLPH (79083),0.0
expression__expr::RBP1 (5947),0.0
expression__expr::F3 (2152),0.0
expression__expr::SDC2 (6383),0.0
expression__expr::DMKN (93099),0.0
expression__expr::CCDC80 (151887),0.0
expression__expr::ANXA8 (653145),0.0
expression__expr::CAVIN3 (112464),0.0
expression__expr::SERPINB2 (5055),0.0
expression__expr::AKR1B1 (231),0.0
expression__expr::PEG10 (23089),0.0
expression__expr::LGALS1 (3956),0.0
expression__expr::EREG (2069),0.0
expression__expr::PDZK1IP1 (10158),0.0
expression__expr::TFPI (7035),0.0
expression__expr::LDHB (3945),0.0
expression__expr::IL6 (3569),0.0
expression__expr::COL17A1 (1308),0.0
expression__expr::AXL (558),0.0
expression__expr::CYP24A1 (1591),0.0
expression__expr::DKK3 (27122),0.0
expression__expr::LUM (4060),0.0
expression__expr::BEX1 (55859),0.0
expression__expr::CRYAB (1410),0.0
expression__expr::EHF (26298),0.0
expression__expr::KRT18 (3875),0.0
expression__expr::CAV1 (857),0.0
expression__expr::PXDN (7837),0.0
expression__expr::PRSS8 (5652),0.0
expression__expr::S100A9 (6280),0.0
expression__expr::ESRP1 (54845),0.0
expression__expr::LY6K (54742),0.0
expression__expr::LAD1 (3898),0.0
expression__expr::CLDN1 (9076),0.0
expression__expr::SAA1 (6288),0.0
expression__expr::QPRT (23475),0.0
expression__expr::LAMA4 (3910),0.0
expression__expr::SERPINB5 (5268),0.0
expression__expr::RAB25 (57111),0.0
expression__expr::MMP2 (4313),0.0
expression__expr::CLDN4 (1364),0.0
expression__expr::XAGE1A (653220),0.0
expression__expr::GPX2 (2877),0.0
expression__expr::IGFBP3 (3486),0.0
expression__expr::SERPINE1 (5054),0.0
expression__expr::SLPI (6590),0.0
expression__expr::C19orf33 (64073),0.0
expression__expr::CDKN2A (1029),0.0
