feature,modality,gene_symbol,selection_reason,training_variance
expr::SPARC (6678),expression,SPARC,variance,15.719541549682617
expr::KRT19 (3880),expression,KRT19,variance,15.099316596984863
expr::VIM (7431),expression,VIM,variance,13.944685935974121
expr::UCHL1 (7345),expression,UCHL1,variance,13.64416217803955
expr::SPP1 (6696),expression,SPP1,variance,13.388672828674316
expr::RPS4Y1 (6192),expression,RPS4Y1,variance,13.095582962036133
expr::KRT7 (3855),expression,KRT7,variance,12.600581169128418
expr::MT1E (4493),expression,MT1E,variance,12.324027061462402
expr::TACSTD2 (4070),expression,TACSTD2,variance,12.188608169555664
expr::KRT17 (3872),expression,KRT17,variance,12.145583152770996
expr::IFI27 (3429),expression,IFI27,variance,12.095849990844727
expr::FN1 (2335),expression,FN1,variance,11.718483924865723
expr::AGR2 (10551),expression,AGR2,variance,11.712281227111816
expr::FXYD3 (5349),expression,FXYD3,variance,11.499591827392578
expr::S100A14 (57402),expression,S100A14,variance,11.482647895812988
expr::EPCAM (4072),expression,EPCAM,variance,11.422706604003906
expr::KRT5 (3852),expression,KRT5,variance,11.344040870666504
expr::C19orf33 (64073),expression,C19ORF33,variance,11.191720962524414
expr::TGFBI (7045),expression,TGFBI,variance,11.138059616088867
expr::SPINT2 (10653),expression,SPINT2,variance,11.032917976379395
expr::S100P (6286),expression,S100P,variance,10.969788551330566
expr::NNMT (4837),expression,NNMT,variance,10.883479118347168
expr::COL1A2 (1278),expression,COL1A2,variance,10.678906440734863
expr::LCN2 (3934),expression,LCN2,variance,10.661140441894531
expr::CDKN2A (1029),expression,CDKN2A,variance,10.618510246276855
expr::MAL2 (114569),expression,MAL2,variance,10.568798065185547
expr::GPX2 (2877),expression,GPX2,variance,10.395845413208008
expr::AKR1C2 (1646),expression,AKR1C2,variance,10.304136276245117
expr::SLPI (6590),expression,SLPI,variance,10.292750358581543
expr::ALDH1A1 (216),expression,ALDH1A1,variance,10.140207290649414
expr::TFPI2 (7980),expression,TFPI2,variance,10.090715408325195
expr::RAB25 (57111),expression,RAB25,variance,9.890406608581543
expr::SERPINE1 (5054),expression,SERPINE1,variance,9.871076583862305
expr::MMP1 (4312),expression,MMP1,variance,9.777482032775879
expr::ALDH3A1 (218),expression,ALDH3A1,variance,9.73763656616211
expr::CLDN4 (1364),expression,CLDN4,variance,9.730499267578125
expr::KRT8 (3856),expression,KRT8,variance,9.683918952941895
expr::EFEMP1 (2202),expression,EFEMP1,variance,9.595773696899414
expr::IGFBP7 (3490),expression,IGFBP7,variance,9.575132369995117
expr::IGFBP3 (3486),expression,IGFBP3,variance,9.467528343200684
expr::XAGE1A (653220),expression,XAGE1A,variance,9.383886337280273
expr::SFN (2810),expression,SFN,variance,9.273239135742188
expr::THY1 (7070),expression,THY1,variance,9.244656562805176
expr::IFITM1 (8519),expression,IFITM1,variance,9.232917785644531
expr::ELF3 (1999),expression,ELF3,variance,9.215481758117676
expr::CLDN7 (1366),expression,CLDN7,variance,9.197221755981445
expr::MAGEA3 (4102),expression,MAGEA3,variance,9.19343376159668
expr::CDH1 (999),expression,CDH1,variance,9.128890037536621
expr::MMP2 (4313),expression,MMP2,variance,9.043892860412598
expr::TIMP3 (7078),expression,TIMP3,variance,9.014349937438965
expr::AKR1C3 (8644),expression,AKR1C3,variance,8.925497055053711
expr::S100A4 (6275),expression,S100A4,variance,8.891080856323242
expr::CD24 (100133941),expression,CD24,variance,8.883219718933105
expr::PLAU (5328),expression,PLAU,variance,8.859511375427246
expr::BASP1 (10409),expression,BASP1,variance,8.853156089782715
expr::CXCL8 (3576),expression,CXCL8,variance,8.718111038208008
expr::BST2 (684),expression,BST2,variance,8.703902244567871
expr::MAGEA4 (4103),expression,MAGEA4,variance,8.643404960632324
expr::AKR1C1 (1645),expression,AKR1C1,variance,8.619579315185547
expr::ST14 (6768),expression,ST14,variance,8.600059509277344
expr::CXCL1 (2919),expression,CXCL1,variance,8.548322677612305
expr::KRT6A (3853),expression,KRT6A,variance,8.497142791748047
expr::GJA1 (2697),expression,GJA1,variance,8.482175827026367
expr::ADIRF (10974),expression,ADIRF,variance,8.445877075195312
expr::MAGEA6 (4105),expression,MAGEA6,variance,8.39853286743164
expr::CRIP1 (1396),expression,CRIP1,variance,8.381235122680664
expr::TINAGL1 (64129),expression,TINAGL1,variance,8.363615036010742
expr::DKK1 (22943),expression,DKK1,variance,8.319828987121582
expr::COL3A1 (1281),expression,COL3A1,variance,8.22935676574707
expr::RBP1 (5947),expression,RBP1,variance,8.212404251098633
expr::LAMC2 (3918),expression,LAMC2,variance,8.189742088317871
expr::C3 (718),expression,C3,variance,8.135878562927246
expr::PRAME (23532),expression,PRAME,variance,8.115124702453613
expr::ALDH1A3 (220),expression,ALDH1A3,variance,8.114434242248535
expr::SAA1 (6288),expression,SAA1,variance,8.095081329345703
expr::MGST1 (4257),expression,MGST1,variance,8.083333015441895
expr::SRGN (5552),expression,SRGN,variance,8.064521789550781
expr::KRT81 (3887),expression,KRT81,variance,7.974748611450195
expr::TGM2 (7052),expression,TGM2,variance,7.942074775695801
expr::ANXA3 (306),expression,ANXA3,variance,7.906923770904541
expr::CCL2 (6347),expression,CCL2,variance,7.863658905029297
expr::MYL9 (10398),expression,MYL9,variance,7.863400459289551
expr::F3 (2152),expression,F3,variance,7.832383632659912
expr::CD74 (972),expression,CD74,variance,7.829285144805908
expr::COL1A1 (1277),expression,COL1A1,variance,7.82255744934082
expr::KLK6 (5653),expression,KLK6,variance,7.682444095611572
expr::LOXL2 (4017),expression,LOXL2,variance,7.672999858856201
expr::TNC (3371),expression,TNC,variance,7.663490295410156
expr::SERPINE2 (5270),expression,SERPINE2,variance,7.653341293334961
expr::IGFBP2 (3485),expression,IGFBP2,variance,7.6491851806640625
expr::CYBA (1535),expression,CYBA,variance,7.602002143859863
expr::THBS1 (7057),expression,THBS1,variance,7.593188285827637
expr::VCAN (1462),expression,VCAN,variance,7.5809783935546875
expr::CDH3 (1001),expression,CDH3,variance,7.559665679931641
expr::EEF1A2 (1917),expression,EEF1A2,variance,7.556555271148682
expr::SPINT1 (6692),expression,SPINT1,variance,7.531684875488281
expr::S100A2 (6273),expression,S100A2,variance,7.524123191833496
