feature,mean_abs_shap
expression__expr::COL3A1 (1281),0.3102176
expression__expr::TPM2 (7169),0.24201196
expression__expr::TIMP3 (7078),0.22399703
copy_number__cn::SQLE (6713),0.21002981
expression__expr::GAL (51083),0.20419626
expression__expr::COL12A1 (1303),0.18830344
expression__expr::COL6A2 (1292),0.18314376
expression__expr::MIA (8190),0.16540833
signatures__sig::Aneuploidy,0.15293206
expression__expr::CLDN1 (9076),0.12829226
expression__expr::C15orf48 (84419),0.12591936
expression__expr::G0S2 (50486),0.1114302
expression__expr::MEST (4232),0.1090232
expression__expr::ITGB3 (3690),0.10512389
copy_number__cn::DMRTA1 (63951),0.094971865
expression__expr::KYNU (8942),0.08567065
expression__expr::RAB34 (83871),0.08143113
expression__expr::SNRPN (6638),0.070446685
signatures__sig::CIN,0.070008546
expression__expr::ANPEP (290),0.0683083
expression__expr::NT5E (4907),0.066843756
expression__expr::COL5A2 (1290),0.06540706
expression__expr::S100A1 (6271),0.06535616
copy_number__cn::GSTM1 (2944),0.06221842
expression__expr::IGFBP2 (3485),0.06072951
copy_number__cn::LCE3B (353143),0.05787598
expression__expr::CDH2 (1000),0.057592127
expression__expr::IGFBP7 (3490),0.05754837
copy_number__cn::OR4C6 (219432),0.056648906
expression__expr::CST6 (1474),0.05587029
copy_number__cn::KRAS (3845),0.055768445
expression__expr::AREG (374),0.055717148
expression__expr::PDLIM4 (8572),0.053314738
expression__expr::TGM2 (7052),0.049384978
copy_number__cn::BTNL3 (10917),0.04904784
expression__expr::CD24 (100133941),0.04842423
expression__expr::S100A4 (6275),0.04792371
expression__expr::MT1E (4493),0.047631394
expression__expr::IL32 (9235),0.04564877
expression__expr::EEF1A2 (1917),0.045605946
expression__expr::TUBA1A (7846),0.044079464
expression__expr::PI3 (5266),0.04406855
copy_number__cn::OR4K5 (79317),0.043797027
copy_number__cn::OR4K2 (390431),0.041891765
expression__expr::DDX3Y (8653),0.041856684
copy_number__cn::INHBE (83729),0.0416663
expression__expr::COL1A1 (1277),0.04068601
copy_number__cn::SIGLEC14 (100049587),0.040514234
expression__expr::SNCG (6623),0.03921069
expression__expr::LUM (4060),0.03742309
expression__expr::MFAP5 (8076),0.035379063
expression__expr::TGFBI (7045),0.03519554
expression__expr::SCNN1A (6337),0.03427289
expression__expr::ABCC3 (8714),0.033582393
expression__expr::LCP1 (3936),0.033280943
expression__expr::CSAG1 (158511),0.03324515
expression__expr::ATR (545),0.030961253
copy_number__cn::CDKN2B (1030),0.030045932
copy_number__cn::DDIT3 (1649),0.029228773
copy_number__cn::ZNF572 (137209),0.028742842
copy_number__cn::PIP4K2C (79837),0.028572408
expression__expr::AKR1B10 (57016),0.028146256
expression__expr::ANXA3 (306),0.027959365
expression__expr::IGFBP5 (3488),0.027809186
expression__expr::XAGE1B (653067),0.027560325
copy_number__cn::ENSG00000260861,0.026765391
expression__expr::CRYAB (1410),0.026173307
copy_number__cn::LCE1D (353134),0.025326971
expression__expr::CDKN2A (1029),0.024525069
expression__expr::COL5A1 (1289),0.02431165
expression__expr::BEX1 (55859),0.023823153
expression__expr::FN1 (2335),0.023795657
copy_number__cn::FKBP10 (60681),0.023219267
expression__expr::MMP2 (4313),0.022783672
copy_number__cn::ZPBP2 (124626),0.022730146
