feature,modality,gene_symbol,selection_reason,training_variance
expr::SPARC (6678),expression,SPARC,variance,15.777843475341797
expr::KRT19 (3880),expression,KRT19,variance,15.157078742980957
expr::VIM (7431),expression,VIM,variance,14.488537788391113
expr::RPS4Y1 (6192),expression,RPS4Y1,variance,13.408696174621582
expr::UCHL1 (7345),expression,UCHL1,variance,13.398055076599121
expr::AGR2 (10551),expression,AGR2,variance,13.155255317687988
expr::SPP1 (6696),expression,SPP1,variance,12.974625587463379
expr::KRT7 (3855),expression,KRT7,variance,12.821752548217773
expr::TACSTD2 (4070),expression,TACSTD2,variance,12.080808639526367
expr::S100P (6286),expression,S100P,variance,12.06606388092041
expr::MT1E (4493),expression,MT1E,variance,11.952635765075684
expr::S100A14 (57402),expression,S100A14,variance,11.810665130615234
expr::IFI27 (3429),expression,IFI27,variance,11.751336097717285
expr::EPCAM (4072),expression,EPCAM,variance,11.638111114501953
expr::KRT17 (3872),expression,KRT17,variance,11.55738353729248
expr::FN1 (2335),expression,FN1,variance,11.45915699005127
expr::FXYD3 (5349),expression,FXYD3,variance,11.437185287475586
expr::SPINT2 (10653),expression,SPINT2,variance,11.408063888549805
expr::GPX2 (2877),expression,GPX2,variance,11.241177558898926
expr::AKR1C2 (1646),expression,AKR1C2,variance,10.921964645385742
expr::C19orf33 (64073),expression,C19ORF33,variance,10.916385650634766
expr::MAL2 (114569),expression,MAL2,variance,10.858907699584961
expr::SLPI (6590),expression,SLPI,variance,10.84763240814209
expr::CDKN2A (1029),expression,CDKN2A,variance+biology,10.539366722106934
expr::KRT5 (3852),expression,KRT5,variance,10.537789344787598
expr::NNMT (4837),expression,NNMT,variance,10.48647689819336
expr::ALDH3A1 (218),expression,ALDH3A1,variance,10.292824745178223
expr::TGFBI (7045),expression,TGFBI,variance,10.270822525024414
expr::RAB25 (57111),expression,RAB25,variance,10.229183197021484
expr::EFEMP1 (2202),expression,EFEMP1,variance,10.206319808959961
expr::COL1A2 (1278),expression,COL1A2,variance,10.19593334197998
expr::CLDN4 (1364),expression,CLDN4,variance,10.17662525177002
expr::LCN2 (3934),expression,LCN2,variance,10.174318313598633
expr::TFPI2 (7980),expression,TFPI2,variance,9.816802024841309
