feature,modality,gene_symbol,selection_reason,training_variance
expr::SPARC (6678),expression,SPARC,variance,16.672101974487305
expr::KRT19 (3880),expression,KRT19,variance,14.428208351135254
expr::VIM (7431),expression,VIM,variance,14.06032657623291
expr::SPP1 (6696),expression,SPP1,variance,13.797335624694824
expr::UCHL1 (7345),expression,UCHL1,variance,13.536286354064941
expr::RPS4Y1 (6192),expression,RPS4Y1,variance,12.50703239440918
expr::TACSTD2 (4070),expression,TACSTD2,variance,12.3922119140625
expr::KRT17 (3872),expression,KRT17,variance,12.356797218322754
expr::MT1E (4493),expression,MT1E,variance,12.103242874145508
expr::AGR2 (10551),expression,AGR2,variance,12.091960906982422
expr::KRT7 (3855),expression,KRT7,variance,12.047396659851074
expr::KRT5 (3852),expression,KRT5,variance,11.996482849121094
expr::FXYD3 (5349),expression,FXYD3,variance,11.736180305480957
expr::FN1 (2335),expression,FN1,variance,11.426694869995117
expr::IFI27 (3429),expression,IFI27,variance,11.417561531066895
expr::S100A14 (57402),expression,S100A14,variance,11.286751747131348
expr::COL1A2 (1278),expression,COL1A2,variance,11.151382446289062
expr::EPCAM (4072),expression,EPCAM,variance,11.135756492614746
expr::S100P (6286),expression,S100P,variance,11.03433609008789
expr::SPINT2 (10653),expression,SPINT2,variance,10.899514198303223
expr::C19orf33 (64073),expression,C19ORF33,variance,10.671263694763184
expr::GPX2 (2877),expression,GPX2,variance,10.5227632522583
expr::AKR1C2 (1646),expression,AKR1C2,variance,10.502263069152832
expr::NNMT (4837),expression,NNMT,variance,10.432845115661621
expr::CDKN2A (1029),expression,CDKN2A,variance,10.294938087463379
expr::LCN2 (3934),expression,LCN2,variance,10.293706893920898
expr::ALDH1A1 (216),expression,ALDH1A1,variance,10.233135223388672
expr::TGFBI (7045),expression,TGFBI,variance,10.21766185760498
expr::EFEMP1 (2202),expression,EFEMP1,variance,10.161198616027832
expr::MAL2 (114569),expression,MAL2,variance,10.057239532470703
expr::THY1 (7070),expression,THY1,variance,9.983136177062988
expr::IGFBP7 (3490),expression,IGFBP7,variance,9.909607887268066
expr::RAB25 (57111),expression,RAB25,variance,9.792134284973145
expr::MMP1 (4312),expression,MMP1,variance,9.746709823608398
expr::SLPI (6590),expression,SLPI,variance,9.653066635131836
expr::SERPINE1 (5054),expression,SERPINE1,variance,9.605074882507324
expr::MAGEA3 (4102),expression,MAGEA3,variance,9.586419105529785
expr::CLDN4 (1364),expression,CLDN4,variance,9.552421569824219
expr::ALDH3A1 (218),expression,ALDH3A1,variance,9.425941467285156
