feature,modality,gene_symbol,selection_reason,training_variance
expr::SPARC (6678),expression,SPARC,variance,16.37956428527832
expr::KRT19 (3880),expression,KRT19,variance,14.896183013916016
expr::VIM (7431),expression,VIM,variance,13.851184844970703
expr::RPS4Y1 (6192),expression,RPS4Y1,variance,13.806069374084473
expr::UCHL1 (7345),expression,UCHL1,variance,13.667004585266113
expr::SPP1 (6696),expression,SPP1,variance,13.064111709594727
expr::KRT17 (3872),expression,KRT17,variance,12.807589530944824
expr::KRT7 (3855),expression,KRT7,variance,12.537625312805176
expr::MT1E (4493),expression,MT1E,variance,12.158565521240234
expr::KRT5 (3852),expression,KRT5,variance,12.054505348205566
expr::TACSTD2 (4070),expression,TACSTD2,variance,12.044670104980469
expr::AGR2 (10551),expression,AGR2,variance,12.025106430053711
expr::FXYD3 (5349),expression,FXYD3,variance,11.90530014038086
expr::IFI27 (3429),expression,IFI27,variance,11.665116310119629
expr::S100A14 (57402),expression,S100A14,variance,11.63957691192627
expr::S100P (6286),expression,S100P,variance,11.58643627166748
expr::FN1 (2335),expression,FN1,variance,11.538473129272461
expr::COL1A2 (1278),expression,COL1A2,variance,11.398812294006348
expr::TGFBI (7045),expression,TGFBI,variance,11.138031005859375
expr::GPX2 (2877),expression,GPX2,variance,10.984004020690918
expr::EPCAM (4072),expression,EPCAM,variance,10.960044860839844
expr::SPINT2 (10653),expression,SPINT2,variance,10.931615829467773
expr::AKR1C2 (1646),expression,AKR1C2,variance,10.613956451416016
expr::NNMT (4837),expression,NNMT,variance,10.608592987060547
expr::ALDH1A1 (216),expression,ALDH1A1,variance,10.584125518798828
expr::C19orf33 (64073),expression,C19ORF33,variance,10.46715259552002
expr::MAL2 (114569),expression,MAL2,variance,10.396181106567383
expr::SLPI (6590),expression,SLPI,variance,10.36846923828125
expr::CDKN2A (1029),expression,CDKN2A,variance,10.235984802246094
expr::IGFBP7 (3490),expression,IGFBP7,variance,10.18409538269043
expr::LCN2 (3934),expression,LCN2,variance,9.996346473693848
expr::EFEMP1 (2202),expression,EFEMP1,variance,9.971222877502441
expr::KRT6A (3853),expression,KRT6A,variance,9.971118927001953
expr::SERPINE1 (5054),expression,SERPINE1,variance,9.930439949035645
expr::RAB25 (57111),expression,RAB25,variance,9.921683311462402
expr::ALDH3A1 (218),expression,ALDH3A1,variance,9.82803726196289
expr::CLDN4 (1364),expression,CLDN4,variance,9.808138847351074
expr::THY1 (7070),expression,THY1,variance,9.73508071899414
expr::MMP2 (4313),expression,MMP2,variance,9.70316219329834
expr::MAGEA3 (4102),expression,MAGEA3,variance,9.56531047821045
expr::KRT8 (3856),expression,KRT8,variance,9.564192771911621
expr::MMP1 (4312),expression,MMP1,variance,9.50274658203125
expr::SFN (2810),expression,SFN,variance,9.381593704223633
expr::CLDN7 (1366),expression,CLDN7,variance,9.276731491088867
expr::IGFBP3 (3486),expression,IGFBP3,variance,9.231926918029785
expr::BST2 (684),expression,BST2,variance,8.995344161987305
expr::XAGE1A (653220),expression,XAGE1A,variance,8.96332836151123
expr::MAGEA4 (4103),expression,MAGEA4,variance,8.908184051513672
expr::ELF3 (1999),expression,ELF3,variance,8.89323616027832
expr::CDH1 (999),expression,CDH1,variance,8.829458236694336
expr::AKR1C1 (1645),expression,AKR1C1,variance,8.823375701904297
expr::S100A2 (6273),expression,S100A2,variance,8.802631378173828
expr::IFITM1 (8519),expression,IFITM1,variance,8.728950500488281
expr::BASP1 (10409),expression,BASP1,variance,8.713763236999512
expr::ADIRF (10974),expression,ADIRF,variance,8.68525505065918
expr::MAGEA6 (4105),expression,MAGEA6,variance,8.680874824523926
expr::AKR1C3 (8644),expression,AKR1C3,variance,8.657928466796875
expr::SRGN (5552),expression,SRGN,variance,8.657808303833008
expr::ST14 (6768),expression,ST14,variance,8.61741828918457
expr::GJA1 (2697),expression,GJA1,variance,8.528975486755371
expr::TINAGL1 (64129),expression,TINAGL1,variance,8.501167297363281
expr::CRIP1 (1396),expression,CRIP1,variance,8.484260559082031
expr::ALDH1A3 (220),expression,ALDH1A3,variance,8.471158981323242
expr::MYL9 (10398),expression,MYL9,variance,8.457076072692871
expr::PLAU (5328),expression,PLAU,variance,8.440433502197266
expr::CD24 (100133941),expression,CD24,variance,8.40427303314209
expr::TFPI2 (7980),expression,TFPI2,variance,8.379594802856445
expr::AKR1B10 (57016),expression,AKR1B10,variance,8.376072883605957
expr::DKK1 (22943),expression,DKK1,variance,8.364479064941406
expr::TIMP3 (7078),expression,TIMP3,variance,8.352253913879395
expr::CXCL8 (3576),expression,CXCL8,variance,8.344897270202637
expr::LOXL2 (4017),expression,LOXL2,variance,8.164569854736328
expr::S100A4 (6275),expression,S100A4,variance,8.138689994812012
expr::RBP1 (5947),expression,RBP1,variance,8.134315490722656
expr::TGM2 (7052),expression,TGM2,variance,8.105573654174805
expr::LAMC2 (3918),expression,LAMC2,variance,8.071155548095703
expr::CCL2 (6347),expression,CCL2,variance,8.06105899810791
expr::EDIL3 (10085),expression,EDIL3,variance,8.034865379333496
expr::ANXA8 (653145),expression,ANXA8,variance,7.989576816558838
