feature,modality,gene_symbol,selection_reason,training_variance
expr::SPARC (6678),expression,SPARC,variance,17.803428649902344
expr::KRT19 (3880),expression,KRT19,variance,15.158236503601074
expr::VIM (7431),expression,VIM,variance,14.56429386138916
expr::RPS4Y1 (6192),expression,RPS4Y1,variance,14.147120475769043
expr::AGR2 (10551),expression,AGR2,variance,13.912683486938477
expr::UCHL1 (7345),expression,UCHL1,variance,13.316353797912598
expr::SPP1 (6696),expression,SPP1,variance,12.55882453918457
expr::AKR1C2 (1646),expression,AKR1C2,variance,12.350194931030273
expr::MT1E (4493),expression,MT1E,variance,12.248414993286133
expr::FN1 (2335),expression,FN1,variance,12.007266998291016
expr::SPINT2 (10653),expression,SPINT2,variance,12.007108688354492
expr::COL1A2 (1278),expression,COL1A2,variance,11.858248710632324
expr::TACSTD2 (4070),expression,TACSTD2,variance,11.675395965576172
expr::S100P (6286),expression,S100P,variance,11.629642486572266
expr::KRT7 (3855),expression,KRT7,variance,11.567713737487793
expr::IFI27 (3429),expression,IFI27,variance,11.448263168334961
expr::TGFBI (7045),expression,TGFBI,variance,11.344303131103516
expr::EPCAM (4072),expression,EPCAM,variance,11.336756706237793
expr::ALDH1A1 (216),expression,ALDH1A1,variance,11.333486557006836
expr::FXYD3 (5349),expression,FXYD3,variance,11.301708221435547
expr::IGFBP7 (3490),expression,IGFBP7,variance,11.221647262573242
expr::KRT17 (3872),expression,KRT17,variance,11.121371269226074
expr::NNMT (4837),expression,NNMT,variance,10.986809730529785
expr::MAL2 (114569),expression,MAL2,variance,10.977598190307617
expr::S100A14 (57402),expression,S100A14,variance,10.926522254943848
expr::SLPI (6590),expression,SLPI,variance,10.779783248901367
expr::C19orf33 (64073),expression,C19ORF33,variance,10.673696517944336
expr::SERPINE1 (5054),expression,SERPINE1,variance,10.509279251098633
expr::GPX2 (2877),expression,GPX2,variance,10.496515274047852
expr::MMP2 (4313),expression,MMP2,variance,10.483624458312988
expr::CDKN2A (1029),expression,CDKN2A,variance,10.352388381958008
expr::XAGE1A (653220),expression,XAGE1A,variance,10.289060592651367
expr::KRT5 (3852),expression,KRT5,variance,10.100263595581055
expr::CLDN4 (1364),expression,CLDN4,variance,10.03653621673584
expr::IGFBP3 (3486),expression,IGFBP3,variance,10.01833438873291
expr::RAB25 (57111),expression,RAB25,variance,10.01358699798584
expr::KRT8 (3856),expression,KRT8,variance,10.002303123474121
expr::AKR1C1 (1645),expression,AKR1C1,variance,9.87479019165039
expr::AKR1C3 (8644),expression,AKR1C3,variance,9.826545715332031
expr::MAGEA3 (4102),expression,MAGEA3,variance,9.665460586547852
expr::ALDH3A1 (218),expression,ALDH3A1,variance,9.65221118927002
expr::THY1 (7070),expression,THY1,variance,9.636354446411133
expr::EFEMP1 (2202),expression,EFEMP1,variance,9.51906681060791
expr::CLDN7 (1366),expression,CLDN7,variance,9.43605899810791
expr::CDH1 (999),expression,CDH1,variance,9.403593063354492
expr::TFPI2 (7980),expression,TFPI2,variance,9.371499061584473
expr::SFN (2810),expression,SFN,variance,9.369306564331055
expr::S100A4 (6275),expression,S100A4,variance,9.325525283813477
expr::ELF3 (1999),expression,ELF3,variance,9.308582305908203
expr::CYBA (1535),expression,CYBA,variance,9.257343292236328
expr::LCN2 (3934),expression,LCN2,variance,9.174666404724121
expr::BASP1 (10409),expression,BASP1,variance,9.134430885314941
expr::AKR1B10 (57016),expression,AKR1B10,variance,9.098584175109863
expr::TIMP3 (7078),expression,TIMP3,variance,9.03795051574707
expr::COL1A1 (1277),expression,COL1A1,variance,9.00613784790039
expr::IFITM1 (8519),expression,IFITM1,variance,8.981159210205078
expr::MMP1 (4312),expression,MMP1,variance,8.951728820800781
expr::CXCL1 (2919),expression,CXCL1,variance,8.93006706237793
expr::BST2 (684),expression,BST2,variance,8.928474426269531
expr::CD24 (100133941),expression,CD24,variance,8.816498756408691
expr::TINAGL1 (64129),expression,TINAGL1,variance,8.697746276855469
expr::SRGN (5552),expression,SRGN,variance,8.694868087768555
expr::KRT81 (3887),expression,KRT81,variance,8.631965637207031
expr::ST14 (6768),expression,ST14,variance,8.60973834991455
expr::CRIP1 (1396),expression,CRIP1,variance,8.585741996765137
expr::COL6A3 (1293),expression,COL6A3,variance,8.568418502807617
expr::PLAU (5328),expression,PLAU,variance,8.556591987609863
