feature,mean_abs_shap
expression__expr::S100A2 (6273),0.4276759
copy_number__cn::MTAP (4507),0.3900824
mutations__mut::hotspot::TP53 (7157),0.23210888
expression__expr::MMP7 (4316),0.23201418
copy_number__cn::MDM2 (4193),0.20329612
copy_number__cn::SOX4 (6659),0.20109345
expression__expr::CTAG2 (30848),0.19417414
expression__expr::S100A1 (6271),0.1861298
expression__expr::PRAME (23532),0.18460985
expression__expr::BCAT1 (586),0.16738237
expression__expr::RAMP1 (10267),0.16361175
expression__expr::DCK (1633),0.14977671
copy_number__cn::SIGLEC5 (8778),0.14156011
expression__expr::GPX2 (2877),0.12386172
expression__expr::MIA (8190),0.12375819
copy_number__cn::GRB7 (2886),0.10492157
expression__expr::GDF15 (9518),0.0995187
expression__expr::MAGEA12 (4111),0.091042206
copy_number__cn::RRM1 (6240),0.08676345
expression__expr::G0S2 (50486),0.08200428
expression__expr::GJA1 (2697),0.078713484
copy_number__cn::SLC35E3 (55508),0.07453
expression__expr::QPCT (25797),0.07128492
copy_number__cn::ENSG00000260861,0.06646292
expression__expr::SLC28A1 (9154),0.06574113
expression__expr::CD24 (100133941),0.0656853
copy_number__cn::FKBP10 (60681),0.06399289
expression__expr::MMP1 (4312),0.059291102
expression__expr::FABP5 (2171),0.057856973
expression__expr::TIMP3 (7078),0.05775367
mutations__mut::damaging::TP53 (7157),0.056432366
copy_number__cn::KRAS (3845),0.05589402
expression__expr::IGFBP3 (3486),0.053852092
expression__expr::NTS (4922),0.051101778
expression__expr::CDH1 (999),0.04783183
expression__expr::IGFBP7 (3490),0.043481324
expression__expr::MAL2 (114569),0.040105786
expression__expr::LCP1 (3936),0.037017588
expression__expr::CPA4 (51200),0.036549024
expression__expr::MYEOV (26579),0.03334191
copy_number__cn::MIEN1 (84299),0.0311786
expression__expr::SMIM22 (440335),0.030942637
expression__expr::LUM (4060),0.029826121
copy_number__cn::KCTD14 (65987),0.029478015
expression__expr::SERPINE2 (5270),0.02944597
expression__expr::CDA (978),0.027632624
expression__expr::CD44 (960),0.027579587
expression__expr::DKK1 (22943),0.027437413
expression__expr::SLC43A3 (29015),0.026492799
expression__expr::ST14 (6768),0.026257193
expression__expr::NT5C2 (22978),0.02497424
expression__expr::RARRES2 (5919),0.02436281
copy_number__cn::OR4K5 (79317),0.023919629
expression__expr::TUBA4A (7277),0.022197008
expression__expr::SULF2 (55959),0.021895912
expression__expr::HLA-B (3106),0.021660144
copy_number__cn::CMPK1 (51727),0.021123165
copy_number__cn::RAPGEFL1 (51195),0.021063
copy_number__cn::NDUFC2-KCTD14 (100532726),0.020683922
expression__expr::GAGE12F (100008586),0.02033834
expression__expr::TSPAN1 (10103),0.01982864
expression__expr::LOX (4015),0.019072581
expression__expr::TM4SF1 (4071),0.018565949
expression__expr::CRIP1 (1396),0.018502532
copy_number__cn::ENSG00000268500,0.017191961
signatures__sig::MSIScore,0.016659634
expression__expr::AKR1C3 (8644),0.015742438
expression__expr::APOL1 (8542),0.013488135
copy_number__cn::P3H4 (10609),0.013257214
expression__expr::JUP (3728),0.012994951
expression__expr::SELENBP1 (8991),0.012121138
expression__expr::IL18 (3606),0.012012994
copy_number__cn::ENSG00000264545,0.011708689
expression__expr::AKR1C2 (1646),0.011621276
copy_number__cn::DNAI7 (55259),0.011589778
expression__expr::TCIM (56892),0.01129953
expression__expr::APOE (348),0.011222276
expression__expr::PTGES (9536),0.011209024
copy_number__cn::CDA (978),0.011127064
expression__expr::LOXL2 (4017),0.011080853
expression__expr::GPRC5A (9052),0.011055895
expression__expr::UCHL1 (7345),0.01101411
expression__expr::MAGEA4 (4103),0.010811844
expression__expr::ERBB3 (2065),0.01079398
copy_number__cn::SLC28A1 (9154),0.010225319
expression__expr::EPS8L2 (64787),0.010180601
expression__expr::LDHB (3945),0.0101468675
copy_number__cn::BIRC3 (330),0.010118325
expression__expr::MGST1 (4257),0.009954973
expression__expr::CAVIN3 (112464),0.009931372
copy_number__cn::DCTN2 (10540),0.009854996
expression__expr::PLAT (5327),0.009697775
expression__expr::COL9A3 (1299),0.009687666
expression__expr::C15orf48 (84419),0.009615248
copy_number__cn::B4GALNT1 (2583),0.009455376
copy_number__cn::DMRTA1 (63951),0.009393644
copy_number__cn::MBD6 (114785),0.0093044825
expression__expr::COL12A1 (1303),0.009166669
expression__expr::MMP14 (4323),0.009091202
expression__expr::IGFBP4 (3487),0.009035259
expression__expr::CD70 (970),0.0089357905
expression__expr::QPRT (23475),0.008844868
expression__expr::EMP1 (2012),0.008815153
expression__expr::RRM2 (6241),0.008626345
copy_number__cn::SLC29A1 (2030),0.008520948
expression__expr::XAGE1B (653067),0.008312922
expression__expr::MFAP2 (4237),0.008248683
expression__expr::PDZK1IP1 (10158),0.008188059
expression__expr::KRT81 (3887),0.008151458
copy_number__cn::GAST (2520),0.008117157
copy_number__cn::IKZF3 (22806),0.008106612
copy_number__cn::CYP24A1 (1591),0.00756498
expression__expr::SRGN (5552),0.0062804464
mutations__mut::damaging::COL4A5 (1287),0.0
mutations__mut::damaging::LRP1B (53353),0.0
mutations__mut::damaging::BAP1 (8314),0.0
mutations__mut::damaging::TRMT9B (57604),0.0
mutations__mut::damaging::ASXL2 (55252),0.0
mutations__mut::damaging::NRK (203447),0.0
mutations__mut::damaging::EPHB6 (2051),0.0
mutations__mut::damaging::PCLO (27445),0.0
mutations__mut::damaging::CMPK1 (51727),0.0
mutations__mut::damaging::CSMD3 (114788),0.0
mutations__mut::damaging::PBRM1 (55193),0.0
mutations__mut::damaging::B4GALNT4 (338707),0.0
mutations__mut::damaging::COL11A1 (1301),0.0
mutations__mut::damaging::DOCK11 (139818),0.0
mutations__mut::damaging::CDA (978),0.0
mutations__mut::damaging::BMPR2 (659),0.0
mutations__mut::damaging::ZMYM2 (7750),0.0
mutations__mut::damaging::KDM6A (7403),0.0
mutations__mut::damaging::DIPK2B (79742),0.0
mutations__mut::damaging::SALL4 (57167),0.0
mutations__mut::damaging::FAM133A (286499),0.0
mutations__mut::damaging::NCOR1 (9611),0.0
mutations__mut::damaging::KMT2A (4297),0.0
mutations__mut::hotspot::VHL (7428),0.0
mutations__mut::damaging::MSH3 (4437),0.0
mutations__mut::damaging::DNAH9 (1770),0.0
mutations__mut::damaging::PIK3R1 (5295),0.0
mutations__mut::damaging::SPAG8 (26206),0.0
mutations__mut::damaging::CREBBP (1387),0.0
mutations__mut::damaging::ACTRT1 (139741),0.0
mutations__mut::damaging::SPANXN4 (441525),0.0
mutations__mut::damaging::CCDC73 (493860),0.0
mutations__mut::damaging::ZNF469 (84627),0.0
mutations__mut::damaging::WNK2 (65268),0.0
mutations__mut::damaging::BCOR (54880),0.0
mutations__mut::hotspot::NFE2L2 (4780),0.0
mutations__mut::hotspot::CTNNB1 (1499),0.0
mutations__mut::damaging::LRRK2 (120892),0.0
mutations__mut::damaging::LMTK3 (114783),0.0
mutations__mut::damaging::RNF43 (54894),0.0
mutations__mut::hotspot::PTEN (5728),0.0
mutations__mut::damaging::ALMS1 (7840),0.0
mutations__mut::damaging::PDS5B (23047),0.0
mutations__mut::damaging::KMT2B (9757),0.0
mutations__mut::hotspot::PIK3CA (5290),0.0
mutations__mut::damaging::DMD (1756),0.0
mutations__mut::damaging::SZT2 (23334),0.0
mutations__mut::damaging::MUC19 (283463),0.0
mutations__mut::damaging::RAB40A (142684),0.0
mutations__mut::damaging::RYR2 (6262),0.0
mutations__mut::damaging::SLITRK2 (84631),0.0
mutations__mut::damaging::DOCK3 (1795),0.0
mutations__mut::damaging::CCDST (112268240),0.0
mutations__mut::damaging::NF2 (4771),0.0
