feature,modality,gene_symbol,selection_reason,training_variance
expr::SPARC (6678),expression,SPARC,variance,16.135738372802734
expr::KRT19 (3880),expression,KRT19,variance,15.422123908996582
expr::VIM (7431),expression,VIM,variance,13.946466445922852
expr::UCHL1 (7345),expression,UCHL1,variance,13.740461349487305
expr::KRT17 (3872),expression,KRT17,variance,12.935088157653809
expr::SPP1 (6696),expression,SPP1,variance,12.85742473602295
expr::KRT7 (3855),expression,KRT7,variance,12.68265438079834
expr::IFI27 (3429),expression,IFI27,variance,12.576099395751953
expr::TACSTD2 (4070),expression,TACSTD2,variance,12.502442359924316
expr::FN1 (2335),expression,FN1,variance,12.2981595993042
expr::MT1E (4493),expression,MT1E,variance,12.17821979522705
expr::AGR2 (10551),expression,AGR2,variance,11.912816047668457
expr::KRT5 (3852),expression,KRT5,variance,11.90744400024414
expr::RPS4Y1 (6192),expression,RPS4Y1,variance,11.795595169067383
expr::S100A14 (57402),expression,S100A14,variance,11.788809776306152
expr::TGFBI (7045),expression,TGFBI,variance,11.428877830505371
expr::FXYD3 (5349),expression,FXYD3,variance,11.417984962463379
expr::EPCAM (4072),expression,EPCAM,variance,11.291074752807617
expr::C19orf33 (64073),expression,C19ORF33,variance,11.25991153717041
expr::S100P (6286),expression,S100P,variance,11.196484565734863
expr::SPINT2 (10653),expression,SPINT2,variance,11.151662826538086
expr::LCN2 (3934),expression,LCN2,variance,11.145947456359863
expr::COL1A2 (1278),expression,COL1A2,variance,10.922635078430176
expr::MAL2 (114569),expression,MAL2,variance,10.874320030212402
expr::AKR1C2 (1646),expression,AKR1C2,variance,10.791253089904785
expr::CDKN2A (1029),expression,CDKN2A,variance,10.707040786743164
expr::NNMT (4837),expression,NNMT,variance,10.611089706420898
expr::GPX2 (2877),expression,GPX2,variance,10.587404251098633
expr::ALDH3A1 (218),expression,ALDH3A1,variance,10.554121971130371
expr::MMP1 (4312),expression,MMP1,variance,10.462329864501953
expr::SLPI (6590),expression,SLPI,variance,10.131569862365723
expr::RAB25 (57111),expression,RAB25,variance,10.122090339660645
expr::ALDH1A1 (216),expression,ALDH1A1,variance,10.073979377746582
expr::SERPINE1 (5054),expression,SERPINE1,variance,10.061638832092285
expr::EFEMP1 (2202),expression,EFEMP1,variance,9.94292163848877
expr::CLDN4 (1364),expression,CLDN4,variance,9.937373161315918
expr::KRT8 (3856),expression,KRT8,variance,9.907354354858398
expr::IGFBP7 (3490),expression,IGFBP7,variance,9.735169410705566
expr::IFITM1 (8519),expression,IFITM1,variance,9.586618423461914
expr::MAGEA3 (4102),expression,MAGEA3,variance,9.581897735595703
expr::TFPI2 (7980),expression,TFPI2,variance,9.520018577575684
expr::SFN (2810),expression,SFN,variance,9.499237060546875
expr::S100A4 (6275),expression,S100A4,variance,9.364911079406738
expr::AKR1C3 (8644),expression,AKR1C3,variance,9.352517127990723
expr::TIMP3 (7078),expression,TIMP3,variance,9.346037864685059
expr::CLDN7 (1366),expression,CLDN7,variance,9.295900344848633
expr::BST2 (684),expression,BST2,variance,9.289101600646973
expr::KRT6A (3853),expression,KRT6A,variance,9.227251052856445
expr::ELF3 (1999),expression,ELF3,variance,9.174627304077148
expr::CDH1 (999),expression,CDH1,variance,9.160016059875488
expr::BASP1 (10409),expression,BASP1,variance,9.051883697509766
expr::AKR1C1 (1645),expression,AKR1C1,variance,9.036020278930664
expr::THY1 (7070),expression,THY1,variance,9.0032377243042
expr::XAGE1A (653220),expression,XAGE1A,variance,8.975971221923828
expr::IGFBP3 (3486),expression,IGFBP3,variance,8.9500093460083
expr::CXCL8 (3576),expression,CXCL8,variance,8.906511306762695
expr::PLAU (5328),expression,PLAU,variance,8.888833045959473
expr::CD24 (100133941),expression,CD24,variance,8.809823989868164
expr::RBP1 (5947),expression,RBP1,variance,8.746371269226074
