feature,modality,gene_symbol,selection_reason,training_variance
expr::SPARC (6678),expression,SPARC,variance,16.030017852783203
expr::KRT19 (3880),expression,KRT19,variance,14.977293968200684
expr::VIM (7431),expression,VIM,variance,14.45172119140625
expr::SPP1 (6696),expression,SPP1,variance,13.736495018005371
expr::AGR2 (10551),expression,AGR2,variance,13.57490062713623
expr::UCHL1 (7345),expression,UCHL1,variance,13.171948432922363
expr::KRT7 (3855),expression,KRT7,variance,12.389404296875
expr::S100A14 (57402),expression,S100A14,variance,12.139415740966797
expr::TACSTD2 (4070),expression,TACSTD2,variance,12.050703048706055
expr::RPS4Y1 (6192),expression,RPS4Y1,variance,11.834112167358398
expr::GPX2 (2877),expression,GPX2,variance,11.816015243530273
expr::EPCAM (4072),expression,EPCAM,variance,11.795377731323242
expr::FXYD3 (5349),expression,FXYD3,variance,11.742233276367188
expr::MT1E (4493),expression,MT1E,variance,11.727831840515137
expr::S100P (6286),expression,S100P,variance,11.70345401763916
expr::IFI27 (3429),expression,IFI27,variance,11.598731994628906
expr::AKR1C2 (1646),expression,AKR1C2,variance,11.504364967346191
expr::FN1 (2335),expression,FN1,variance,11.438218116760254
expr::SPINT2 (10653),expression,SPINT2,variance,11.218623161315918
expr::ALDH3A1 (218),expression,ALDH3A1,variance,11.189949035644531
expr::KRT5 (3852),expression,KRT5,variance,11.145936965942383
expr::KRT17 (3872),expression,KRT17,variance,11.131097793579102
expr::MAL2 (114569),expression,MAL2,variance,11.046188354492188
expr::SLPI (6590),expression,SLPI,variance,10.889758110046387
expr::C19orf33 (64073),expression,C19ORF33,variance,10.855643272399902
expr::NNMT (4837),expression,NNMT,variance,10.822011947631836
expr::TGFBI (7045),expression,TGFBI,variance,10.494842529296875
expr::RAB25 (57111),expression,RAB25,variance,10.441536903381348
expr::CDKN2A (1029),expression,CDKN2A,variance+biology,10.432026863098145
expr::EFEMP1 (2202),expression,EFEMP1,variance,10.298887252807617
expr::LCN2 (3934),expression,LCN2,variance,10.235981941223145
expr::TFPI2 (7980),expression,TFPI2,variance,10.070475578308105
expr::CLDN4 (1364),expression,CLDN4,variance,10.024995803833008
expr::SERPINE1 (5054),expression,SERPINE1,variance,9.941779136657715
expr::AKR1C1 (1645),expression,AKR1C1,variance,9.76271915435791
expr::COL1A2 (1278),expression,COL1A2,variance,9.740325927734375
expr::XAGE1A (653220),expression,XAGE1A,variance,9.695809364318848
expr::MAGEA3 (4102),expression,MAGEA3,variance,9.680045127868652
expr::IGFBP7 (3490),expression,IGFBP7,variance,9.588833808898926
expr::CLDN7 (1366),expression,CLDN7,variance,9.520848274230957
expr::CDH1 (999),expression,CDH1,variance,9.496366500854492
expr::ELF3 (1999),expression,ELF3,variance,9.488740921020508
expr::AKR1C3 (8644),expression,AKR1C3,variance,9.452250480651855
expr::MMP2 (4313),expression,MMP2,variance,9.418157577514648
expr::ALDH1A1 (216),expression,ALDH1A1,variance,9.417750358581543
expr::THY1 (7070),expression,THY1,variance,9.324277877807617
expr::TSPAN8 (7103),expression,TSPAN8,variance,9.162202835083008
expr::S100A4 (6275),expression,S100A4,variance,9.088501930236816
expr::IGFBP3 (3486),expression,IGFBP3,variance,9.051236152648926
expr::ST14 (6768),expression,ST14,variance,8.9998197555542
expr::KRT6A (3853),expression,KRT6A,variance,8.977983474731445
expr::KRT8 (3856),expression,KRT8,variance,8.974791526794434
expr::CXCL8 (3576),expression,CXCL8,variance,8.94045352935791
expr::BST2 (684),expression,BST2,variance,8.925396919250488
expr::IFITM1 (8519),expression,IFITM1,variance,8.908074378967285
expr::DKK1 (22943),expression,DKK1,variance,8.904396057128906
expr::CRIP1 (1396),expression,CRIP1,variance,8.877620697021484
expr::C3 (718),expression,C3,variance,8.860857009887695
expr::CYBA (1535),expression,CYBA,variance,8.800033569335938
expr::BASP1 (10409),expression,BASP1,variance,8.790696144104004
expr::MAGEA6 (4105),expression,MAGEA6,variance,8.781523704528809
expr::SFN (2810),expression,SFN,variance,8.745477676391602
expr::CD24 (100133941),expression,CD24,variance,8.64269733428955
expr::CAV1 (857),expression,CAV1,variance,8.632171630859375
expr::PLAU (5328),expression,PLAU,variance,8.60401439666748
expr::MMP1 (4312),expression,MMP1,variance,8.580589294433594
expr::TGM2 (7052),expression,TGM2,variance,8.406923294067383
expr::KRT81 (3887),expression,KRT81,variance,8.366588592529297
expr::TINAGL1 (64129),expression,TINAGL1,variance,8.352530479431152
expr::CXCL1 (2919),expression,CXCL1,variance,8.34664249420166
expr::ADIRF (10974),expression,ADIRF,variance,8.2526216506958
expr::CD74 (972),expression,CD74,variance,8.245259284973145
expr::RBP1 (5947),expression,RBP1,variance,8.229479789733887
expr::ALDH1A3 (220),expression,ALDH1A3,variance,8.18464469909668
expr::GJA1 (2697),expression,GJA1,variance,8.183993339538574
expr::AKR1B10 (57016),expression,AKR1B10,variance,8.148384094238281
expr::AREG (374),expression,AREG,variance,8.107378959655762
expr::LAMC2 (3918),expression,LAMC2,variance,8.066546440124512
expr::EEF1A2 (1917),expression,EEF1A2,variance,7.985316753387451
expr::TIMP3 (7078),expression,TIMP3,variance,7.9626874923706055
expr::LOXL2 (4017),expression,LOXL2,variance,7.917202949523926
expr::SRGN (5552),expression,SRGN,variance,7.901583671569824
expr::VCAN (1462),expression,VCAN,variance,7.856568813323975
expr::C15orf48 (84419),expression,C15ORF48,variance,7.837300777435303
expr::TNC (3371),expression,TNC,variance,7.826899528503418
expr::MAGEA4 (4103),expression,MAGEA4,variance,7.8196821212768555
expr::FGFBP1 (9982),expression,FGFBP1,variance,7.801786422729492
expr::XAGE1B (653067),expression,XAGE1B,variance,7.775572299957275
expr::PRAME (23532),expression,PRAME,variance,7.766350269317627
expr::MYL9 (10398),expression,MYL9,variance,7.759988307952881
expr::ANXA3 (306),expression,ANXA3,variance,7.725118160247803
expr::SERPINE2 (5270),expression,SERPINE2,variance,7.697475433349609
expr::SPINT1 (6692),expression,SPINT1,variance,7.6571526527404785
expr::CCL2 (6347),expression,CCL2,variance,7.6553826332092285
expr::SERPINB5 (5268),expression,SERPINB5,variance,7.609770774841309
expr::SPOCK1 (6695),expression,SPOCK1,variance,7.56202507019043
expr::F3 (2152),expression,F3,variance,7.5494914054870605
expr::COL6A2 (1292),expression,COL6A2,variance,7.539762020111084
expr::MGST1 (4257),expression,MGST1,variance,7.539130210876465
expr::CLDN1 (9076),expression,CLDN1,variance,7.531107425689697
expr::S100A2 (6273),expression,S100A2,variance,7.510628700256348
expr::BEX1 (55859),expression,BEX1,variance,7.498352527618408
expr::THBS1 (7057),expression,THBS1,variance,7.45623254776001
expr::CDH3 (1001),expression,CDH3,variance,7.428950786590576
expr::S100A9 (6280),expression,S100A9,variance,7.39865779876709
expr::EHF (26298),expression,EHF,variance,7.374022483825684
expr::MALL (7851),expression,MALL,variance,7.371680736541748
expr::CTAG2 (30848),expression,CTAG2,variance,7.370296955108643
expr::CST6 (1474),expression,CST6,variance,7.368005752563477
expr::MLPH (79083),expression,MLPH,variance,7.31859827041626
expr::ESRP1 (54845),expression,ESRP1,variance,7.312483310699463
expr::G0S2 (50486),expression,G0S2,variance,7.302046775817871
expr::CEACAM6 (4680),expression,CEACAM6,variance,7.301607608795166
expr::COL3A1 (1281),expression,COL3A1,variance,7.266799449920654
expr::TM4SF1 (4071),expression,TM4SF1,variance,7.259739398956299
expr::PRSS8 (5652),expression,PRSS8,variance,7.245144367218018
expr::LAD1 (3898),expression,LAD1,variance,7.228152751922607
expr::QPRT (23475),expression,QPRT,variance,7.217392921447754
expr::TRIM29 (23650),expression,TRIM29,variance,7.217254638671875
expr::AXL (558),expression,AXL,variance,7.21359395980835
expr::KRT14 (3861),expression,KRT14,variance,7.192478179931641
expr::IFITM2 (10581),expression,IFITM2,variance,7.159348964691162
expr::EDIL3 (10085),expression,EDIL3,variance,7.148782730102539
expr::SAA1 (6288),expression,SAA1,variance,7.1438069343566895
expr::SULF2 (55959),expression,SULF2,variance,7.14077615737915
expr::DMKN (93099),expression,DMKN,variance,7.124129772186279
expr::IL32 (9235),expression,IL32,variance,7.106535911560059
expr::LGALS1 (3956),expression,LGALS1,variance,7.10055685043335
expr::IGFBP2 (3485),expression,IGFBP2,variance,7.062477111816406
expr::PLAC8 (51316),expression,PLAC8,variance,7.053642272949219
expr::KLK6 (5653),expression,KLK6,variance,7.0525803565979
expr::SERPINB2 (5055),expression,SERPINB2,variance,7.038716793060303
expr::PI3 (5266),expression,PI3,variance,7.027275085449219
expr::COL1A1 (1277),expression,COL1A1,variance,7.017448902130127
expr::KRT13 (3860),expression,KRT13,variance,7.015487194061279
expr::TPM2 (7169),expression,TPM2,variance,7.0005388259887695
expr::TSPAN1 (10103),expression,TSPAN1,variance,6.994882106781006
expr::EREG (2069),expression,EREG,variance,6.96352481842041
expr::DKK3 (27122),expression,DKK3,variance,6.928958892822266
expr::SMIM22 (440335),expression,SMIM22,variance,6.922069549560547
expr::COL4A1 (1282),expression,COL4A1,variance,6.88950777053833
expr::ANKRD1 (27063),expression,ANKRD1,variance,6.884527683258057
expr::COL4A2 (1284),expression,COL4A2,variance,6.879944801330566
expr::SLC43A3 (29015),expression,SLC43A3,variance,6.877316951751709
expr::ANXA8 (653145),expression,ANXA8,variance,6.862023830413818
expr::IGFBP4 (3487),expression,IGFBP4,variance,6.84269380569458
expr::IL6 (3569),expression,IL6,variance,6.827597618103027
expr::COL17A1 (1308),expression,COL17A1,variance,6.81292200088501
expr::IL18 (3606),expression,IL18,variance,6.771524906158447
expr::FSTL1 (11167),expression,FSTL1,variance,6.757052898406982
expr::COL6A3 (1293),expression,COL6A3,variance,6.755641937255859
expr::ADGRF1 (266977),expression,ADGRF1,variance,6.74772310256958
expr::ITGB4 (3691),expression,ITGB4,variance,6.743068218231201
expr::EMP3 (2014),expression,EMP3,variance,6.711065769195557
expr::GAGE12F (100008586),expression,GAGE12F,variance,6.69977331161499
