feature,mean_abs_shap
expression__expr::MUC1 (4582),0.32179913
copy_number__cn::UGT2B17 (7367),0.32062134
expression__expr::S100A4 (6275),0.23882964
copy_number__cn::NEUROD2 (4761),0.23298372
expression__expr::RB1 (5925),0.17894407
expression__expr::CDKN2A (1029),0.17418668
copy_number__cn::CDKN2B (1030),0.16291714
expression__expr::MFAP2 (4237),0.16209175
copy_number__cn::CCND2 (894),0.15672922
expression__expr::L1CAM (3897),0.15478154
copy_number__cn::CDKN2A (1029),0.1526827
expression__expr::CALB1 (793),0.14408529
expression__expr::RAMP1 (10267),0.13093938
expression__expr::S100B (6285),0.10794462
expression__expr::BCAT1 (586),0.1074258
expression__expr::CD70 (970),0.1067065
expression__expr::SLC43A3 (29015),0.10002308
expression__expr::FABP5 (2171),0.089006074
copy_number__cn::CCND3 (896),0.088409394
copy_number__cn::CTTN (2017),0.08764247
expression__expr::RPS4Y1 (6192),0.08461933
expression__expr::NT5E (4907),0.08213211
copy_number__cn::SIGLEC14 (100049587),0.075736105
expression__expr::EEF1A2 (1917),0.074301034
expression__expr::SMIM22 (440335),0.069806024
expression__expr::QPRT (23475),0.06980487
expression__expr::RBP1 (5947),0.0695218
expression__expr::CAV1 (857),0.068200774
expression__expr::IL1B (3553),0.06419671
expression__expr::GSTM3 (2947),0.061845783
copy_number__cn::OR4C6 (219432),0.056098945
expression__expr::SNRPN (6638),0.055725273
expression__expr::PLIN2 (123),0.05453118
copy_number__cn::LTO1 (220064),0.052866243
expression__expr::TSTD1 (100131187),0.05223596
expression__expr::GPX3 (2878),0.051458962
copy_number__cn::MYCN (4613),0.04531478
copy_number__cn::ENSG00000264545,0.043387763
expression__expr::CLDN3 (1365),0.041925676
copy_number__cn::TCAP (8557),0.04165588
expression__expr::SPP1 (6696),0.039950475
copy_number__cn::GSTM1 (2944),0.03904997
expression__expr::COL6A1 (1291),0.038699184
copy_number__cn::OR4P4 (81300),0.036666725
copy_number__cn::DMRTA1 (63951),0.035095297
expression__expr::PRAME (23532),0.032685306
copy_number__cn::ETFRF1 (144363),0.032257337
copy_number__cn::FKBP10 (60681),0.03225023
expression__expr::SFN (2810),0.03060264
expression__expr::SELENBP1 (8991),0.03054101
