feature,modality,gene_symbol,selection_reason,training_variance
expr::SPARC (6678),expression,SPARC,variance,16.324443817138672
expr::KRT19 (3880),expression,KRT19,variance,15.009894371032715
expr::SPP1 (6696),expression,SPP1,variance,13.921743392944336
expr::VIM (7431),expression,VIM,variance,13.611115455627441
expr::UCHL1 (7345),expression,UCHL1,variance,13.299189567565918
expr::KRT17 (3872),expression,KRT17,variance,12.954829216003418
expr::TACSTD2 (4070),expression,TACSTD2,variance,12.62407112121582
expr::KRT5 (3852),expression,KRT5,variance,12.463793754577637
expr::MT1E (4493),expression,MT1E,variance,12.402425765991211
expr::KRT7 (3855),expression,KRT7,variance,12.298233032226562
expr::AGR2 (10551),expression,AGR2,variance,12.1742525100708
expr::COL1A2 (1278),expression,COL1A2,variance,11.835800170898438
expr::FN1 (2335),expression,FN1,variance,11.78119945526123
expr::FXYD3 (5349),expression,FXYD3,variance,11.737564086914062
expr::IFI27 (3429),expression,IFI27,variance,11.56330394744873
expr::RPS4Y1 (6192),expression,RPS4Y1,variance,11.437641143798828
expr::S100A14 (57402),expression,S100A14,variance,11.309552192687988
expr::EPCAM (4072),expression,EPCAM,variance,11.131232261657715
expr::S100P (6286),expression,S100P,variance,11.056083679199219
expr::SPINT2 (10653),expression,SPINT2,variance,10.942648887634277
expr::C19orf33 (64073),expression,C19ORF33,variance,10.822736740112305
expr::LCN2 (3934),expression,LCN2,variance,10.70094108581543
expr::GPX2 (2877),expression,GPX2,variance,10.517452239990234
expr::THY1 (7070),expression,THY1,variance,10.324163436889648
expr::AKR1C2 (1646),expression,AKR1C2,variance,10.307023048400879
expr::NNMT (4837),expression,NNMT,variance,10.293784141540527
expr::ALDH1A1 (216),expression,ALDH1A1,variance,10.29277229309082
expr::TGFBI (7045),expression,TGFBI,variance,10.233978271484375
expr::CDKN2A (1029),expression,CDKN2A,variance,10.158631324768066
expr::EFEMP1 (2202),expression,EFEMP1,variance,9.986574172973633
expr::MAL2 (114569),expression,MAL2,variance,9.945680618286133
expr::IGFBP7 (3490),expression,IGFBP7,variance,9.911276817321777
expr::RAB25 (57111),expression,RAB25,variance,9.90179443359375
expr::ALDH3A1 (218),expression,ALDH3A1,variance,9.835813522338867
expr::MAGEA3 (4102),expression,MAGEA3,variance,9.736353874206543
