feature,mean_abs_shap
expression__expr::FSTL1 (11167),0.42345375
expression__expr::IGFBP5 (3488),0.25441307
expression__expr::CCN1 (3491),0.24489468
expression__expr::NF1 (4763),0.2407913
expression__expr::CLDN11 (5010),0.23655973
expression__expr::UCHL1 (7345),0.23299839
expression__expr::NT5E (4907),0.22440381
expression__expr::SDC2 (6383),0.22434874
expression__expr::PLAT (5327),0.22123541
expression__expr::DUSP6 (1848),0.21798623
expression__expr::NRAS (4893),0.19400056
expression__expr::BASP1 (10409),0.18430108
copy_number__cn::HPCAL4 (51440),0.183729
expression__expr::MAP2K1 (5604),0.15930864
expression__expr::LDOC1 (23641),0.15561156
expression__expr::LUM (4060),0.15118715
expression__expr::CD24 (100133941),0.12682
expression__expr::SPRY2 (10253),0.12507737
expression__expr::PRSS3 (5646),0.09756439
expression__expr::EMP1 (2012),0.096322425
expression__expr::SLC38A5 (92745),0.092323996
copy_number__cn::SPRY2 (10253),0.09194185
expression__expr::DKK1 (22943),0.08054503
expression__expr::TNS4 (84951),0.07026514
expression__expr::S100A4 (6275),0.06403604
expression__expr::FXYD3 (5349),0.06263109
expression__expr::S100A6 (6277),0.061875667
expression__expr::TIMP3 (7078),0.061460886
copy_number__cn::SLC35E3 (55508),0.052859824
expression__expr::STC2 (8614),0.052828997
expression__expr::TGM2 (7052),0.05278974
expression__expr::AREG (374),0.05251935
copy_number__cn::UGT2B17 (7367),0.049990933
copy_number__cn::SEC61G (23480),0.04743691
expression__expr::LCP1 (3936),0.043082513
expression__expr::IGFBP3 (3486),0.04206678
copy_number__cn::CDK6 (1021),0.04146073
copy_number__cn::MDM2 (4193),0.04064653
expression__expr::CD74 (972),0.038556166
copy_number__cn::BTNL3 (10917),0.034414545
expression__expr::ASS1 (445),0.030944534
expression__expr::MFAP5 (8076),0.029185003
expression__expr::GPX3 (2878),0.02882775
expression__expr::CRABP2 (1382),0.027498903
expression__expr::SNCG (6623),0.026525816
copy_number__cn::NRAS (4893),0.024333656
expression__expr::SNCA (6622),0.024055285
expression__expr::MMP14 (4323),0.02216989
copy_number__cn::FAM133B (257415),0.02207689
expression__expr::RBP1 (5947),0.021845024
expression__expr::PXDN (7837),0.02167569
expression__expr::SULF2 (55959),0.021565605
expression__expr::MFAP2 (4237),0.018148815
expression__expr::SLPI (6590),0.018096086
expression__expr::IFITM2 (10581),0.017276693
expression__expr::KLK10 (5655),0.016611682
expression__expr::LAMA4 (3910),0.016019402
expression__expr::SERPINE1 (5054),0.0158834
expression__expr::LYZ (4069),0.015831629
expression__expr::FABP5 (2171),0.015486672
expression__expr::TRIM29 (23650),0.015321322
copy_number__cn::CFAP300 (85016),0.014711326
copy_number__cn::EGFR (1956),0.014172681
expression__expr::DPYSL3 (1809),0.013883057
expression__expr::CAVIN3 (112464),0.013818571
copy_number__cn::CCND3 (896),0.013720464
expression__expr::MGP (4256),0.013659387
expression__expr::EPS8L2 (64787),0.01342278
expression__expr::QPRT (23475),0.0133086685
expression__expr::CES1 (1066),0.012631956
expression__expr::CYP24A1 (1591),0.0122692
expression__expr::SNRPN (6638),0.012259147
expression__expr::COL1A1 (1277),0.012068976
expression__expr::CD68 (968),0.012031116
copy_number__cn::ENSG00000260861,0.011817164
expression__expr::MMP1 (4312),0.011813096
expression__expr::PLAU (5328),0.011804946
expression__expr::PI3 (5266),0.011755311
copy_number__cn::CDKN2B (1030),0.011631822
expression__expr::EREG (2069),0.011384876
expression__expr::C1R (715),0.010895943
expression__expr::PRAME (23532),0.010779797
copy_number__cn::FGF4 (2249),0.010044659
expression__expr::PEG10 (23089),0.009986378
expression__expr::LAMB3 (3914),0.00993932
expression__expr::MALL (7851),0.009914971
expression__expr::S100A2 (6273),0.009884694
expression__expr::EEF1A2 (1917),0.00907245
expression__expr::SLC43A3 (29015),0.008747626
expression__expr::COL6A1 (1291),0.008697027
expression__expr::BMP4 (652),0.008496149
expression__expr::SERPINE2 (5270),0.008346769
expression__expr::IL6 (3569),0.008211808
expression__expr::GAGE12F (100008586),0.008197515
expression__expr::NUPR1 (26471),0.0075569353
expression__expr::CALB1 (793),0.007219899
expression__expr::KRT14 (3861),0.007159698
expression__expr::IGFBP6 (3489),0.007030578
expression__expr::MYEOV (26579),0.0069574974
copy_number__cn::LCE3B (353143),0.0069488883
expression__expr::AGR2 (10551),0.0067548407
expression__expr::CRIP1 (1396),0.0065943
expression__expr::AKR1C2 (1646),0.0063808504
copy_number__cn::HAP1 (9001),0.006249754
copy_number__cn::ACOT1 (641371),0.005723724
expression__expr::TCIM (56892),0.0050307666
expression__expr::ACKR3 (57007),0.0044966675
mutations__mut::damaging::LMTK3 (114783),0.0
mutations__mut::damaging::CCDC168 (643677),0.0
mutations__mut::damaging::DNAH14 (127602),0.0
mutations__mut::damaging::RAB40A (142684),0.0
mutations__mut::damaging::DOCK11 (139818),0.0
mutations__mut::damaging::MBD6 (114785),0.0
mutations__mut::damaging::SPANXN4 (441525),0.0
mutations__mut::damaging::CSMD1 (64478),0.0
mutations__mut::damaging::MAP3K4 (4216),0.0
mutations__mut::damaging::JAK1 (3716),0.0
mutations__mut::damaging::SYNE1 (23345),0.0
mutations__mut::damaging::KMT2A (4297),0.0
mutations__mut::damaging::WDTC1 (23038),0.0
mutations__mut::damaging::MUC19 (283463),0.0
mutations__mut::damaging::LINC02138 (400558),0.0
mutations__mut::damaging::TRIOBP (11078),0.0
mutations__mut::hotspot::STK11 (6794),0.0
mutations__mut::damaging::MACF1 (23499),0.0
mutations__mut::damaging::BRSK1 (84446),0.0
mutations__mut::damaging::NCOR1 (9611),0.0
mutations__mut::damaging::PHF3 (23469),0.0
mutations__mut::damaging::BSN (8927),0.0
mutations__mut::hotspot::MAP2K1 (5604),0.0
mutations__mut::damaging::CFAP65 (255101),0.0
mutations__mut::hotspot::NRAS (4893),0.0
mutations__mut::damaging::FSIP2 (401024),0.0
mutations__mut::damaging::EP300 (2033),0.0
mutations__mut::damaging::BRAF (673),0.0
mutations__mut::damaging::EGFR (1956),0.0
mutations__mut::damaging::MAP2K1 (5604),0.0
mutations__mut::damaging::SPRY2 (10253),0.0
mutations__mut::damaging::FAT1 (2195),0.0
mutations__mut::damaging::TRMT9B (57604),0.0
mutations__mut::hotspot::PTEN (5728),0.0
mutations__mut::damaging::KRAS (3845),0.0
mutations__mut::damaging::PIK3R1 (5295),0.0
mutations__mut::damaging::MKI67 (4288),0.0
mutations__mut::damaging::NRAS (4893),0.0
mutations__mut::damaging::LRRK2 (120892),0.0
mutations__mut::damaging::NEB (4703),0.0
mutations__mut::damaging::USP6 (9098),0.0
mutations__mut::damaging::USH2A (7399),0.0
mutations__mut::damaging::PCLO (27445),0.0
mutations__mut::damaging::VPS13B (157680),0.0
mutations__mut::damaging::TENM3 (55714),0.0
mutations__mut::damaging::DUSP6 (1848),0.0
mutations__mut::damaging::AFDN (4301),0.0
mutations__mut::damaging::RPL22 (6146),0.0
mutations__mut::damaging::CCDST (112268240),0.0
mutations__mut::damaging::NOTCH3 (4854),0.0
mutations__mut::damaging::MSH6 (2956),0.0
mutations__mut::damaging::KDM6A (7403),0.0
mutations__mut::damaging::SETD2 (29072),0.0
mutations__mut::damaging::SETD1B (23067),0.0
mutations__mut::damaging::PBRM1 (55193),0.0
mutations__mut::damaging::ARID2 (196528),0.0
mutations__mut::damaging::XIRP2 (129446),0.0
mutations__mut::damaging::BCOR (54880),0.0
mutations__mut::damaging::CACNA1E (777),0.0
mutations__mut::damaging::SLITRK2 (84631),0.0
mutations__mut::damaging::NOTCH1 (4851),0.0
mutations__mut::damaging::B2M (567),0.0
mutations__mut::damaging::MGA (23269),0.0
mutations__mut::damaging::JAKMIP3 (282973),0.0
mutations__mut::damaging::CSMD3 (114788),0.0
mutations__mut::damaging::HMCN1 (83872),0.0
mutations__mut::damaging::PKHD1L1 (93035),0.0
mutations__mut::damaging::KMT2B (9757),0.0
mutations__mut::damaging::FBXW7 (55294),0.0
mutations__mut::damaging::DNAH5 (1767),0.0
mutations__mut::damaging::AKAP9 (10142),0.0
mutations__mut::damaging::YLPM1 (56252),0.0
mutations__mut::damaging::CUBN (8029),0.0
mutations__mut::damaging::BTBD8 (284697),0.0
mutations__mut::hotspot::APC (324),0.0
mutations__mut::damaging::RYR2 (6262),0.0
mutations__mut::damaging::WNK2 (65268),0.0
mutations__mut::damaging::SORCS3 (22986),0.0
mutations__mut::damaging::RYR3 (6263),0.0
mutations__mut::damaging::SRPK3 (26576),0.0
mutations__mut::damaging::ARID1B (57492),0.0
mutations__mut::hotspot::NFE2L2 (4780),0.0
mutations__mut::damaging::DMD (1756),0.0
mutations__mut::damaging::COL11A1 (1301),0.0
mutations__mut::damaging::VHL (7428),0.0
mutations__mut::damaging::RP1 (6101),0.0
mutations__mut::damaging::EP400 (57634),0.0
mutations__mut::damaging::BRCA1 (672),0.0
mutations__mut::damaging::PKDREJ (10343),0.0
mutations__mut::damaging::SVIL (6840),0.0
mutations__mut::damaging::TNRC18 (84629),0.0
mutations__mut::hotspot::SMAD4 (4089),0.0
mutations__mut::damaging::INPPL1 (3636),0.0
mutations__mut::damaging::MSH3 (4437),0.0
mutations__mut::damaging::MLH1 (4292),0.0
mutations__mut::damaging::RNF43 (54894),0.0
