gene,n_models,spearman_log2_wgs_vs_portal,wgs_missing_fraction,portal_missing_fraction
MYCN (4613),1118,1.0,0.0,0.0
MYC (4609),1118,1.0,0.0,0.0
POU5F1B (5462),1118,1.0,0.0,0.0
MIEN1 (84299),1118,1.0,0.0,0.0
ERBB2 (2064),1118,1.0,0.0,0.0
PGAP3 (93210),1118,1.0,0.0,0.0
GRB7 (2886),1118,1.0,0.0,0.0
MDM2 (4193),1118,1.0,0.0,0.0
TCAP (8557),1118,1.0,0.0,0.0
DDX1 (1653),1118,1.0,0.0,0.0
SLC35E3 (55508),1118,1.0,0.0,0.0
PNMT (5409),1118,1.0,0.0,0.0
CCND1 (595),1118,1.0,0.0,0.0
CCL3L3 (414062),1118,1.0,0.0,0.0
TSPAN31 (6302),1118,1.0,0.0,0.0
CDK4 (1019),1118,1.0,0.0,0.0
LTO1 (220064),1118,1.0,0.0,0.0
CPM (1368),1118,1.0,0.0,0.0
FGF4 (2249),1118,1.0,0.0,0.0
STARD3 (10948),1118,1.0,0.0,0.0
FGF19 (9965),1118,1.0,0.0,0.0
AGAP2 (116986),1118,1.0,0.0,0.0
MARCHF9 (92979),1118,1.0,0.0,0.0
PPP1R1B (84152),1118,1.0,0.0,0.0
KRAS (3845),1118,1.0,0.0,0.0
ETFRF1 (144363),1118,1.0,0.0,0.0
ENSG00000260861,1118,1.0,0.0,0.0
CDKN2A (1029),1118,1.0,0.0,0.0
MYEOV (26579),1118,1.0,0.0,0.0
CDKN2B (1030),1118,1.0,0.0,0.0
ENSG00000264545,1118,1.0,0.0,0.0
CYP27B1 (1594),1118,1.0,0.0,0.0
NUP107 (57122),1118,1.0,0.0,0.0
ACOT1 (641371),1118,1.0,0.0,0.0
SIRPB1 (10326),1118,1.0,0.0,0.0
FGF3 (2248),1118,1.0,0.0,0.0
NEUROD2 (4761),1118,1.0,0.0,0.0
LCE3B (353143),1118,1.0,0.0,0.0
CCT2 (10576),1118,1.0,0.0,0.0
METTL1 (4234),1118,1.0,0.0,0.0
KRTAP9-6 (100507608),1118,1.0,0.0,0.0
FRS2 (10818),1118,1.0,0.0,0.0
SEC61G (23480),1118,1.0,0.0,0.0
EEF1AKMT3 (25895),1118,1.0,0.0,0.0
IKZF3 (22806),1118,1.0,0.0,0.0
MYCL (4610),1118,1.0,0.0,0.0
SMIM38 (107984345),1118,1.0,0.0,0.0
GSTM1 (2944),1118,1.0,0.0,0.0
LRRC10 (376132),1118,1.0,0.0,0.0
MTAP (4507),1118,1.0,0.0,0.0
ANO1 (55107),1118,1.0,0.0,0.0
FADD (8772),1118,1.0,0.0,0.0
ZPBP2 (124626),1118,1.0,0.0,0.0
LRATD2 (157638),1118,1.0,0.0,0.0
ENSG00000257921,1118,1.0,0.0,0.0
B4GALNT1 (2583),1118,1.0,0.0,0.0
ATP23 (91419),1118,1.0,0.0,0.0
NBAS (51594),1118,1.0,0.0,0.0
IGHMBP2 (3508),1118,1.0,0.0,0.0
MMP8 (4317),1118,1.0,0.0,0.0
CTDSP2 (10106),1118,1.0,0.0,0.0
ENSG00000287908,1118,1.0,0.0,0.0
CPSF6 (11052),1118,1.0,0.0,0.0
LCE1D (353134),1118,1.0,0.0,0.0
EGFR (1956),1118,1.0,0.0,0.0
ARHGEF25 (115557),1118,1.0,0.0,0.0
DTX3 (196403),1118,1.0,0.0,0.0
OS9 (10956),1118,1.0,0.0,0.0
TSFM (10102),1118,1.0,0.0,0.0
ENSG00000287725,1118,1.0,0.0,0.0
BTNL3 (10917),1118,1.0,0.0,0.0
MRGPRF (116535),1118,1.0,0.0,0.0
DMRTA1 (63951),1118,1.0,0.0,0.0
VSTM2A (222008),1118,1.0,0.0,0.0
AVIL (10677),1118,1.0,0.0,0.0
SIGLEC5 (8778),1118,1.0,0.0,0.0
PPFIA1 (8500),1118,1.0,0.0,0.0
TRIT1 (54802),1118,1.0,0.0,0.0
CTTN (2017),1118,1.0,0.0,0.0
LYZ (4069),1118,1.0,0.0,0.0
OR4K5 (79317),1118,1.0,0.0,0.0
TPCN2 (219931),1118,1.0,0.0,0.0
HPCAL4 (51440),1118,1.0,0.0,0.0
PIP4K2C (79837),1118,1.0,0.0,0.0
ORMDL3 (94103),1118,1.0,0.0,0.0
MRGPRD (116512),1118,1.0,0.0,0.0
OR4K2 (390431),1118,1.0,0.0,0.0
GSDMB (55876),1118,1.0,0.0,0.0
ENSG00000268500,1118,1.0,0.0,0.0
IRAG2 (4033),1118,1.0,0.0,0.0
IFNA2 (3440),1118,1.0,0.0,0.0
UPK3B (105375355),1118,1.0,0.0,0.0
SIGLEC14 (100049587),1118,1.0,0.0,0.0
HEATR4 (399671),1118,1.0,0.0,0.0
MMP27 (64066),1118,1.0,0.0,0.0
BCAT1 (586),1118,1.0,0.0,0.0
OR4K1 (79544),1118,1.0,0.0,0.0
YAP1 (10413),1118,1.0,0.0,0.0
MMP7 (4316),1118,1.0,0.0,0.0
LRRC3C (100505591),1118,1.0,0.0,0.0
CFAP300 (85016),1118,1.0,0.0,0.0
GSDMA (284110),1118,1.0,0.0,0.0
PPIE (10450),1118,1.0,0.0,0.0
OR4C6 (219432),1118,1.0,0.0,0.0
LMNTD1 (160492),1118,1.0,0.0,0.0
TRIB1 (10221),1118,1.0,0.0,0.0
KLHL38 (340359),1118,1.0,0.0,0.0
MMP1 (4312),1118,1.0,0.0,0.0
MMP10 (4319),1118,1.0,0.0,0.0
MMP20 (9313),1118,1.0,0.0,0.0
CDK12 (51755),1118,1.0,0.0,0.0
KLHL9 (55958),1118,1.0,0.0,0.0
IFNA6 (3443),1118,1.0,0.0,0.0
NTAQ1 (55093),1118,1.0,0.0,0.0
BRF2 (55290),1118,1.0,0.0,0.0
MMP13 (4322),1118,1.0,0.0,0.0
HLA-C (3107),1118,1.0,0.0,0.0
MMP3 (4314),1118,1.0,0.0,0.0
HEYL (26508),1118,1.0,0.0,0.0
BIRC3 (330),1118,1.0,0.0,0.0
ENSG00000277971,1118,1.0,0.0,0.0
IFNA8 (3445),1118,1.0,0.0,0.0
MRPL21 (219927),1118,1.0,0.0,0.0
SLC7A4 (6545),1118,1.0,0.0,0.0
OR56B2 (390073),1118,1.0,0.0,0.0
MTBP (27085),1118,1.0,0.0,0.0
IFNG (3458),1118,1.0,0.0,0.0
PLPP5 (84513),1118,1.0,0.0,0.0
EXT1 (2131),1118,1.0,0.0,0.0
TNFRSF11B (4982),1118,1.0,0.0,0.0
ZHX1-C8orf76 (100533106),1118,1.0,0.0,0.0
MCL1 (4170),1118,1.0,0.0,0.0
CLPS (1208),1118,1.0,0.0,0.0
MMP12 (4321),1118,1.0,0.0,0.0
RPS4Y1 (6192),1118,1.0,0.0,0.0
RNF139 (11236),1118,1.0,0.0,0.0
OR2T10 (127069),1118,1.0,0.0,0.0
OR52N5 (390075),1118,1.0,0.0,0.0
ZNF74 (7625),1118,1.0,0.0,0.0
FBXO32 (114907),1118,1.0,0.0,0.0
ZNF572 (137209),1118,1.0,0.0,0.0
ADRB3 (155),1118,1.0,0.0,0.0
SQLE (6713),1118,1.0,0.0,0.0
TMEM65 (157378),1118,1.0,0.0,0.0
NDUFB9 (4715),1118,1.0,0.0,0.0
WASHC5 (9897),1118,1.0,0.0,0.0
ANXA13 (312),1118,1.0,0.0,0.0
COL9A2 (1298),1118,1.0,0.0,0.0
SRY (6736),1118,1.0,0.0,0.0
ADGRA2 (25960),1118,1.0,0.0,0.0
GSTM2 (2946),1118,1.0,0.0,0.0
RAB11FIP1 (80223),1118,1.0,0.0,0.0
SERPIND1 (3053),1118,1.0,0.0,0.0
TRMT12 (55039),1118,1.0,0.0,0.0
FER1L6 (654463),1118,1.0,0.0,0.0
GOT1L1 (137362),1118,1.0,0.0,0.0
GSDMD (79792),1118,1.0,0.0,0.0
FAM91A1 (157769),1118,1.0,0.0,0.0
ERLIN2 (11160),1118,1.0,0.0,0.0
IL22 (50616),1118,1.0,0.0,0.0
THAP7 (80764),1118,1.0,0.0,0.0
TMEM123 (114908),1118,1.0,0.0,0.0
C19orf12 (83636),1118,1.0,0.0,0.0
PLEKHF1 (79156),1118,1.0,0.0,0.0
MTSS1 (9788),1118,1.0,0.0,0.0
ZNF703 (80139),1118,1.0,0.0,0.0
C8orf76 (84933),1118,1.0,0.0,0.0
POP4 (10775),1118,1.0,0.0,0.0
RAP1B (5908),1118,1.0,0.0,0.0
PLPBP (11212),1118,1.0,0.0,0.0
TESMIN (9633),1118,1.0,0.0,0.0
LZTR1 (8216),1118,1.0,0.0,0.0
DCUN1D5 (84259),1118,1.0,0.0,0.0
MRPL13 (28998),1118,1.0,0.0,0.0
VOPP1 (81552),1118,1.0,0.0,0.0
PPT1 (5538),1118,1.0,0.0,0.0
ZFY (7544),1118,1.0,0.0,0.0
LANCL2 (55915),1118,1.0,0.0,0.0
OTX2 (5015),1118,1.0,0.0,0.0
GAL (51083),1118,1.0,0.0,0.0
CSF3 (1440),1118,1.0,0.0,0.0
DERL1 (79139),1118,1.0,0.0,0.0
HAS2 (3037),1118,1.0,0.0,0.0
NSMCE2 (286053),1118,1.0,0.0,0.0
AIFM3 (150209),1118,1.0,0.0,0.0
ATAD2 (29028),1118,1.0,0.0,0.0
RLF (6018),1118,1.0,0.0,0.0
RPL19 (6143),1118,1.0,0.0,0.0
PFDN4 (5203),1118,1.0,0.0,0.0
DDHD2 (23259),1118,1.0,0.0,0.0
SLC30A8 (169026),1118,1.0,0.0,0.0
ZHX1 (11244),1118,1.0,0.0,0.0
TMCO2 (127391),1118,1.0,0.0,0.0
LETM2 (137994),1118,1.0,0.0,0.0
STAR (6770),1118,1.0,0.0,0.0
RSF1 (51773),1118,1.0,0.0,0.0
MED1 (5469),1118,1.0,0.0,0.0
CCN3 (4856),1118,1.0,0.0,0.0
AARD (441376),1118,1.0,0.0,0.0
TBC1D31 (93594),1118,1.0,0.0,0.0
SNTB1 (6641),1118,1.0,0.0,0.0
COLEC10 (10584),1118,1.0,0.0,0.0
MED30 (90390),1118,1.0,0.0,0.0
EIF4EBP1 (1978),1118,1.0,0.0,0.0
ANGPTL5 (253935),1118,1.0,0.0,0.0
SLC6A19 (340024),1118,1.0,0.0,0.0
RAD21 (5885),1118,1.0,0.0,0.0
NT5C1A (84618),1118,1.0,0.0,0.0
CD44 (960),1118,1.0,0.0,0.0
IFNW1 (3467),1118,1.0,0.0,0.0
ADAMTSL4 (54507),1118,1.0,0.0,0.0
IFNB1 (3456),1118,1.0,0.0,0.0
UTP23 (84294),1118,1.0,0.0,0.0
IL26 (55801),1118,1.0,0.0,0.0
FGFR1 (2260),1118,1.0,0.0,0.0
CYP24A1 (1591),1118,1.0,0.0,0.0
CCNE1 (898),1118,1.0,0.0,0.0
BHLHE41 (79365),1118,1.0,0.0,0.0
DCTN2 (10540),1118,1.0,0.0,0.0
ENPP2 (5168),1118,1.0,0.0,0.0
SSPN (8082),1118,1.0,0.0,0.0
NDUFC2 (4718),1118,1.0,0.0,0.0
URI1 (8725),1118,1.0,0.0,0.0
CNOT2 (4848),1118,1.0,0.0,0.0
RASSF8 (11228),1118,1.0,0.0,0.0
ENSG00000285133,1118,1.0,0.0,0.0
AMELY (266),1118,1.0,0.0,0.0
TBL1Y (90665),1118,1.0,0.0,0.0
ENSG00000285880,1118,1.0,0.0,0.0
TUSC1 (286319),1118,1.0,0.0,0.0
ZHX2 (22882),1118,1.0,0.0,0.0
ECM1 (1893),1118,1.0,0.0,0.0
BCAS1 (8537),1118,1.0,0.0,0.0
GSDMC (56169),1118,1.0,0.0,0.0
LSM1 (27257),1118,1.0,0.0,0.0
UGT2B17 (7367),1118,0.9999999999999998,0.0,0.0
LCE3C (353144),1118,0.9999999999999998,0.0,0.0
IFNA14 (3448),1118,0.9999999999999998,0.0,0.0
OR4C11 (219429),1118,0.9999999999999998,0.0,0.0
IFNE (338376),1118,0.9999999999999998,0.0,0.0
OR4P4 (81300),1118,0.9999999999999998,0.0,0.0
OR4S2 (219431),1118,0.9999999999999998,0.0,0.0
ELAVL2 (1993),1118,0.9999999999999998,0.0,0.0
DDX3Y (8653),1118,0.9999999999999998,0.0,0.0
CYRIA (81553),1118,0.9999999978531774,0.0,0.0
BEST3 (144453),1118,0.9999999978531772,0.0,0.0
CEP126 (57562),1118,0.9999999978531772,0.0,0.0
YEATS4 (8089),1118,0.9999999978531772,0.0,0.0
SCARF2 (91179),1118,0.9999999978531772,0.0,0.0
DNAI7 (55259),1118,0.9999999957063546,0.0,0.0
