drug,n_models,screened_universe,coverage_fraction,missing_fraction,response_variance,q25,q75,n_sensitive,n_resistant,n_lineages,accepted,rejection_reason
gdc-0879,402,480,0.8375,0.16249999999999998,0.19542047674648066,0.9803875690175418,1.6497574751277049,101,101,23,True,
ingenol-mebutate,448,480,0.9333333333333333,0.06666666666666665,0.1629498767548436,0.754025627905486,1.2294368523171575,112,112,23,True,
12-o-tetradecanoylphorbol-13-acetate,416,480,0.8666666666666667,0.1333333333333333,0.14937131079488436,0.736625369319844,1.259371971974995,104,104,24,True,
otx015,387,480,0.80625,0.19374999999999998,0.14865074223179045,0.7622577870837299,1.217852885418465,97,97,24,True,
lgx818,434,480,0.9041666666666667,0.09583333333333333,0.14164298005906648,0.9053193125045987,1.4398647550477175,109,109,24,True,
halcinonide,413,480,0.8604166666666667,0.13958333333333328,0.13670366671302286,1.19618441555055,1.60223351660614,104,104,24,True,
mk-2461,459,480,0.95625,0.043749999999999956,0.132765389639745,0.8654246986537479,1.382468553862945,115,115,24,True,
methylprednisolone,398,480,0.8291666666666667,0.17083333333333328,0.1319154059612998,1.0950950957640826,1.4941228036466199,100,100,24,True,
halobetasol-propionate,449,480,0.9354166666666667,0.06458333333333333,0.13179215539851824,0.887458359627479,1.30185608408141,113,113,24,True,
prednisolone,391,480,0.8145833333333333,0.18541666666666667,0.12241612059165174,0.9496199102184044,1.4238922380180852,98,98,24,True,
beclomethasone-dipropionate,404,480,0.8416666666666667,0.15833333333333333,0.120581399522204,0.8765617374346185,0.9978240953168704,101,101,24,True,
jq1-(+),448,480,0.9333333333333333,0.06666666666666665,0.11540660420070838,0.8253970026982265,1.2598192176754825,112,112,23,True,
flumethasone,445,480,0.9270833333333334,0.07291666666666663,0.11445235573063671,0.865763235625151,1.31893431566809,112,112,23,True,
i-bet151,439,480,0.9145833333333333,0.0854166666666667,0.11359238132014472,1.022181872381985,1.5187120712823399,110,110,24,True,
zln005,417,480,0.86875,0.13124999999999998,0.10994191097395242,0.964976263004876,1.50557286462453,105,105,23,True,
cgm097,425,480,0.8854166666666666,0.11458333333333337,0.10890755199648341,0.888201072087306,1.42104684778356,107,107,23,True,
2'-meccpa,412,480,0.8583333333333333,0.14166666666666672,0.10655220780041262,1.1793437382453051,1.5269729144807624,103,103,24,True,
clobetasol-propionate,424,480,0.8833333333333333,0.1166666666666667,0.10579461542332677,0.9119905682305163,1.288196104638255,106,106,24,True,
prednisolone-hemisuccinate,455,480,0.9479166666666666,0.05208333333333337,0.10572049063932343,0.8875747961257956,1.42213568455625,114,114,24,True,
buphenine,405,480,0.84375,0.15625,0.10325611852234746,0.912764387786776,1.35830961429224,102,102,24,True,
bf2.649,455,480,0.9479166666666666,0.05208333333333337,0.10257091358966912,0.9209984544316561,1.451101177046165,114,114,24,True,
fluocinolone-acetonide,439,480,0.9145833333333333,0.0854166666666667,0.0991641090702889,1.06910379287445,1.446466587747235,110,110,24,True,
chir-99021,437,480,0.9104166666666667,0.08958333333333335,0.09835428414520202,0.943154396766132,1.48254010907505,110,110,24,True,
y-320,422,480,0.8791666666666667,0.12083333333333335,0.09786070423571239,0.8825665004648228,1.3262544940410699,106,106,24,True,
sar131675,441,480,0.91875,0.08125000000000004,0.0977785156691724,0.866347969497492,1.24886723376803,111,111,24,True,
sr-27897,438,480,0.9125,0.08750000000000002,0.09739428690140502,1.2963528059799976,1.659488970558715,110,110,23,True,
quizartinib,455,480,0.9479166666666666,0.05208333333333337,0.09518604486479927,0.899684065235715,1.390173036132605,114,114,24,True,
cefpiramide,404,480,0.8416666666666667,0.15833333333333333,0.0937472106754543,0.9717633071061282,1.4169414374772225,101,101,24,True,
homoquinolinic-acid,416,480,0.8666666666666667,0.1333333333333333,0.09219051668419487,0.9925613647794642,1.477494238497715,104,104,23,True,
bam7,446,480,0.9291666666666667,0.0708333333333333,0.09214085532507338,0.8967129468587718,1.3862268579331625,112,112,24,True,
pha-793887,474,480,0.9875,0.012499999999999956,0.09181528668576983,0.6697332541436025,0.8812781323984618,119,119,24,True,
kenpaullone,462,480,0.9625,0.03749999999999998,0.09152552968382663,0.9013961506118487,1.3943119465351574,116,116,24,True,
birinapant,448,480,0.9333333333333333,0.06666666666666665,0.09094191449974544,0.7542756198269157,1.1713542273392574,112,112,24,True,
gsk1904529a,434,480,0.9041666666666667,0.09583333333333333,0.09054034149039775,0.8661047047487818,1.3003009878586749,109,109,24,True,
