drug,threshold,accuracy,balanced_accuracy
trametinib,0.0,0.4827586206896552,0.5
trametinib,0.01,0.4827586206896552,0.5
trametinib,0.02,0.4827586206896552,0.5
trametinib,0.03,0.4827586206896552,0.5
trametinib,0.04,0.4827586206896552,0.5
trametinib,0.05,0.4827586206896552,0.5
trametinib,0.06,0.4827586206896552,0.5
trametinib,0.07,0.4827586206896552,0.5
trametinib,0.08,0.4827586206896552,0.5
trametinib,0.09,0.4827586206896552,0.5
trametinib,0.1,0.4827586206896552,0.5
trametinib,0.11,0.4827586206896552,0.5
trametinib,0.12,0.4827586206896552,0.5
trametinib,0.13,0.4827586206896552,0.5
trametinib,0.14,0.4827586206896552,0.5
trametinib,0.15,0.4827586206896552,0.5
trametinib,0.16,0.4827586206896552,0.5
trametinib,0.17,0.4827586206896552,0.5
trametinib,0.18,0.4827586206896552,0.5
trametinib,0.19,0.4827586206896552,0.5
trametinib,0.2,0.4827586206896552,0.5
trametinib,0.21,0.4827586206896552,0.5
trametinib,0.22,0.4827586206896552,0.5
trametinib,0.23,0.4827586206896552,0.5
trametinib,0.24,0.4827586206896552,0.5
trametinib,0.25,0.4827586206896552,0.5
trametinib,0.26,0.4827586206896552,0.5
trametinib,0.27,0.4827586206896552,0.5
trametinib,0.28,0.4827586206896552,0.5
trametinib,0.29,0.4827586206896552,0.5
trametinib,0.3,0.4827586206896552,0.5
trametinib,0.31,0.4827586206896552,0.5
trametinib,0.32,0.5862068965517241,0.6
trametinib,0.33,0.5517241379310345,0.5642857142857143
trametinib,0.34,0.5172413793103449,0.5285714285714286
trametinib,0.35000000000000003,0.5862068965517241,0.5952380952380952
trametinib,0.36,0.6206896551724138,0.6285714285714286
trametinib,0.37,0.6206896551724138,0.6285714285714286
trametinib,0.38,0.6206896551724138,0.6285714285714286
trametinib,0.39,0.6206896551724138,0.6285714285714286
trametinib,0.4,0.5862068965517241,0.5928571428571429
trametinib,0.41000000000000003,0.6206896551724138,0.6261904761904762
trametinib,0.42,0.6206896551724138,0.6261904761904762
trametinib,0.43,0.6206896551724138,0.6261904761904762
