model_id,predicted_auc,sensitivity_probability,external_response,ood_status,external_class
ACH-000792,0.9110855,0.38715149643742847,0.838937,in-distribution,intermediate
ACH-000570,0.94302404,0.3154022502775135,0.945198,in-distribution,resistant
ACH-000769,0.75158685,0.6088684164483905,0.868533,in-distribution,intermediate
ACH-000678,0.6997711,0.6274256645252243,0.823504,in-distribution,intermediate
ACH-000117,0.73239005,0.5918024115672474,0.774619,in-distribution,sensitive
ACH-000260,0.9478648,0.31129808429717265,0.860365,in-distribution,intermediate
ACH-000223,0.780568,0.6272477223547079,0.874431,in-distribution,intermediate
ACH-000896,0.69718593,0.5939431219099506,0.850369,in-distribution,intermediate
ACH-000784,0.74058557,0.48964551878154255,0.920996,in-distribution,resistant
ACH-000819,0.9097239,0.33211349757571185,0.936668,in-distribution,resistant
ACH-000748,0.86037195,0.3124723131790886,0.807434,out-of-distribution,intermediate
ACH-000670,0.8631659,0.3383722825739592,0.879488,in-distribution,intermediate
ACH-000250,0.9085802,0.35098784610159894,0.849541,in-distribution,intermediate
ACH-000679,0.7945228,0.5302614156974534,0.333286,in-distribution,sensitive
ACH-000614,0.9338393,0.31677006511096156,0.981753,in-distribution,resistant
ACH-000389,0.9350704,0.31482802165834617,0.838868,in-distribution,intermediate
ACH-000504,0.94412225,0.3121480218744938,0.946325,in-distribution,resistant
ACH-000665,0.92054117,0.3426088485500674,0.730057,in-distribution,sensitive
ACH-000803,0.84188753,0.5787037314090249,0.900268,in-distribution,resistant
ACH-000882,0.9564018,0.31503263120074343,0.891354,in-distribution,intermediate
ACH-000927,0.71466756,0.5995785041728584,0.595981,in-distribution,sensitive
ACH-000747,0.92198205,0.3164467830144699,0.700573,in-distribution,sensitive
ACH-000021,0.85092497,0.5242959706915139,0.709555,in-distribution,sensitive
ACH-000573,0.9446731,0.34384504219588913,0.956815,in-distribution,resistant
ACH-001190,0.93615437,0.3107646705599643,0.854185,in-distribution,intermediate
ACH-000364,0.8603422,0.3283869708855447,0.91543,in-distribution,resistant
ACH-000488,0.68435663,0.6255862811128198,0.822898,caution,intermediate
ACH-000965,0.81766075,0.5652323765371629,0.848529,in-distribution,intermediate
ACH-000811,0.81613874,0.4651758994942105,0.793899,in-distribution,sensitive
ACH-000913,0.9269702,0.3381850358399449,0.892082,in-distribution,intermediate
ACH-000319,0.9308117,0.32048930830672545,0.856494,in-distribution,intermediate
ACH-000221,0.8282485,0.3387731497089988,0.814237,in-distribution,intermediate
ACH-000457,0.8043391,0.5573449987178427,0.595657,in-distribution,sensitive
ACH-000191,0.8356665,0.4158259994174972,0.890417,in-distribution,intermediate
ACH-000207,0.7291444,0.6421392026698928,0.745676,caution,sensitive
ACH-000929,0.78416044,0.6101860766958103,0.893991,in-distribution,intermediate
ACH-000023,0.88550323,0.34872219030519364,0.868521,in-distribution,intermediate
ACH-000030,0.7831113,0.6067543986057088,0.336273,in-distribution,sensitive
ACH-000510,0.93124133,0.3132521147207153,0.858477,in-distribution,intermediate
ACH-000788,0.95298195,0.31317594698444384,0.912356,in-distribution,resistant
ACH-001075,0.7504084,0.6308668690348795,0.578302,in-distribution,sensitive
ACH-000900,0.8543657,0.45326120249272706,0.897326,in-distribution,resistant
ACH-000505,0.9264429,0.33392562330359626,0.94159,in-distribution,resistant
