drug,fold,role,model_id
afatinib,1,fit,ACH-000212
afatinib,1,fit,ACH-000684
afatinib,1,fit,ACH-000500
afatinib,1,fit,ACH-000403
afatinib,1,fit,ACH-000415
afatinib,1,fit,ACH-000822
afatinib,1,fit,ACH-000012
afatinib,1,fit,ACH-000313
afatinib,1,fit,ACH-000713
afatinib,1,fit,ACH-000532
afatinib,1,fit,ACH-000802
afatinib,1,fit,ACH-000988
afatinib,1,fit,ACH-000456
afatinib,1,fit,ACH-000359
afatinib,1,fit,ACH-000762
afatinib,1,fit,ACH-000319
afatinib,1,fit,ACH-000890
afatinib,1,fit,ACH-000915
afatinib,1,fit,ACH-000496
afatinib,1,fit,ACH-000441
afatinib,1,fit,ACH-001318
afatinib,1,fit,ACH-000732
afatinib,1,fit,ACH-000836
afatinib,1,fit,ACH-000270
afatinib,1,fit,ACH-000738
afatinib,1,fit,ACH-000840
afatinib,1,fit,ACH-000332
afatinib,1,fit,ACH-000471
afatinib,1,fit,ACH-000361
afatinib,1,fit,ACH-000035
afatinib,1,fit,ACH-000651
afatinib,1,fit,ACH-000614
afatinib,1,fit,ACH-000965
afatinib,1,fit,ACH-000985
afatinib,1,fit,ACH-000401
afatinib,1,fit,ACH-000837
afatinib,1,fit,ACH-000880
afatinib,1,fit,ACH-000030
afatinib,1,fit,ACH-000159
afatinib,1,fit,ACH-000493
afatinib,1,fit,ACH-000395
afatinib,1,fit,ACH-000219
afatinib,1,fit,ACH-000535
afatinib,1,fit,ACH-000899
afatinib,1,fit,ACH-000845
afatinib,1,fit,ACH-000091
afatinib,1,fit,ACH-000276
afatinib,1,fit,ACH-000681
afatinib,1,fit,ACH-000042
afatinib,1,fit,ACH-000778
afatinib,1,fit,ACH-000924
afatinib,1,fit,ACH-000599
afatinib,1,fit,ACH-000391
afatinib,1,fit,ACH-000941
afatinib,1,fit,ACH-000488
afatinib,1,fit,ACH-000324
afatinib,1,fit,ACH-000243
afatinib,1,fit,ACH-000735
afatinib,1,fit,ACH-000457
afatinib,1,fit,ACH-000649
afatinib,1,fit,ACH-000624
afatinib,1,fit,ACH-000479
afatinib,1,fit,ACH-000019
afatinib,1,fit,ACH-000959
afatinib,1,fit,ACH-000748
afatinib,1,fit,ACH-000901
afatinib,1,fit,ACH-000573
afatinib,1,fit,ACH-000259
afatinib,1,fit,ACH-000853
afatinib,1,fit,ACH-000320
afatinib,1,fit,ACH-000329
afatinib,1,fit,ACH-000704
afatinib,1,fit,ACH-000943
afatinib,1,fit,ACH-000768
afatinib,1,fit,ACH-000312
afatinib,1,fit,ACH-000092
afatinib,1,fit,ACH-000292
afatinib,1,fit,ACH-000913
afatinib,1,fit,ACH-000771
afatinib,1,fit,ACH-000397
afatinib,1,fit,ACH-000008
afatinib,1,fit,ACH-000318
afatinib,1,fit,ACH-000921
afatinib,1,fit,ACH-000764
afatinib,1,fit,ACH-000589
afatinib,1,fit,ACH-000595
afatinib,1,fit,ACH-000694
afatinib,1,fit,ACH-000841
afatinib,1,fit,ACH-000724
afatinib,1,fit,ACH-000411
afatinib,1,fit,ACH-000856
afatinib,1,fit,ACH-000881
afatinib,1,fit,ACH-000476
afatinib,1,fit,ACH-000846
afatinib,1,fit,ACH-000082
afatinib,1,fit,ACH-000344
afatinib,1,fit,ACH-000843
afatinib,1,fit,ACH-000809
afatinib,1,fit,ACH-000375
afatinib,1,fit,ACH-000273
afatinib,1,fit,ACH-000720
afatinib,1,fit,ACH-000945
afatinib,1,fit,ACH-000356
afatinib,1,fit,ACH-000343
afatinib,1,fit,ACH-000389
afatinib,1,fit,ACH-000311
afatinib,1,fit,ACH-000663
afatinib,1,fit,ACH-000978
afatinib,1,fit,ACH-000228
afatinib,1,fit,ACH-000445
afatinib,1,fit,ACH-000022
afatinib,1,fit,ACH-000647
afatinib,1,fit,ACH-000688
afatinib,1,fit,ACH-000736
afatinib,1,fit,ACH-000169
afatinib,1,fit,ACH-000961
afatinib,1,fit,ACH-000172
afatinib,1,fit,ACH-000235
afatinib,1,fit,ACH-000701
afatinib,1,fit,ACH-000040
afatinib,1,fit,ACH-000429
afatinib,1,fit,ACH-000977
afatinib,1,fit,ACH-000950
afatinib,1,fit,ACH-000833
afatinib,1,fit,ACH-000678
afatinib,1,fit,ACH-000516
afatinib,1,fit,ACH-000791
afatinib,1,fit,ACH-000587
afatinib,1,fit,ACH-000776
afatinib,1,fit,ACH-000060
afatinib,1,fit,ACH-000766
afatinib,1,fit,ACH-000900
afatinib,1,fit,ACH-000544
afatinib,1,fit,ACH-000696
afatinib,1,fit,ACH-000374
afatinib,1,fit,ACH-000852
afatinib,1,fit,ACH-000096
afatinib,1,fit,ACH-000826
afatinib,1,fit,ACH-000940
afatinib,1,fit,ACH-000979
afatinib,1,fit,ACH-000527
afatinib,1,fit,ACH-000976
afatinib,1,fit,ACH-000390
afatinib,1,fit,ACH-000777
afatinib,1,fit,ACH-000221
afatinib,1,fit,ACH-000367
afatinib,1,fit,ACH-000946
afatinib,1,fit,ACH-000693
afatinib,1,fit,ACH-000450
afatinib,1,fit,ACH-000062
afatinib,1,fit,ACH-000417
afatinib,1,fit,ACH-000968
afatinib,1,fit,ACH-000048
afatinib,1,fit,ACH-000955
afatinib,1,fit,ACH-000628
afatinib,1,fit,ACH-000447
afatinib,1,fit,ACH-000878
afatinib,1,fit,ACH-000139
afatinib,1,fit,ACH-000855
afatinib,1,fit,ACH-000661
afatinib,1,fit,ACH-000316
afatinib,1,fit,ACH-000957
afatinib,1,fit,ACH-000630
afatinib,1,fit,ACH-000917
afatinib,1,fit,ACH-000929
afatinib,1,fit,ACH-001190
afatinib,1,fit,ACH-000201
afatinib,1,fit,ACH-000011
afatinib,1,fit,ACH-000792
afatinib,1,fit,ACH-000896
afatinib,1,fit,ACH-000524
afatinib,1,fit,ACH-000108
afatinib,1,fit,ACH-000504
afatinib,1,fit,ACH-000191
afatinib,1,fit,ACH-000211
afatinib,1,fit,ACH-000680
afatinib,1,fit,ACH-000669
afatinib,1,fit,ACH-000939
afatinib,1,fit,ACH-000905
afatinib,1,fit,ACH-000308
afatinib,1,fit,ACH-000974
afatinib,1,fit,ACH-000667
afatinib,1,fit,ACH-000866
afatinib,1,fit,ACH-000734
afatinib,1,fit,ACH-000420
afatinib,1,fit,ACH-000469
afatinib,1,fit,ACH-000898
