drug,family,fold,model_id,lineage,true_auc,predicted_auc,interval_lower,interval_upper,true_sensitive,sensitivity_probability,predicted_sensitive,decision_threshold,sensitive_auc_max,resistant_auc_min,technical_eligibility,n_fit,n_calibration
afatinib,lineage,1,ACH-000461,biliary tract,0.8083315831300828,0.836548891025864,0.5772226398173633,1.0958751422343647,,0.4870567485482663,0,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000570,cns/brain,0.9302407763506122,0.9509489880041996,0.6916227367956989,1.2102752392127003,,0.408198392467858,0,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000769,lung,0.8628046769891742,0.8547334400954345,0.5954071888869338,1.1140596913039351,,0.45989727448258566,0,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000123,ovary/fallopian tube,0.7634885218988499,0.805882887783815,0.5465566365753143,1.0652091389923157,,0.5156732178024142,1,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000117,breast,0.7914034352173936,0.8534029834451219,0.5940767322366212,1.1127292346536226,,0.5075315647578327,1,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000785,lung,0.9077796171042505,0.8547334400954345,0.5954071888869338,1.1140596913039351,,0.45989727448258566,0,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000376,cns/brain,0.9081465107309331,0.9509489880041996,0.6916227367956989,1.2102752392127003,,0.408198392467858,0,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000971,bowel,0.797017411198863,0.8061956668570234,0.5468694156485226,1.065521918065524,,0.5254454244207037,1,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000481,lung,0.5709826799007751,0.8547334400954345,0.5954071888869338,1.1140596913039351,1.0,0.45989727448258566,0,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000832,head and neck,0.6627299254306647,0.7198954712535739,0.46056922004507317,0.9792217224620746,1.0,0.5636086480102589,1,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000858,lung,0.9128412337027076,0.8547334400954345,0.5954071888869338,1.1140596913039351,,0.45989727448258566,0,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000749,lung,0.9490432038349356,0.8547334400954345,0.5954071888869338,1.1140596913039351,0.0,0.45989727448258566,0,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000784,esophagus/stomach,0.8185213141596919,0.7686930961539544,0.5093668449454537,1.0280193473624553,,0.5552216373164556,1,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000261,lung,0.9551979297476724,0.8547334400954345,0.5954071888869338,1.1140596913039351,0.0,0.45989727448258566,0,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000164,pancreas,1.051101031990243,0.7762182590644267,0.5168920078559259,1.0355445102729273,0.0,0.5702044748650985,1,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000814,skin,1.19848826167392,0.9331598445055345,0.6738335932970337,1.192486095714035,0.0,0.39481523869513063,0,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000163,head and neck,0.8788029712042676,0.7198954712535739,0.46056922004507317,0.9792217224620746,,0.5636086480102589,1,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000503,head and neck,0.5514307380652159,0.7198954712535739,0.46056922004507317,0.9792217224620746,1.0,0.5636086480102589,1,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000719,ovary/fallopian tube,0.492843377443929,0.805882887783815,0.5465566365753143,1.0652091389923157,1.0,0.5156732178024142,1,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000674,esophagus/stomach,0.579862388921484,0.7686930961539544,0.5093668449454537,1.0280193473624553,1.0,0.5552216373164556,1,0.5,0.75385492846428,0.9326712164965341,False,235,59
afatinib,lineage,1,ACH-000670,lung,0.8122571198066278,0.8547334400954345,0.5954071888869338,1.1140596913039351,,0.45989727448258566,0,0.5,0.75385492846428,0.9326712164965341,False,235,59
