model_id,predicted_auc,sensitivity_probability,external_response,ood_status,external_class
ACH-000351,0.18378097,0.4906346126112743,0.780638,in-distribution,intermediate
ACH-000587,0.1777278,0.4878122216873756,0.700461,in-distribution,intermediate
ACH-000035,0.19922422,0.49080687567235304,0.906275,in-distribution,resistant
ACH-000260,0.23599637,0.5006106552419349,0.710456,in-distribution,intermediate
ACH-000223,0.30187875,0.499635829901602,0.981573,in-distribution,resistant
ACH-000098,0.19070265,0.49184562719877617,0.664969,in-distribution,intermediate
ACH-000832,0.23772706,0.4922432209730102,0.498686,in-distribution,sensitive
ACH-000153,0.23549621,0.49573888352347445,0.795084,in-distribution,intermediate
ACH-000997,0.13561597,0.4964970416970102,0.599723,in-distribution,sensitive
ACH-000890,0.28010333,0.5060568515534005,0.74943,in-distribution,intermediate
ACH-000188,0.32825464,0.5019987553563163,0.970299,in-distribution,resistant
ACH-000680,0.28478912,0.5027516897380735,0.962372,in-distribution,resistant
ACH-000118,0.21264257,0.4908589575075634,0.825464,in-distribution,intermediate
ACH-000359,0.19625986,0.49954246623032006,0.559105,in-distribution,sensitive
ACH-000956,0.20975685,0.4983266227269581,0.545906,in-distribution,sensitive
ACH-000572,0.28947872,0.4975423407608182,0.826983,in-distribution,intermediate
ACH-000803,0.25778523,0.49536804427438313,0.613335,in-distribution,intermediate
ACH-000724,0.22719368,0.4906493743689139,0.980029,in-distribution,resistant
ACH-000688,0.17077221,0.48956537261964284,0.405976,in-distribution,sensitive
ACH-000628,0.25368422,0.4994587462425026,0.956805,in-distribution,resistant
ACH-000694,0.25921756,0.50344681631489,0.84327,in-distribution,intermediate
ACH-000667,0.17002201,0.49288212631029543,0.687808,in-distribution,intermediate
ACH-000527,0.30941987,0.511064342022818,0.802971,in-distribution,intermediate
ACH-001307,0.1703274,0.48898595828344577,0.674012,in-distribution,intermediate
ACH-000021,0.18315002,0.49037493179082664,0.859332,in-distribution,resistant
ACH-000783,0.26817778,0.49763268879459066,0.935854,in-distribution,resistant
ACH-000835,0.25575072,0.49775218556464806,0.635602,in-distribution,intermediate
ACH-000416,0.20469533,0.4887707826614785,0.412029,in-distribution,sensitive
ACH-000929,0.21424504,0.4974325266538396,0.113237,in-distribution,sensitive
ACH-000062,0.2273447,0.4995939398611747,0.222928,in-distribution,sensitive
ACH-000211,0.17952023,0.49600240476879764,0.5176,in-distribution,sensitive
ACH-000096,0.273388,0.4976834049108881,0.62131,in-distribution,intermediate
ACH-000579,0.26190835,0.5064526765843677,0.925096,in-distribution,resistant
