drug,family,radius_scale,n_technical_support,n_candidates,selection_fraction,interpretation
afatinib,elastic_net,0.0,112,368,0.30434782608695654,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.05,85,368,0.23097826086956522,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.1,72,368,0.1956521739130435,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.15000000000000002,52,368,0.14130434782608695,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.2,39,368,0.10597826086956522,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.25,25,368,0.06793478260869565,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.30000000000000004,19,368,0.051630434782608696,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.35000000000000003,14,368,0.03804347826086957,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.4,7,368,0.019021739130434784,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.45,6,368,0.016304347826086956,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.5,3,368,0.008152173913043478,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.55,3,368,0.008152173913043478,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.6000000000000001,1,368,0.002717391304347826,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.65,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.7000000000000001,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.75,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.8,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.8500000000000001,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.9,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,0.9500000000000001,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,elastic_net,1.0,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.0,24,368,0.06521739130434782,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.05,21,368,0.057065217391304345,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.1,12,368,0.03260869565217391,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.15000000000000002,12,368,0.03260869565217391,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.2,3,368,0.008152173913043478,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.25,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.30000000000000004,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.35000000000000003,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.4,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.45,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.5,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.55,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.6000000000000001,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.65,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.7000000000000001,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.75,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.8,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.8500000000000001,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.9,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,0.9500000000000001,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,lineage,1.0,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.0,125,368,0.33967391304347827,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.05,99,368,0.26902173913043476,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.1,75,368,0.20380434782608695,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.15000000000000002,60,368,0.16304347826086957,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.2,38,368,0.10326086956521739,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.25,30,368,0.08152173913043478,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.30000000000000004,22,368,0.059782608695652176,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.35000000000000003,10,368,0.02717391304347826,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.4,5,368,0.01358695652173913,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.45,3,368,0.008152173913043478,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.5,3,368,0.008152173913043478,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.55,3,368,0.008152173913043478,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.6000000000000001,3,368,0.008152173913043478,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.65,2,368,0.005434782608695652,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.7000000000000001,2,368,0.005434782608695652,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.75,1,368,0.002717391304347826,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.8,1,368,0.002717391304347826,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.8500000000000001,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.9,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,0.9500000000000001,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
afatinib,xgboost,1.0,0,368,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.0,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.05,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.1,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.15000000000000002,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.2,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.25,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.30000000000000004,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.35000000000000003,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.4,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.45,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.5,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.55,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.6000000000000001,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.65,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.7000000000000001,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.75,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.8,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.8500000000000001,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
gemcitabine,elastic_net,0.9,0,298,0.0,Post-hoc radius scaling; not nominal interval coverage or an API policy
