model_id,lineage,predicted_auc,interval_lower,interval_upper,sensitivity_probability,sensitive_auc_max,resistant_auc_min,technical_eligibility,true_auc
ACH-000477,skin,0.4775760601669236,0.2103078666493206,0.7448442536845266,0.7808024256241162,0.6391224711600416,0.9112638657586372,False,0.3873792306224038
ACH-000968,skin,0.4817269626010093,0.2144587690834063,0.7489951561186123,0.7803745045559476,0.6391224711600416,0.9112638657586372,False,0.7429844372046979
ACH-000881,skin,0.5029913304971607,0.2447734318773666,0.7612092291169548,0.7470941930785167,0.6418011611733068,0.9131505213787036,False,0.5879770463105793
ACH-000661,skin,0.5161777885844296,0.2489095950668266,0.7834459821020326,0.7802529959690135,0.6391224711600416,0.9112638657586372,False,0.5677252040556378
ACH-000222,pancreas,0.5201950884918717,0.2529268949742687,0.7874632820094747,0.7804761953300322,0.6391224711600416,0.9112638657586372,False,0.6975125733556533
ACH-000356,esophagus/stomach,0.5529630465654436,0.2847719968652091,0.821154096265678,0.7258859991046718,0.6407189412099842,0.9136803828101596,False,0.4263433713468366
ACH-000911,esophagus/stomach,0.5710062474602382,0.3025645029587652,0.8394479919617112,0.7071102165835654,0.6418011611733068,0.913150022775132,False,0.5557411162560564
ACH-000320,pancreas,0.5776512016661876,0.3094601519659531,0.845842251366422,0.6772835166136693,0.6407189412099842,0.9136803828101596,False,0.4003730201849268
ACH-000401,skin,0.5785021610249648,0.2619058067092954,0.8950985153406341,0.7790414078467769,0.645707916853427,0.9131459773317938,False,0.4260878256660677
ACH-000572,skin,0.5786428308292731,0.3113746373116701,0.8459110243468762,0.778322689482789,0.6391224711600416,0.9112638657586372,False,0.892881124829377
