drug,family,n_models,n_extremes,classification_accuracy,classification_balanced_accuracy,classification_precision,classification_recall,classification_f1,classification_mcc,classification_brier,classification_auroc,classification_auprc,regression_mae,regression_rmse,regression_r2,regression_spearman,regression_pearson,interval_coverage,technical_coverage,n_eligible,n_eligible_extremes,eligible_tail_error,eligible_intermediate_fraction
afatinib,elastic_net,368,182,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143,0.13955056760073833,0.9159521796884434,0.8993116929471928,0.09445102682518738,0.1270022207590226,0.27959522723317987,0.5769693928894156,0.5293552511586732,0.8885869565217391,0.0,0,0,,
afatinib,lineage,368,182,0.6978021978021978,0.6978021978021978,0.68,0.7472527472527473,0.7120418848167539,0.39755349386944755,0.22381433257025155,0.7738195870064002,0.7286758200297415,0.10330714424604591,0.1389068828444521,0.13820993635644951,0.3943853563477723,0.38765892467084506,0.8967391304347826,0.0,0,0,,
afatinib,xgboost,368,182,0.8516483516483516,0.8516483516483516,0.826530612244898,0.8901098901098901,0.8571428571428571,0.7053867426838487,0.15060174359136164,0.9047216519743992,0.8953466228221235,0.09417545804510198,0.126628258037758,0.2838314979352806,0.5761475609095569,0.5346215040551732,0.907608695652174,0.0,0,0,,
gemcitabine,elastic_net,298,148,0.5743243243243243,0.5741552511415525,0.5694444444444444,0.5616438356164384,0.5655172413793104,0.14835115200355675,0.2439277896828114,0.6085844748858447,0.611811844015735,0.11202858927173878,0.14747234180238153,-0.0385156433334124,0.14251445795069953,0.09604537060060682,0.9228187919463087,0.0,0,0,,
gemcitabine,lineage,298,148,0.5945945945945946,0.593607305936073,0.6031746031746031,0.5205479452054794,0.5588235294117647,0.18930063293622654,0.24603682038921387,0.5917808219178082,0.5843368986109219,0.11108073012780906,0.1442781564105709,0.005984725936007518,0.16103487368370764,0.1866704909645427,0.889261744966443,0.0,0,0,,
gemcitabine,xgboost,298,148,0.4864864864864865,0.48566210045662095,0.47692307692307695,0.4246575342465753,0.4492753623188406,-0.02888762688982062,0.25099267311308643,0.5057534246575341,0.5210155724737419,0.10998336338906697,0.14504267615791977,-0.0045776179518273175,0.1300194148166135,0.1496229553356037,0.9060402684563759,0.0,0,0,,
olaparib,elastic_net,374,188,0.5425531914893617,0.5429541595925298,0.5346534653465347,0.5806451612903226,0.5567010309278351,0.08614264166375353,0.24562130225230552,0.5753254102999434,0.5977200383816839,0.10981521108224226,0.13771198353119418,0.009181624644045927,0.1652169375160126,0.16641863329368822,0.8877005347593583,0.0,0,0,,
olaparib,lineage,374,188,0.48404255319148937,0.4841539332201471,0.4791666666666667,0.4946236559139785,0.48677248677248675,-0.03169751559821946,0.250142275967384,0.4933220147142049,0.49608185501203467,0.1156562541666397,0.14352321832933052,-0.0762047722707535,-0.012118282230751629,-0.0028911359158285397,0.8983957219251337,0.0,0,0,,
olaparib,xgboost,374,188,0.5957446808510638,0.5950198075834747,0.6049382716049383,0.5268817204301075,0.5632183908045977,0.1918726266694673,0.24463338022516298,0.6062252405206565,0.6276795949692322,0.10982489996758908,0.1382882773649631,0.0008715667345750022,0.16525811257654224,0.17882847841290098,0.9037433155080213,0.0,0,0,,
palbociclib,elastic_net,370,193,0.6994818652849741,0.7002157497303129,0.6666666666666666,0.7111111111111111,0.6881720430107527,0.3995274439624264,0.21398874477352542,0.7255663430420711,0.6352827382684852,0.15282843327248008,0.2083572982098364,0.027114661750830882,0.2823324507837338,0.2553939389095625,0.8891891891891892,0.002702702702702703,1,1,0.0,0.0
palbociclib,lineage,370,193,0.533678756476684,0.512621359223301,0.5,0.2,0.2857142857142857,0.032327707930172714,0.24777352394063004,0.5606796116504855,0.5055837546850763,0.15987783802812877,0.22197615897101214,-0.10422325283281086,0.053410200828346445,0.023785677573356125,0.8864864864864865,0.0,0,0,,
palbociclib,xgboost,370,193,0.6373056994818653,0.6258360302049623,0.6612903225806451,0.45555555555555555,0.5394736842105263,0.2688706388862568,0.23011529217981605,0.722437971952535,0.6900506353546927,0.14777382459424224,0.2046303032484016,0.0616083825072381,0.336611584533165,0.27626042785292465,0.9027027027027027,0.002702702702702703,1,1,0.0,0.0
trametinib,elastic_net,375,190,0.7947368421052632,0.7947368421052632,0.7857142857142857,0.8105263157894737,0.7979274611398963,0.5897678246195885,0.15876890296131113,0.8634903047091412,0.8485516839501768,0.1327546117226685,0.17358752924861726,0.25433344242097056,0.5184611529274331,0.5057793518090676,0.8933333333333333,0.0,0,0,,
trametinib,lineage,375,190,0.7578947368421053,0.7578947368421053,0.7951807228915663,0.6947368421052632,0.7415730337078652,0.5199542650931305,0.21702805330846822,0.7550138504155124,0.8019245817846188,0.1399800005565361,0.1809943936417804,0.18934163619527045,0.4411886996544732,0.4415648124084541,0.8933333333333333,0.0,0,0,,
trametinib,xgboost,375,190,0.7684210526315789,0.7684210526315789,0.7865168539325843,0.7368421052631579,0.7608695652173914,0.5379160291965376,0.18778830121883403,0.84797783933518,0.8655993326623536,0.13321036298385266,0.17554596257607058,0.23741314761570775,0.5114320116132794,0.48810611240772245,0.8746666666666667,0.0,0,0,,
