model_id,predicted_auc,sensitivity_probability,external_response,ood_status,external_class
ACH-000528,1.0101635,0.5144867651031042,0.963683,in-distribution,resistant
ACH-000570,0.8493475,0.525220954916066,0.976176,in-distribution,resistant
ACH-000421,1.0125268,0.5238174466054717,0.962219,in-distribution,intermediate
ACH-000704,1.0507534,0.508120886019429,0.961212,in-distribution,intermediate
ACH-000856,1.0619036,0.5102370593640625,0.9291,in-distribution,sensitive
ACH-000322,0.9568809,0.5249658413981323,0.970953,in-distribution,resistant
ACH-000481,0.97110283,0.5109039098499221,0.960281,in-distribution,intermediate
ACH-000997,1.0087291,0.5074020964615964,0.975161,in-distribution,resistant
ACH-000819,0.97406775,0.5307674288577897,0.982182,in-distribution,resistant
ACH-000235,1.0677638,0.5165840613323986,0.95537,in-distribution,intermediate
ACH-000486,0.9693052,0.5318870161973126,0.947435,in-distribution,intermediate
ACH-000476,1.0339317,0.5103209154503224,0.948631,in-distribution,intermediate
ACH-000680,1.0217288,0.5036698675951765,0.968962,in-distribution,resistant
ACH-000389,0.9333985,0.5355858318209439,0.862251,in-distribution,sensitive
ACH-000936,0.98333436,0.5294656430069561,0.972287,in-distribution,resistant
ACH-000956,0.98256236,0.5209454051431408,0.946106,in-distribution,intermediate
ACH-000803,0.9372911,0.5138685610869719,0.942244,in-distribution,sensitive
ACH-000809,1.046782,0.5062296146842522,0.962269,caution,intermediate
ACH-000060,1.0527505,0.5062770023133607,0.957875,in-distribution,intermediate
ACH-000957,1.0371401,0.520977562929341,0.955774,in-distribution,intermediate
ACH-000730,1.0515621,0.5051827196788453,0.98451,in-distribution,resistant
ACH-001190,1.0543731,0.5019088959578146,0.986338,in-distribution,resistant
ACH-000976,1.0808885,0.4941565362787357,0.949536,in-distribution,intermediate
ACH-000535,0.93531716,0.5160311799939452,0.961322,in-distribution,intermediate
ACH-000738,0.94944984,0.5202673810499294,0.949201,in-distribution,intermediate
ACH-000759,1.0441504,0.5092500993517783,0.95736,in-distribution,intermediate
ACH-000082,0.9359074,0.5320918356339871,0.947028,in-distribution,intermediate
ACH-000201,0.9490429,0.5289043189504907,0.949085,in-distribution,intermediate
ACH-000965,1.0223296,0.5012580934750822,0.941329,in-distribution,sensitive
ACH-000811,0.9969996,0.5106263451331785,0.957434,in-distribution,intermediate
ACH-000192,1.0276033,0.5041563677529431,0.959083,in-distribution,intermediate
ACH-000054,0.99379855,0.5190785838667116,0.945766,in-distribution,intermediate
ACH-000657,0.8671627,0.5392265038338739,0.902153,in-distribution,sensitive
ACH-000244,0.95227474,0.531152607283955,0.951884,in-distribution,intermediate
ACH-000521,1.062413,0.5194689606326789,0.950235,in-distribution,intermediate
ACH-000849,0.9692036,0.5285498262861703,0.931851,in-distribution,sensitive
ACH-000219,0.98970914,0.5253447514409182,0.944536,in-distribution,sensitive
ACH-000985,1.0210822,0.505100507256762,0.98428,in-distribution,resistant
ACH-000347,0.9930569,0.5112955748939888,0.9764,in-distribution,resistant
ACH-000595,0.9845804,0.5174390716205661,0.967622,in-distribution,resistant
ACH-000169,0.809709,0.5341151305084141,0.941054,in-distribution,sensitive
ACH-000469,0.9767386,0.5237233329931542,0.946398,in-distribution,intermediate
ACH-000788,1.0526288,0.5116470794432891,0.943766,in-distribution,sensitive
ACH-000781,1.0398152,0.524631924110792,0.935873,in-distribution,sensitive
ACH-000750,0.9323464,0.51028184670968,0.914972,in-distribution,sensitive
ACH-000052,0.8622119,0.5312656658804403,0.842679,in-distribution,sensitive
