drug,fold,role,model_id
olaparib,1,fit,ACH-000437
olaparib,1,fit,ACH-000605
olaparib,1,fit,ACH-000810
olaparib,1,fit,ACH-000768
olaparib,1,fit,ACH-001190
olaparib,1,fit,ACH-000403
olaparib,1,fit,ACH-000461
olaparib,1,fit,ACH-000188
olaparib,1,fit,ACH-000237
olaparib,1,fit,ACH-000837
olaparib,1,fit,ACH-000956
olaparib,1,fit,ACH-000973
olaparib,1,fit,ACH-000643
olaparib,1,fit,ACH-000099
olaparib,1,fit,ACH-000332
olaparib,1,fit,ACH-000086
olaparib,1,fit,ACH-000217
olaparib,1,fit,ACH-000756
olaparib,1,fit,ACH-000313
olaparib,1,fit,ACH-000651
olaparib,1,fit,ACH-000848
olaparib,1,fit,ACH-000407
olaparib,1,fit,ACH-000463
olaparib,1,fit,ACH-000849
olaparib,1,fit,ACH-000836
olaparib,1,fit,ACH-000582
olaparib,1,fit,ACH-000505
olaparib,1,fit,ACH-000164
olaparib,1,fit,ACH-000091
olaparib,1,fit,ACH-000322
olaparib,1,fit,ACH-000777
olaparib,1,fit,ACH-000411
olaparib,1,fit,ACH-000771
olaparib,1,fit,ACH-000788
olaparib,1,fit,ACH-000835
olaparib,1,fit,ACH-000749
olaparib,1,fit,ACH-000052
olaparib,1,fit,ACH-000846
olaparib,1,fit,ACH-000163
olaparib,1,fit,ACH-000018
olaparib,1,fit,ACH-000280
olaparib,1,fit,ACH-000476
olaparib,1,fit,ACH-000367
olaparib,1,fit,ACH-000946
olaparib,1,fit,ACH-000669
olaparib,1,fit,ACH-000408
olaparib,1,fit,ACH-000833
olaparib,1,fit,ACH-000842
olaparib,1,fit,ACH-000750
olaparib,1,fit,ACH-000589
olaparib,1,fit,ACH-000839
olaparib,1,fit,ACH-000390
olaparib,1,fit,ACH-000479
olaparib,1,fit,ACH-000351
olaparib,1,fit,ACH-001239
olaparib,1,fit,ACH-000819
olaparib,1,fit,ACH-000169
olaparib,1,fit,ACH-000542
olaparib,1,fit,ACH-000940
olaparib,1,fit,ACH-000159
olaparib,1,fit,ACH-000421
olaparib,1,fit,ACH-000344
olaparib,1,fit,ACH-000674
olaparib,1,fit,ACH-000704
olaparib,1,fit,ACH-000452
olaparib,1,fit,ACH-000261
olaparib,1,fit,ACH-000758
olaparib,1,fit,ACH-000228
olaparib,1,fit,ACH-000663
olaparib,1,fit,ACH-000324
olaparib,1,fit,ACH-000684
olaparib,1,fit,ACH-000896
olaparib,1,fit,ACH-000856
olaparib,1,fit,ACH-000123
olaparib,1,fit,ACH-000356
olaparib,1,fit,ACH-000139
olaparib,1,fit,ACH-000587
olaparib,1,fit,ACH-000855
olaparib,1,fit,ACH-000601
olaparib,1,fit,ACH-000359
olaparib,1,fit,ACH-000468
olaparib,1,fit,ACH-000347
olaparib,1,fit,ACH-000888
olaparib,1,fit,ACH-000665
olaparib,1,fit,ACH-000701
olaparib,1,fit,ACH-000281
olaparib,1,fit,ACH-000688
olaparib,1,fit,ACH-000919
olaparib,1,fit,ACH-000747
olaparib,1,fit,ACH-000302
olaparib,1,fit,ACH-000628
olaparib,1,fit,ACH-000454
olaparib,1,fit,ACH-000444
olaparib,1,fit,ACH-000427
olaparib,1,fit,ACH-000890
olaparib,1,fit,ACH-000469
olaparib,1,fit,ACH-000142
olaparib,1,fit,ACH-000917
olaparib,1,fit,ACH-000880
olaparib,1,fit,ACH-000791
olaparib,1,fit,ACH-000630
olaparib,1,fit,ACH-000974
olaparib,1,fit,ACH-000680
olaparib,1,fit,ACH-000950
olaparib,1,fit,ACH-000528
olaparib,1,fit,ACH-000900
olaparib,1,fit,ACH-000368
olaparib,1,fit,ACH-000961
olaparib,1,fit,ACH-000007
olaparib,1,fit,ACH-001128
olaparib,1,fit,ACH-000796
olaparib,1,fit,ACH-000898
olaparib,1,fit,ACH-000711
olaparib,1,fit,ACH-000141
olaparib,1,fit,ACH-000996
olaparib,1,fit,ACH-000042
olaparib,1,fit,ACH-000450
olaparib,1,fit,ACH-000361
olaparib,1,fit,ACH-000592
olaparib,1,fit,ACH-000748
olaparib,1,fit,ACH-000395
olaparib,1,fit,ACH-000318
olaparib,1,fit,ACH-000967
olaparib,1,fit,ACH-000376
olaparib,1,fit,ACH-000682
olaparib,1,fit,ACH-000516
olaparib,1,fit,ACH-000420
olaparib,1,fit,ACH-000573
olaparib,1,fit,ACH-000866
olaparib,1,fit,ACH-000667
olaparib,1,fit,ACH-000901
olaparib,1,fit,ACH-001306
olaparib,1,fit,ACH-000776
olaparib,1,fit,ACH-000524
olaparib,1,fit,ACH-000734
olaparib,1,fit,ACH-000260
olaparib,1,fit,ACH-000724
olaparib,1,fit,ACH-000647
olaparib,1,fit,ACH-000532
olaparib,1,fit,ACH-000019
olaparib,1,fit,ACH-000852
olaparib,1,fit,ACH-000527
olaparib,1,fit,ACH-000389
olaparib,1,fit,ACH-000924
olaparib,1,fit,ACH-000544
olaparib,1,fit,ACH-000976
olaparib,1,fit,ACH-000671
olaparib,1,fit,ACH-000769
olaparib,1,fit,ACH-000809
olaparib,1,fit,ACH-000108
olaparib,1,fit,ACH-000822
olaparib,1,fit,ACH-000062
olaparib,1,fit,ACH-000133
olaparib,1,fit,ACH-000941
olaparib,1,fit,ACH-000471
olaparib,1,fit,ACH-000921
olaparib,1,fit,ACH-000843
olaparib,1,fit,ACH-000201
olaparib,1,fit,ACH-000273
olaparib,1,fit,ACH-000826
olaparib,1,fit,ACH-000243
olaparib,1,fit,ACH-000012
olaparib,1,fit,ACH-000945
olaparib,1,fit,ACH-000401
olaparib,1,fit,ACH-000493
olaparib,1,fit,ACH-000343
olaparib,1,fit,ACH-000023
olaparib,1,fit,ACH-000048
olaparib,1,fit,ACH-000840
olaparib,1,fit,ACH-000678
olaparib,1,fit,ACH-000021
olaparib,1,fit,ACH-000331
olaparib,1,fit,ACH-000632
olaparib,1,fit,ACH-000730
olaparib,1,fit,ACH-000415
olaparib,1,fit,ACH-000738
olaparib,1,fit,ACH-000456
olaparib,1,fit,ACH-000783
olaparib,1,fit,ACH-000473
olaparib,1,fit,ACH-000947
olaparib,1,fit,ACH-000210
olaparib,1,fit,ACH-000117
olaparib,1,fit,ACH-000847
olaparib,1,fit,ACH-000982
olaparib,1,fit,ACH-000827
olaparib,1,fit,ACH-000118
olaparib,1,fit,ACH-000720
olaparib,1,fit,ACH-000637
olaparib,1,fit,ACH-000766
olaparib,1,fit,ACH-000155
olaparib,1,fit,ACH-000013
olaparib,1,fit,ACH-000416
olaparib,1,fit,ACH-000834
olaparib,1,fit,ACH-000445
olaparib,1,fit,ACH-000174
olaparib,1,fit,ACH-000132
