drug,baseline,auroc_difference,ci_lower,ci_upper,n_extremes
afatinib,elastic_net,-0.011230527714044203,-0.0378124622630117,0.01606388117377127,182
afatinib,lineage,0.13090206496799905,0.06949492814877446,0.19683764038159654,182
gemcitabine,elastic_net,-0.10283105022831052,-0.17789954337899533,-0.022447488584474963,148
gemcitabine,lineage,-0.08602739726027409,-0.16073515981735156,-0.015600456621004708,148
olaparib,elastic_net,0.030899830220713076,-0.05491228070175435,0.11386813808715329,188
olaparib,lineage,0.11290322580645162,0.015154216185625298,0.21517543859649113,188
palbociclib,elastic_net,-0.0031283710895361194,-0.061380798274002224,0.05340075512405606,193
palbociclib,lineage,0.1617583603020495,0.08721413160733558,0.2407861380798276,193
trametinib,elastic_net,-0.015512465373961226,-0.06704155124653739,0.03567867036011085,190
trametinib,lineage,0.09296398891966762,0.014668975069252072,0.17058725761772847,190
