model_id,predicted_auc,sensitivity_probability,external_response,ood_status,external_class
ACH-000351,1.014096,0.49749373189755597,0.956433,in-distribution,intermediate
ACH-000421,0.9978102,0.3738946669848013,0.969145,in-distribution,resistant
ACH-000587,0.87182313,0.4217461128389861,0.917146,in-distribution,sensitive
ACH-000322,0.846535,0.5229920999985384,0.922991,in-distribution,intermediate
ACH-000098,0.9553271,0.5802832398970267,0.934716,in-distribution,intermediate
ACH-000814,0.93584543,0.3922065745967981,0.954826,in-distribution,intermediate
ACH-000153,0.96483606,0.6195077095613993,0.960614,in-distribution,resistant
ACH-000890,0.8295602,0.6307336007609923,0.927578,in-distribution,intermediate
ACH-000318,0.8824438,0.5791517265593282,0.986251,in-distribution,resistant
ACH-000188,0.83351713,0.5617488347716767,0.988887,in-distribution,resistant
ACH-000680,0.8863758,0.45632508504334723,0.94842,in-distribution,intermediate
ACH-000118,1.0413395,0.4874829343380744,0.910462,in-distribution,sensitive
ACH-000648,0.9296407,0.6120511038476336,0.808222,in-distribution,sensitive
ACH-000628,1.1424851,0.3634254333924189,0.984829,in-distribution,resistant
ACH-000974,0.9215516,0.378659122294015,0.96671,in-distribution,resistant
ACH-000516,1.0627826,0.38346713745166155,0.977502,in-distribution,resistant
ACH-000433,0.84772503,0.5997279755669312,0.852171,in-distribution,sensitive
ACH-000730,0.8324948,0.6123327309506272,0.961428,in-distribution,resistant
ACH-000364,0.95151144,0.5007856507045636,0.951695,in-distribution,intermediate
ACH-000759,0.9349627,0.4205375793678287,0.9203,in-distribution,intermediate
ACH-000201,0.9425806,0.40765174634653745,0.899302,in-distribution,sensitive
ACH-000965,0.8946574,0.4699470749141389,0.943495,in-distribution,intermediate
ACH-000835,0.94085526,0.6114809537448584,0.923017,in-distribution,intermediate
ACH-000811,1.3466008,0.49437591333123165,0.95843,in-distribution,intermediate
ACH-000913,0.9930395,0.3834323312914144,0.976039,in-distribution,resistant
ACH-000601,0.94749004,0.536072027498291,0.949523,in-distribution,intermediate
ACH-000244,0.98615307,0.5774999154137196,0.925396,in-distribution,intermediate
ACH-000352,1.0611593,0.3752380160214431,0.959129,in-distribution,intermediate
ACH-000401,0.9411804,0.49925360538906843,0.982545,in-distribution,resistant
ACH-000191,0.86908835,0.3998839497865286,0.937911,in-distribution,intermediate
ACH-000846,1.0012062,0.5248707601090353,0.924562,in-distribution,intermediate
ACH-000778,0.9266569,0.6149515906538128,0.907184,in-distribution,sensitive
ACH-000958,0.911168,0.4399698739131101,0.835351,in-distribution,sensitive
ACH-000228,0.99738723,0.5459705608195473,0.988852,in-distribution,resistant
ACH-000776,1.0673409,0.5644804227984284,0.917824,in-distribution,sensitive
ACH-000219,0.88620484,0.6115346079267854,0.91707,in-distribution,sensitive
ACH-000347,1.0169252,0.408584618892526,0.934272,in-distribution,intermediate
ACH-000663,0.94859,0.6033864269832835,0.876636,in-distribution,sensitive
ACH-000888,1.0124514,0.4190266775829841,0.960244,in-distribution,intermediate
ACH-000469,0.9181498,0.5589909814006052,0.906197,in-distribution,sensitive
ACH-000781,1.069123,0.5274210376529526,0.933558,in-distribution,intermediate
