drug,fold,role,model_id
palbociclib,1,fit,ACH-000343
palbociclib,1,fit,ACH-000510
palbociclib,1,fit,ACH-000086
palbociclib,1,fit,ACH-000977
palbociclib,1,fit,ACH-000007
palbociclib,1,fit,ACH-000592
palbociclib,1,fit,ACH-000437
palbociclib,1,fit,ACH-000416
palbociclib,1,fit,ACH-001318
palbociclib,1,fit,ACH-000250
palbociclib,1,fit,ACH-000488
palbociclib,1,fit,ACH-000015
palbociclib,1,fit,ACH-000792
palbociclib,1,fit,ACH-000351
palbociclib,1,fit,ACH-000840
palbociclib,1,fit,ACH-000738
palbociclib,1,fit,ACH-000956
palbociclib,1,fit,ACH-000852
palbociclib,1,fit,ACH-000417
palbociclib,1,fit,ACH-000946
palbociclib,1,fit,ACH-000493
palbociclib,1,fit,ACH-000163
palbociclib,1,fit,ACH-000486
palbociclib,1,fit,ACH-000614
palbociclib,1,fit,ACH-000447
palbociclib,1,fit,ACH-000968
palbociclib,1,fit,ACH-000898
palbociclib,1,fit,ACH-000013
palbociclib,1,fit,ACH-000012
palbociclib,1,fit,ACH-000261
palbociclib,1,fit,ACH-000429
palbociclib,1,fit,ACH-000713
palbociclib,1,fit,ACH-000292
palbociclib,1,fit,ACH-000756
palbociclib,1,fit,ACH-000376
palbociclib,1,fit,ACH-000316
palbociclib,1,fit,ACH-000847
palbociclib,1,fit,ACH-000542
palbociclib,1,fit,ACH-000082
palbociclib,1,fit,ACH-000917
palbociclib,1,fit,ACH-000532
palbociclib,1,fit,ACH-000141
palbociclib,1,fit,ACH-000622
palbociclib,1,fit,ACH-000783
palbociclib,1,fit,ACH-000921
palbociclib,1,fit,ACH-000856
palbociclib,1,fit,ACH-000805
palbociclib,1,fit,ACH-000427
palbociclib,1,fit,ACH-000356
palbociclib,1,fit,ACH-000211
palbociclib,1,fit,ACH-000524
palbociclib,1,fit,ACH-000307
palbociclib,1,fit,ACH-000682
palbociclib,1,fit,ACH-000277
palbociclib,1,fit,ACH-000201
palbociclib,1,fit,ACH-000361
palbociclib,1,fit,ACH-000734
palbociclib,1,fit,ACH-000721
palbociclib,1,fit,ACH-000278
palbociclib,1,fit,ACH-000397
palbociclib,1,fit,ACH-000352
palbociclib,1,fit,ACH-000841
palbociclib,1,fit,ACH-000454
palbociclib,1,fit,ACH-000320
palbociclib,1,fit,ACH-000901
palbociclib,1,fit,ACH-000484
palbociclib,1,fit,ACH-000331
palbociclib,1,fit,ACH-000948
palbociclib,1,fit,ACH-000627
palbociclib,1,fit,ACH-000994
palbociclib,1,fit,ACH-000393
palbociclib,1,fit,ACH-000332
palbociclib,1,fit,ACH-000054
palbociclib,1,fit,ACH-000679
palbociclib,1,fit,ACH-000537
palbociclib,1,fit,ACH-000988
palbociclib,1,fit,ACH-000445
palbociclib,1,fit,ACH-000749
palbociclib,1,fit,ACH-000663
palbociclib,1,fit,ACH-000232
palbociclib,1,fit,ACH-000688
palbociclib,1,fit,ACH-000479
palbociclib,1,fit,ACH-000582
palbociclib,1,fit,ACH-000950
palbociclib,1,fit,ACH-000504
palbociclib,1,fit,ACH-000965
palbociclib,1,fit,ACH-000411
palbociclib,1,fit,ACH-000468
palbociclib,1,fit,ACH-000769
palbociclib,1,fit,ACH-000395
palbociclib,1,fit,ACH-000978
palbociclib,1,fit,ACH-000882
palbociclib,1,fit,ACH-000237
palbociclib,1,fit,ACH-000011
palbociclib,1,fit,ACH-000853
palbociclib,1,fit,ACH-000678
palbociclib,1,fit,ACH-000730
palbociclib,1,fit,ACH-000243
palbociclib,1,fit,ACH-000014
palbociclib,1,fit,ACH-000788
palbociclib,1,fit,ACH-000628
palbociclib,1,fit,ACH-000866
palbociclib,1,fit,ACH-000651
palbociclib,1,fit,ACH-000450
palbociclib,1,fit,ACH-000117
palbociclib,1,fit,ACH-000940
palbociclib,1,fit,ACH-000281
palbociclib,1,fit,ACH-000259
palbociclib,1,fit,ACH-000776
palbociclib,1,fit,ACH-000778
palbociclib,1,fit,ACH-000476
palbociclib,1,fit,ACH-000858
palbociclib,1,fit,ACH-000971
palbociclib,1,fit,ACH-000632
palbociclib,1,fit,ACH-000766
palbociclib,1,fit,ACH-000062
palbociclib,1,fit,ACH-000957
palbociclib,1,fit,ACH-000087
palbociclib,1,fit,ACH-000368
palbociclib,1,fit,ACH-000528
palbociclib,1,fit,ACH-000848
palbociclib,1,fit,ACH-000796
palbociclib,1,fit,ACH-000809
palbociclib,1,fit,ACH-000961
palbociclib,1,fit,ACH-000313
palbociclib,1,fit,ACH-000389
palbociclib,1,fit,ACH-000973
palbociclib,1,fit,ACH-000415
palbociclib,1,fit,ACH-000736
