drug,family,fold,model_id,lineage,true_auc,predicted_auc,interval_lower,interval_upper,true_sensitive,sensitivity_probability,predicted_sensitive,decision_threshold,sensitive_auc_max,resistant_auc_min,technical_eligibility,n_fit,n_calibration
palbociclib,lineage,1,ACH-000461,biliary tract,1.18874919678512,1.099172763955252,0.8172392594769625,1.3811062684335416,0.0,0.46468415136408836,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000421,bowel,0.9689163260433755,1.0015785453948183,0.7196450409165288,1.2835120498731079,,0.4672773956413014,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000008,skin,1.1473288529541885,0.9072177060081043,0.6252842015298148,1.1891512104863937,0.0,0.47965838045369713,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000800,lung,1.455216176912435,0.9687203666419676,0.6867868621636781,1.250653871120257,0.0,0.4652428468431868,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000587,lung,0.883579831449213,0.9687203666419676,0.6867868621636781,1.250653871120257,,0.4652428468431868,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000785,lung,1.496967233613245,0.9687203666419676,0.6867868621636781,1.250653871120257,0.0,0.4652428468431868,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000880,esophagus/stomach,0.9132734691997395,0.9590522879098495,0.6771187834315601,1.2409857923881389,,0.4746470277465023,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000035,lung,0.9294569533139768,0.9687203666419676,0.6867868621636781,1.250653871120257,,0.4652428468431868,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000260,peripheral nervous system,1.130546157350615,0.9368192841269373,0.6548857796486478,1.2187527886052267,0.0,0.476176815197621,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000223,breast,1.1994939171362549,1.0075485423298625,0.725615037851573,1.289482046808152,0.0,0.45669912238853727,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000832,head and neck,0.8781835398898736,0.8751825372378693,0.5932490327595799,1.1571160417161588,,0.484201866998922,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000544,esophagus/stomach,0.795662316298265,0.9590522879098495,0.6771187834315601,1.2409857923881389,1.0,0.4746470277465023,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000684,kidney,0.8192936175718013,1.036091390288487,0.7541578858101975,1.3180248947667765,1.0,0.4776838555265266,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000896,bladder/urinary tract,0.9302072889176365,0.976920376729611,0.6949868722513215,1.2588538812079004,,0.47965838045369713,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000784,esophagus/stomach,0.9892208181399951,0.9590522879098495,0.6771187834315601,1.2409857923881389,,0.4746470277465023,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000662,lung,0.8852997017321202,0.9687203666419676,0.6867868621636781,1.250653871120257,,0.4652428468431868,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000164,pancreas,0.8709833896987611,0.9463639793769951,0.6644304748987057,1.2282974838552847,,0.47530182046580116,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000997,bowel,1.1845723828391201,1.0015785453948183,0.7196450409165288,1.2835120498731079,0.0,0.4672773956413014,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000819,cns/brain,0.8286476650553555,0.9634856815140115,0.681552177035722,1.245419185992301,1.0,0.46826643656057293,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000954,uterus,0.869728131534732,1.155738650525051,0.8738051460467616,1.4376721550033404,,0.4580470360924338,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000836,head and neck,0.8542943099145042,0.8751825372378693,0.5932490327595799,1.1571160417161588,,0.484201866998922,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000318,esophagus/stomach,1.10113321275385,0.9590522879098495,0.6771187834315601,1.2409857923881389,0.0,0.4746470277465023,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000719,ovary/fallopian tube,1.134251420300139,1.0261640389958437,0.7442305345175543,1.3080975434741333,0.0,0.46895841104612845,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000674,esophagus/stomach,0.69639625298509,0.9590522879098495,0.6771187834315601,1.2409857923881389,1.0,0.4746470277465023,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000139,pancreas,0.9357031209311775,0.9463639793769951,0.6644304748987057,1.2282974838552847,,0.47530182046580116,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000188,head and neck,1.339486126063643,0.8751825372378693,0.5932490327595799,1.1571160417161588,0.0,0.484201866998922,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000680,bowel,0.8439982186196285,1.0015785453948183,0.7196450409165288,1.2835120498731079,1.0,0.4672773956413014,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000118,pancreas,0.8827730330845878,0.9463639793769951,0.6644304748987057,1.2282974838552847,,0.47530182046580116,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000265,pancreas,0.938605354429622,0.9463639793769951,0.6644304748987057,1.2282974838552847,,0.47530182046580116,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000855,esophagus/stomach,0.8795061276011826,0.9590522879098495,0.6771187834315601,1.2409857923881389,,0.4746470277465023,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000359,bone,0.7781588618986085,0.950235568932906,0.6683020644546165,1.2321690734111954,1.0,0.46468415136408836,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000716,thyroid,0.7364914210335489,1.037049000983562,0.7551154965052725,1.3189825054618516,1.0,0.46468415136408836,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000375,kidney,0.7400958563740054,1.036091390288487,0.7541578858101975,1.3180248947667765,1.0,0.4776838555265266,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000753,bladder/urinary tract,0.9389327649201711,0.976920376729611,0.6949868722513215,1.2588538812079004,,0.47965838045369713,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000605,esophagus/stomach,0.7695866927482493,0.9590522879098495,0.6771187834315601,1.2409857923881389,1.0,0.4746470277465023,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000367,pleura,0.8379438940417434,1.1190065418026582,0.8370730373243688,1.4009400462809478,1.0,0.4609495126148664,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000099,peripheral nervous system,0.871284205085127,0.9368192841269373,0.6548857796486478,1.2187527886052267,,0.476176815197621,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000649,kidney,0.82504119064785,1.036091390288487,0.7541578858101975,1.3180248947667765,1.0,0.4776838555265266,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000768,breast,0.9100292099226501,1.0075485423298625,0.725615037851573,1.289482046808152,,0.45669912238853727,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000527,ovary/fallopian tube,1.3172430934547399,1.0261640389958437,0.7442305345175543,1.3080975434741333,0.0,0.46895841104612845,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000696,ovary/fallopian tube,1.32785948260751,1.0261640389958437,0.7442305345175543,1.3080975434741333,0.0,0.46895841104612845,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-001307,thyroid,0.9206339299291035,1.037049000983562,0.7551154965052725,1.3189825054618516,,0.46468415136408836,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000323,cns/brain,1.1511619434515106,0.9634856815140115,0.681552177035722,1.245419185992301,0.0,0.46826643656057293,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000021,lung,1.37410460815153,0.9687203666419676,0.6867868621636781,1.250653871120257,0.0,0.4652428468431868,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-001190,skin,0.9624270808407724,0.9072177060081043,0.6252842015298148,1.1891512104863937,,0.47965838045369713,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000759,breast,0.9136784204080284,1.0075485423298625,0.725615037851573,1.289482046808152,,0.45669912238853727,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000693,esophagus/stomach,0.9664263297230089,0.9590522879098495,0.6771187834315601,1.2409857923881389,,0.4746470277465023,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000982,bowel,0.8602071341729137,1.0015785453948183,0.7196450409165288,1.2835120498731079,,0.4672773956413014,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000308,ovary/fallopian tube,0.9066262917367185,1.0261640389958437,0.7442305345175543,1.3080975434741333,,0.46895841104612845,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000837,lung,0.859614201729052,0.9687203666419676,0.6867868621636781,1.250653871120257,,0.4652428468431868,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000048,ovary/fallopian tube,0.615009355769655,1.0261640389958437,0.7442305345175543,1.3080975434741333,1.0,0.46895841104612845,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000133,fibroblast,1.253732205064365,0.9894505838540241,0.7075170793757346,1.2713840883323135,0.0,0.47032581428384024,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000630,head and neck,0.8961699616187381,0.8751825372378693,0.5932490327595799,1.1571160417161588,,0.484201866998922,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000042,pancreas,0.9141220804141796,0.9463639793769951,0.6644304748987057,1.2282974838552847,,0.47530182046580116,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000221,liver,0.783535337148865,1.0163965382534106,0.7344630337751211,1.2983300427317,1.0,0.4727668547797448,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000457,kidney,0.917651617444482,1.036091390288487,0.7541578858101975,1.3180248947667765,,0.4776838555265266,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000593,bladder/urinary tract,0.8239323815431565,0.976920376729611,0.6949868722513215,1.2588538812079004,1.0,0.47965838045369713,0,0.5,0.8476627647957431,1.0,False,236,60
palbociclib,lineage,1,ACH-000159,kidney,0.7390622253667875,1.036091390288487,0.7541578858101975,1.3180248947667765,1.0,0.4776838555265266,0,0.5,0.8476627647957431,1.0,False,236,60
