drug,family,probability_margin,coverage,n_selected,n_selected_extremes,tail_error,intermediate_fraction,policy
afatinib,elastic_net,0.0,1.0,368,182,0.14285714285714285,0.5054347826086957,probability-only diagnostic; does not implement API acceptance
afatinib,elastic_net,0.1,0.8804347826086957,324,162,0.1111111111111111,0.5,probability-only diagnostic; does not implement API acceptance
afatinib,elastic_net,0.2,0.5543478260869565,204,102,0.06862745098039216,0.5,probability-only diagnostic; does not implement API acceptance
afatinib,elastic_net,0.3,0.029891304347826088,11,9,0.0,0.18181818181818182,probability-only diagnostic; does not implement API acceptance
afatinib,elastic_net,0.4,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
afatinib,lineage,0.0,1.0,368,182,0.3021978021978022,0.5054347826086957,probability-only diagnostic; does not implement API acceptance
afatinib,lineage,0.1,0.07608695652173914,28,19,0.15789473684210525,0.32142857142857145,probability-only diagnostic; does not implement API acceptance
afatinib,lineage,0.2,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
afatinib,lineage,0.3,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
afatinib,lineage,0.4,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
afatinib,xgboost,0.0,1.0,368,182,0.14835164835164835,0.5054347826086957,probability-only diagnostic; does not implement API acceptance
afatinib,xgboost,0.1,0.8478260869565217,312,153,0.09803921568627451,0.5096153846153846,probability-only diagnostic; does not implement API acceptance
afatinib,xgboost,0.2,0.36684782608695654,135,70,0.11428571428571428,0.48148148148148145,probability-only diagnostic; does not implement API acceptance
afatinib,xgboost,0.3,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
afatinib,xgboost,0.4,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
gemcitabine,elastic_net,0.0,1.0,298,148,0.42567567567567566,0.5033557046979866,probability-only diagnostic; does not implement API acceptance
gemcitabine,elastic_net,0.1,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
gemcitabine,elastic_net,0.2,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
gemcitabine,elastic_net,0.3,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
gemcitabine,elastic_net,0.4,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
gemcitabine,lineage,0.0,1.0,298,148,0.40540540540540543,0.5033557046979866,probability-only diagnostic; does not implement API acceptance
gemcitabine,lineage,0.1,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
gemcitabine,lineage,0.2,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
gemcitabine,lineage,0.3,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
gemcitabine,lineage,0.4,0.0,0,0,,,probability-only diagnostic; does not implement API acceptance
