family,k,hits_tie_min,hits_tie_max,hits_tie_expected,boundary_tie_size,boundary_slots,tie_policy,hits,precision,random_expected_hits,enrichment,n_candidates,mean_observed_auc,drug
elastic_net,5,4,4,4.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,4,0.8,1.2364130434782608,3.2351648351648357,368,0.7140116916655426,afatinib
elastic_net,10,8,8,8.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,8,0.8,2.4728260869565215,3.2351648351648357,368,0.6887188983574486,afatinib
elastic_net,20,13,13,13.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,13,0.65,4.945652173913043,2.628571428571429,368,0.7112672873524101,afatinib
lineage,5,3,4,3.666666666666667,6,2,Exact saved-score ties; reported list uses ascending ModelID,4,0.8,1.2364130434782608,3.2351648351648357,368,0.6613478795773954,afatinib
lineage,10,7,8,7.333333333333333,9,1,Exact saved-score ties; reported list uses ascending ModelID,7,0.7,2.4728260869565215,2.830769230769231,368,0.7095975258176275,afatinib
lineage,20,10,11,10.666666666666666,3,1,Exact saved-score ties; reported list uses ascending ModelID,11,0.55,4.945652173913043,2.2241758241758243,368,0.7412875857953382,afatinib
xgboost,5,4,4,4.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,4,0.8,1.2364130434782608,3.2351648351648357,368,0.6709976591696717,afatinib
xgboost,10,7,7,7.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,7,0.7,2.4728260869565215,2.830769230769231,368,0.715780807541212,afatinib
xgboost,20,12,12,12.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,12,0.6,4.945652173913043,2.426373626373626,368,0.7426431737077841,afatinib
elastic_net,5,2,2,2.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,2,0.4,1.2248322147651007,1.632876712328767,298,0.1872679290026009,gemcitabine
elastic_net,10,4,4,4.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,4,0.4,2.4496644295302015,1.632876712328767,298,0.18877300362409904,gemcitabine
elastic_net,20,7,7,7.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,7,0.35,4.899328859060403,1.428767123287671,298,0.2660631053498903,gemcitabine
lineage,5,1,1,1.0,3,2,Exact saved-score ties; reported list uses ascending ModelID,1,0.2,1.2248322147651007,0.8164383561643835,298,0.2331260617577092,gemcitabine
lineage,10,2,3,2.4,5,2,Exact saved-score ties; reported list uses ascending ModelID,2,0.2,2.4496644295302015,0.8164383561643835,298,0.23308236955228256,gemcitabine
lineage,20,4,4,4.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,4,0.2,4.899328859060403,0.8164383561643835,298,0.23780857330815247,gemcitabine
xgboost,5,1,1,1.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,1,0.2,1.2248322147651007,0.8164383561643835,298,0.1947630876656414,gemcitabine
xgboost,10,4,4,4.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,4,0.4,2.4496644295302015,1.632876712328767,298,0.18183263052894805,gemcitabine
xgboost,20,8,8,8.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,8,0.4,4.899328859060403,1.632876712328767,298,0.18835103481684928,gemcitabine
elastic_net,5,1,1,1.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,1,0.2,1.2433155080213902,0.8043010752688172,374,0.9597987765385536,olaparib
elastic_net,10,4,4,4.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,4,0.4,2.4866310160427805,1.6086021505376344,374,0.9710208505059427,olaparib
elastic_net,20,11,11,11.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,11,0.55,4.973262032085561,2.2118279569892474,374,0.9229896666356929,olaparib
lineage,5,1,2,1.3333333333333333,3,2,Exact saved-score ties; reported list uses ascending ModelID,2,0.4,1.2433155080213902,1.6086021505376344,374,0.9864956547328033,olaparib
lineage,10,6,6,6.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,6,0.6,2.4866310160427805,2.412903225806452,374,0.941144798857092,olaparib
lineage,20,10,11,10.666666666666666,3,1,Exact saved-score ties; reported list uses ascending ModelID,10,0.5,4.973262032085561,2.010752688172043,374,0.9556238196107388,olaparib
xgboost,5,2,2,2.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,2,0.4,1.2433155080213902,1.6086021505376344,374,0.9415199305893717,olaparib
xgboost,10,5,5,5.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,5,0.5,2.4866310160427805,2.010752688172043,374,0.9536333577441928,olaparib
xgboost,20,10,10,10.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,10,0.5,4.973262032085561,2.010752688172043,374,0.9099357928383152,olaparib
elastic_net,5,0,0,0.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,0,0.0,1.2162162162162162,0.0,370,0.9150518472908363,palbociclib
elastic_net,10,4,4,4.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,4,0.4,2.4324324324324325,1.6444444444444444,370,0.8416632755538066,palbociclib
elastic_net,20,7,7,7.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,7,0.35,4.864864864864865,1.4388888888888887,370,0.8642514795961116,palbociclib
lineage,5,2,2,2.0,2,1,Exact saved-score ties; reported list uses ascending ModelID,2,0.4,1.2162162162162162,1.6444444444444444,370,0.904240752823507,palbociclib
lineage,10,2,3,2.1666666666666665,6,1,Exact saved-score ties; reported list uses ascending ModelID,2,0.2,2.4324324324324325,0.8222222222222222,370,0.9870466698274768,palbociclib
lineage,20,4,4,4.0,2,2,Exact saved-score ties; reported list uses ascending ModelID,4,0.2,4.864864864864865,0.8222222222222222,370,0.9912565866044135,palbociclib
xgboost,5,2,2,2.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,2,0.4,1.2162162162162162,1.6444444444444444,370,0.8591249193680209,palbociclib
xgboost,10,5,5,5.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,5,0.5,2.4324324324324325,2.0555555555555554,370,0.829830246094771,palbociclib
xgboost,20,9,9,9.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,9,0.45,4.864864864864865,1.8499999999999999,370,0.864330515553025,palbociclib
elastic_net,5,3,3,3.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,3,0.6,1.2666666666666668,2.3684210526315788,375,0.5967156983097943,trametinib
elastic_net,10,7,7,7.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,7,0.7,2.5333333333333337,2.7631578947368416,375,0.5685004949832236,trametinib
elastic_net,20,15,15,15.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,15,0.75,5.066666666666667,2.9605263157894735,375,0.5882270204619701,trametinib
lineage,5,1,2,1.6666666666666667,6,5,Exact saved-score ties; reported list uses ascending ModelID,2,0.4,1.2666666666666668,1.5789473684210527,375,0.6949747653290713,trametinib
lineage,10,5,6,5.2,5,4,Exact saved-score ties; reported list uses ascending ModelID,5,0.5,2.5333333333333337,1.9736842105263157,375,0.6343625942718274,trametinib
lineage,20,15,15,15.0,6,5,Exact saved-score ties; reported list uses ascending ModelID,15,0.75,5.066666666666667,2.9605263157894735,375,0.5715609018293982,trametinib
xgboost,5,3,3,3.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,3,0.6,1.2666666666666668,2.3684210526315788,375,0.6288298118767146,trametinib
xgboost,10,7,7,7.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,7,0.7,2.5333333333333337,2.7631578947368416,375,0.5878079423324003,trametinib
xgboost,20,13,13,13.0,1,1,Exact saved-score ties; reported list uses ascending ModelID,13,0.65,5.066666666666667,2.56578947368421,375,0.6025534241958296,trametinib
