model_id,predicted_auc,sensitivity_probability,external_response,ood_status,external_class
ACH-000570,0.74205196,0.45310274640629317,0.88839,in-distribution,intermediate
ACH-000627,0.87297994,0.36049227000527634,0.977577,in-distribution,resistant
ACH-000322,0.58097565,0.7100776817408827,0.302975,in-distribution,sensitive
ACH-000544,0.7709473,0.5792198681839267,0.779494,in-distribution,intermediate
ACH-000684,0.82901156,0.5333922420109212,0.914103,in-distribution,resistant
ACH-000896,0.84624857,0.34428270945460404,0.947363,in-distribution,resistant
ACH-000231,0.85682786,0.32300983890839696,0.755975,in-distribution,sensitive
ACH-000945,0.69454956,0.5901607778026329,0.911944,in-distribution,resistant
ACH-000890,0.7894847,0.4119510447574399,0.786328,in-distribution,intermediate
ACH-000403,0.7021606,0.7090066920104552,0.460879,in-distribution,sensitive
ACH-000420,0.9396712,0.34664328457023685,0.843205,in-distribution,intermediate
ACH-000680,0.6529942,0.7083779034434283,0.597195,in-distribution,sensitive
ACH-000756,0.8421357,0.5372671734922844,0.984478,in-distribution,resistant
ACH-000936,0.7361211,0.5602667315033718,0.882171,in-distribution,intermediate
ACH-000375,0.7503379,0.43848686438594464,0.849141,in-distribution,intermediate
ACH-000142,0.7937013,0.38023909876456186,0.852203,in-distribution,intermediate
ACH-000974,0.7683277,0.4884600406673999,0.958933,in-distribution,resistant
ACH-000243,0.6745672,0.7083150368325543,0.859892,in-distribution,intermediate
ACH-000696,0.93694973,0.352897891558046,0.949437,in-distribution,resistant
ACH-001190,0.6442402,0.7036649320918704,0.478973,in-distribution,sensitive
ACH-000783,0.9396278,0.33700838760353197,0.976296,in-distribution,resistant
ACH-000647,0.7554433,0.545456696921835,0.830388,in-distribution,intermediate
ACH-000965,0.8459238,0.3695886153300257,0.72678,in-distribution,sensitive
ACH-000450,0.67188656,0.6863114866966207,0.312138,in-distribution,sensitive
ACH-000835,0.8561289,0.31356904457999474,0.83003,in-distribution,intermediate
ACH-000048,0.7557561,0.5792821802787238,0.896017,in-distribution,intermediate
ACH-000881,0.48734283,0.715200026912598,0.755629,in-distribution,sensitive
ACH-000192,0.7423321,0.4733007074823788,0.964664,in-distribution,resistant
ACH-000352,0.9971157,0.3340362394141102,0.969051,in-distribution,resistant
ACH-000416,0.88624966,0.34176305060098167,0.881872,in-distribution,intermediate
ACH-000929,0.7923342,0.6521017790179804,0.810067,in-distribution,intermediate
ACH-000948,0.7824684,0.6176700462209094,0.868605,in-distribution,intermediate
ACH-000456,0.88177747,0.4369893957543746,0.871228,in-distribution,intermediate
ACH-000878,0.76305693,0.4962658356046077,0.887515,in-distribution,intermediate
ACH-000521,0.8616912,0.3638166646872442,0.798969,in-distribution,intermediate
ACH-000849,0.78910613,0.43373339450210785,0.889739,in-distribution,intermediate
ACH-000219,0.641141,0.6775438521852761,0.327398,in-distribution,sensitive
ACH-000900,0.9566016,0.35427774764261816,0.90984,in-distribution,intermediate
ACH-000750,0.7683234,0.5010108119397497,0.553895,in-distribution,sensitive
