drug,fold,role,model_id
trametinib,1,fit,ACH-000437
trametinib,1,fit,ACH-000007
trametinib,1,fit,ACH-000516
trametinib,1,fit,ACH-000108
trametinib,1,fit,ACH-000376
trametinib,1,fit,ACH-000997
trametinib,1,fit,ACH-000528
trametinib,1,fit,ACH-000159
trametinib,1,fit,ACH-000118
trametinib,1,fit,ACH-000839
trametinib,1,fit,ACH-000018
trametinib,1,fit,ACH-000579
trametinib,1,fit,ACH-000231
trametinib,1,fit,ACH-000882
trametinib,1,fit,ACH-000510
trametinib,1,fit,ACH-000939
trametinib,1,fit,ACH-000796
trametinib,1,fit,ACH-000680
trametinib,1,fit,ACH-000845
trametinib,1,fit,ACH-000810
trametinib,1,fit,ACH-000217
trametinib,1,fit,ACH-000834
trametinib,1,fit,ACH-000766
trametinib,1,fit,ACH-000776
trametinib,1,fit,ACH-000946
trametinib,1,fit,ACH-000471
trametinib,1,fit,ACH-000535
trametinib,1,fit,ACH-000805
trametinib,1,fit,ACH-000445
trametinib,1,fit,ACH-000493
trametinib,1,fit,ACH-000911
trametinib,1,fit,ACH-000804
trametinib,1,fit,ACH-000015
trametinib,1,fit,ACH-000985
trametinib,1,fit,ACH-001190
trametinib,1,fit,ACH-000441
trametinib,1,fit,ACH-000046
trametinib,1,fit,ACH-000401
trametinib,1,fit,ACH-000732
trametinib,1,fit,ACH-000628
trametinib,1,fit,ACH-000899
trametinib,1,fit,ACH-000618
trametinib,1,fit,ACH-000319
trametinib,1,fit,ACH-000947
trametinib,1,fit,ACH-001239
trametinib,1,fit,ACH-000869
trametinib,1,fit,ACH-000096
trametinib,1,fit,ACH-000848
trametinib,1,fit,ACH-000320
trametinib,1,fit,ACH-000927
trametinib,1,fit,ACH-000201
trametinib,1,fit,ACH-000730
trametinib,1,fit,ACH-000276
trametinib,1,fit,ACH-000803
trametinib,1,fit,ACH-000433
trametinib,1,fit,ACH-000323
trametinib,1,fit,ACH-000313
trametinib,1,fit,ACH-000228
trametinib,1,fit,ACH-000444
trametinib,1,fit,ACH-000753
trametinib,1,fit,ACH-000479
trametinib,1,fit,ACH-000896
trametinib,1,fit,ACH-000022
trametinib,1,fit,ACH-000917
trametinib,1,fit,ACH-000174
trametinib,1,fit,ACH-000361
trametinib,1,fit,ACH-000758
trametinib,1,fit,ACH-000427
trametinib,1,fit,ACH-000292
trametinib,1,fit,ACH-000785
trametinib,1,fit,ACH-000836
trametinib,1,fit,ACH-000957
trametinib,1,fit,ACH-000322
trametinib,1,fit,ACH-000880
trametinib,1,fit,ACH-000473
trametinib,1,fit,ACH-000421
trametinib,1,fit,ACH-000137
trametinib,1,fit,ACH-000921
trametinib,1,fit,ACH-000476
trametinib,1,fit,ACH-001307
trametinib,1,fit,ACH-000614
trametinib,1,fit,ACH-000879
trametinib,1,fit,ACH-000791
trametinib,1,fit,ACH-000652
trametinib,1,fit,ACH-000132
trametinib,1,fit,ACH-000060
trametinib,1,fit,ACH-000693
trametinib,1,fit,ACH-000316
trametinib,1,fit,ACH-000429
trametinib,1,fit,ACH-000250
trametinib,1,fit,ACH-000192
trametinib,1,fit,ACH-000383
