drug,family,fold,model_id,lineage,true_auc,predicted_auc,interval_lower,interval_upper,true_sensitive,sensitivity_probability,predicted_sensitive,decision_threshold,sensitive_auc_max,resistant_auc_min,technical_eligibility,n_fit,n_calibration
trametinib,lineage,1,ACH-000351,esophagus/stomach,0.7929941926065354,0.7736518790174925,0.472006563425567,1.075297194609418,,0.47102334438459015,0,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000800,lung,1.18342483065624,0.8239625497332126,0.5223172341412871,1.1256078653251382,0.0,0.38383674960409686,0,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000123,ovary/fallopian tube,0.8648390841222668,0.7935163885927594,0.4918710730008339,1.0951617041846848,,0.4706239675602597,0,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000627,lung,0.9265498308075479,0.8239625497332126,0.5223172341412871,1.1256078653251382,0.0,0.38383674960409686,0,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000856,breast,1.045867823166265,0.913693708706158,0.6120483931142324,1.2153390242980835,0.0,0.37293090029293163,0,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000552,bowel,0.5805007071171479,0.6741056774218189,0.3724603618298934,0.9757509930137445,1.0,0.5563557905537023,1,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000222,pancreas,0.6975125733556533,0.6791805102347932,0.37753519464286767,0.9808258258267187,,0.5626689098547677,1,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000332,pancreas,0.7097746335014938,0.6791805102347932,0.37753519464286767,0.9808258258267187,,0.5626689098547677,1,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000971,bowel,0.6901957833995178,0.6741056774218189,0.3724603618298934,0.9757509930137445,,0.5563557905537023,1,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000858,lung,0.6231798392300377,0.8239625497332126,0.5223172341412871,1.1256078653251382,1.0,0.38383674960409686,0,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000331,pleura,1.0000002749426549,0.8941135949868442,0.5924682793949186,1.1957589105787698,0.0,0.4036084128518484,0,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000643,breast,0.5914927644320418,0.913693708706158,0.6120483931142324,1.2153390242980835,1.0,0.37293090029293163,0,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000784,esophagus/stomach,0.7902830560291979,0.7736518790174925,0.472006563425567,1.075297194609418,,0.47102334438459015,0,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000517,pancreas,0.70412021975815,0.6791805102347932,0.37753519464286767,0.9808258258267187,,0.5626689098547677,1,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000748,bone,0.8212377475456174,1.0523154919004316,0.7506701763085061,1.3539608074923573,,0.3886693460591178,0,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000040,cns/brain,0.9758930460438825,0.8320522482891209,0.5304069326971954,1.1336975638810465,0.0,0.44555502529244306,0,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000503,head and neck,0.5796044369629352,0.6801950158686562,0.3785497002767306,0.9818403314605817,1.0,0.5626689098547677,1,0.5,0.6391224711600416,0.9112638657586372,False,240,60
trametinib,lineage,1,ACH-000403,bowel,0.4513446962469794,0.6741056774218189,0.3724603618298934,0.9757509930137445,1.0,0.5563557905537023,1,0.5,0.6391224711600416,0.9112638657586372,False,240,60
