feature,fold_frequency,frequency_fraction,mean_rank_when_selected,stable
expression__expr::FGFBP1 (9982),3,1.0,6.0,True
expression__expr::IRF6 (3664),3,1.0,9.333333333333334,True
expression__expr::LAD1 (3898),2,0.6666666666666666,4.5,False
expression__expr::MAGEA12 (4111),2,0.6666666666666666,7.0,False
expression__expr::IGFBP4 (3487),2,0.6666666666666666,9.0,False
expression__expr::CYP24A1 (1591),2,0.6666666666666666,10.0,False
expression__expr::S100A14 (57402),2,0.6666666666666666,10.5,False
expression__expr::LSR (51599),2,0.6666666666666666,14.5,False
expression__expr::MAL2 (114569),1,0.3333333333333333,1.0,False
expression__expr::FABP5 (2171),1,0.3333333333333333,2.0,False
expression__expr::LAMA3 (3909),1,0.3333333333333333,2.0,False
expression__expr::S100A4 (6275),1,0.3333333333333333,3.0,False
expression__expr::RAB25 (57111),1,0.3333333333333333,3.0,False
expression__expr::TMPRSS4 (56649),1,0.3333333333333333,4.0,False
expression__expr::PMP22 (5376),1,0.3333333333333333,4.0,False
expression__expr::MMP7 (4316),1,0.3333333333333333,5.0,False
expression__expr::DSP (1832),1,0.3333333333333333,6.0,False
expression__expr::CLDN1 (9076),1,0.3333333333333333,7.0,False
expression__expr::SPINT1 (6692),1,0.3333333333333333,7.0,False
copy_number__cn::UGT2B17 (7367),1,0.3333333333333333,7.0,False
expression__expr::ANXA3 (306),1,0.3333333333333333,8.0,False
expression__expr::LGALS1 (3956),1,0.3333333333333333,8.0,False
expression__expr::DMKN (93099),1,0.3333333333333333,8.0,False
expression__expr::GPX2 (2877),1,0.3333333333333333,9.0,False
expression__expr::ERBB4 (2066),1,0.3333333333333333,9.0,False
expression__expr::CDH1 (999),1,0.3333333333333333,10.0,False
expression__expr::MPZL2 (10205),1,0.3333333333333333,10.0,False
expression__expr::VGLL1 (51442),1,0.3333333333333333,10.0,False
expression__expr::MSN (4478),1,0.3333333333333333,11.0,False
expression__expr::GAGE12F (100008586),1,0.3333333333333333,12.0,False
expression__expr::SELENBP1 (8991),1,0.3333333333333333,12.0,False
expression__expr::S100A6 (6277),1,0.3333333333333333,13.0,False
expression__expr::ELF3 (1999),1,0.3333333333333333,13.0,False
expression__expr::MT1E (4493),1,0.3333333333333333,13.0,False
expression__expr::MLPH (79083),1,0.3333333333333333,14.0,False
expression__expr::CYBA (1535),1,0.3333333333333333,14.0,False
expression__expr::COL17A1 (1308),1,0.3333333333333333,15.0,False
expression__expr::PI3 (5266),1,0.3333333333333333,15.0,False
expression__expr::TFF3 (7033),1,0.3333333333333333,16.0,False
expression__expr::SERPINE2 (5270),1,0.3333333333333333,17.0,False
expression__expr::ALDH1A1 (216),1,0.3333333333333333,17.0,False
expression__expr::BST2 (684),1,0.3333333333333333,17.0,False
expression__expr::PIK3CA (5290),1,0.3333333333333333,18.0,False
expression__expr::NNMT (4837),1,0.3333333333333333,18.0,False
copy_number__cn::MARCHF9 (92979),1,0.3333333333333333,18.0,False
expression__expr::SFN (2810),1,0.3333333333333333,19.0,False
signatures__sig::MSIScore,1,0.3333333333333333,19.0,False
expression__expr::DCT (1638),1,0.3333333333333333,19.0,False
copy_number__cn::OR4C11 (219429),1,0.3333333333333333,20.0,False
expression__expr::GNG11 (2791),1,0.3333333333333333,20.0,False
