feature,fold_frequency,frequency_fraction,mean_rank_when_selected,stable
expression__expr::S100A1 (6271),2,0.6666666666666666,4.0,False
expression__expr::SLFN11 (91607),2,0.6666666666666666,4.0,False
expression__expr::SLC28A1 (9154),2,0.6666666666666666,11.0,False
expression__expr::SLC29A1 (2030),2,0.6666666666666666,11.5,False
expression__expr::MYL9 (10398),1,0.3333333333333333,1.0,False
expression__expr::MUC1 (4582),1,0.3333333333333333,1.0,False
expression__expr::NUPR1 (26471),1,0.3333333333333333,2.0,False
expression__expr::AKR1C3 (8644),1,0.3333333333333333,2.0,False
expression__expr::LRATD2 (157638),1,0.3333333333333333,2.0,False
expression__expr::AP1M2 (10053),1,0.3333333333333333,3.0,False
expression__expr::FXYD3 (5349),1,0.3333333333333333,3.0,False
expression__expr::CD70 (970),1,0.3333333333333333,4.0,False
expression__expr::CRYAB (1410),1,0.3333333333333333,4.0,False
expression__expr::S100A6 (6277),1,0.3333333333333333,5.0,False
copy_number__cn::RRM1 (6240),1,0.3333333333333333,5.0,False
copy_number__cn::VSTM2A (222008),1,0.3333333333333333,6.0,False
copy_number__cn::RLF (6018),1,0.3333333333333333,6.0,False
expression__expr::PLIN2 (123),1,0.3333333333333333,6.0,False
expression__expr::RPS4Y1 (6192),1,0.3333333333333333,7.0,False
expression__expr::PDLIM4 (8572),1,0.3333333333333333,7.0,False
expression__expr::FN1 (2335),1,0.3333333333333333,8.0,False
expression__expr::DPYSL3 (1809),1,0.3333333333333333,8.0,False
expression__expr::PMEL (6490),1,0.3333333333333333,8.0,False
expression__expr::FABP5 (2171),1,0.3333333333333333,9.0,False
expression__expr::SERPINE2 (5270),1,0.3333333333333333,9.0,False
expression__expr::MAGEA12 (4111),1,0.3333333333333333,9.0,False
expression__expr::GJA1 (2697),1,0.3333333333333333,10.0,False
expression__expr::HTRA1 (5654),1,0.3333333333333333,10.0,False
expression__expr::C19orf33 (64073),1,0.3333333333333333,11.0,False
expression__expr::AKR1C2 (1646),1,0.3333333333333333,11.0,False
expression__expr::SERPINB5 (5268),1,0.3333333333333333,11.0,False
expression__expr::ARHGDIB (397),1,0.3333333333333333,12.0,False
expression__expr::GAL (51083),1,0.3333333333333333,12.0,False
expression__expr::LOX (4015),1,0.3333333333333333,13.0,False
expression__expr::KRT14 (3861),1,0.3333333333333333,13.0,False
expression__expr::CD24 (100133941),1,0.3333333333333333,13.0,False
expression__expr::ABCC3 (8714),1,0.3333333333333333,14.0,False
expression__expr::AKR1B10 (57016),1,0.3333333333333333,14.0,False
expression__expr::XAGE1B (653067),1,0.3333333333333333,14.0,False
expression__expr::CAPG (822),1,0.3333333333333333,15.0,False
expression__expr::TPM2 (7169),1,0.3333333333333333,15.0,False
expression__expr::COL6A1 (1291),1,0.3333333333333333,15.0,False
expression__expr::UCHL1 (7345),1,0.3333333333333333,16.0,False
copy_number__cn::HEYL (26508),1,0.3333333333333333,16.0,False
expression__expr::MCAM (4162),1,0.3333333333333333,16.0,False
expression__expr::SPINT2 (10653),1,0.3333333333333333,17.0,False
copy_number__cn::MARCHF9 (92979),1,0.3333333333333333,17.0,False
expression__expr::HMGA2 (8091),1,0.3333333333333333,17.0,False
expression__expr::CD68 (968),1,0.3333333333333333,18.0,False
expression__expr::SNCG (6623),1,0.3333333333333333,18.0,False
expression__expr::CA12 (771),1,0.3333333333333333,18.0,False
expression__expr::IFITM3 (10410),1,0.3333333333333333,19.0,False
expression__expr::IGFBP3 (3486),1,0.3333333333333333,19.0,False
expression__expr::RAB34 (83871),1,0.3333333333333333,20.0,False
expression__expr::TFPI (7035),1,0.3333333333333333,20.0,False
expression__expr::JUP (3728),1,0.3333333333333333,20.0,False
