feature,fold_frequency,frequency_fraction,mean_rank_when_selected,stable
expression__expr::RB1 (5925),3,1.0,6.333333333333333,True
expression__expr::GSTM1 (2944),2,0.6666666666666666,2.0,False
expression__expr::FABP5 (2171),2,0.6666666666666666,2.5,False
expression__expr::CDK6 (1021),2,0.6666666666666666,4.5,False
expression__expr::S100A4 (6275),2,0.6666666666666666,5.5,False
copy_number__cn::UGT2B17 (7367),2,0.6666666666666666,7.5,False
copy_number__cn::RB1 (5925),2,0.6666666666666666,12.0,False
expression__expr::CAV1 (857),2,0.6666666666666666,12.5,False
expression__expr::RBP1 (5947),2,0.6666666666666666,14.5,False
expression__expr::KRT81 (3887),2,0.6666666666666666,17.0,False
expression__expr::MUC1 (4582),1,0.3333333333333333,1.0,False
expression__expr::CDKN2B (1030),1,0.3333333333333333,2.0,False
expression__expr::HLA-B (3106),1,0.3333333333333333,4.0,False
expression__expr::CRABP2 (1382),1,0.3333333333333333,4.0,False
expression__expr::MFAP5 (8076),1,0.3333333333333333,5.0,False
expression__expr::BEX1 (55859),1,0.3333333333333333,5.0,False
expression__expr::CEACAM6 (4680),1,0.3333333333333333,6.0,False
expression__expr::E2F1 (1869),1,0.3333333333333333,7.0,False
expression__expr::COL17A1 (1308),1,0.3333333333333333,7.0,False
expression__expr::NUPR1 (26471),1,0.3333333333333333,8.0,False
expression__expr::GPX3 (2878),1,0.3333333333333333,8.0,False
copy_number__cn::LYRM9 (201229),1,0.3333333333333333,9.0,False
copy_number__cn::RPL19 (6143),1,0.3333333333333333,9.0,False
copy_number__cn::MYCN (4613),1,0.3333333333333333,10.0,False
expression__expr::SMIM22 (440335),1,0.3333333333333333,10.0,False
expression__expr::RPS4Y1 (6192),1,0.3333333333333333,11.0,False
expression__expr::LDHB (3945),1,0.3333333333333333,11.0,False
copy_number__cn::LCE1D (353134),1,0.3333333333333333,11.0,False
copy_number__cn::GSDMA (284110),1,0.3333333333333333,12.0,False
expression__expr::QPCT (25797),1,0.3333333333333333,12.0,False
copy_number__cn::CCND2 (894),1,0.3333333333333333,12.0,False
expression__expr::ICAM1 (3383),1,0.3333333333333333,13.0,False
expression__expr::DPYSL3 (1809),1,0.3333333333333333,13.0,False
copy_number__cn::OR4K5 (79317),1,0.3333333333333333,14.0,False
expression__expr::NRCAM (4897),1,0.3333333333333333,14.0,False
expression__expr::CADM1 (23705),1,0.3333333333333333,14.0,False
expression__expr::RARRES2 (5919),1,0.3333333333333333,15.0,False
expression__expr::CD70 (970),1,0.3333333333333333,15.0,False
expression__expr::CCND1 (595),1,0.3333333333333333,16.0,False
expression__expr::ASS1 (445),1,0.3333333333333333,16.0,False
expression__expr::CDKN2A (1029),1,0.3333333333333333,16.0,False
expression__expr::L1CAM (3897),1,0.3333333333333333,17.0,False
copy_number__cn::CDKN2B (1030),1,0.3333333333333333,17.0,False
expression__expr::PLAC8 (51316),1,0.3333333333333333,17.0,False
copy_number__cn::SIGLEC5 (8778),1,0.3333333333333333,18.0,False
copy_number__cn::CCND3 (896),1,0.3333333333333333,18.0,False
copy_number__cn::NEUROD2 (4761),1,0.3333333333333333,19.0,False
copy_number__cn::CYRIA (81553),1,0.3333333333333333,19.0,False
expression__expr::SERPINE1 (5054),1,0.3333333333333333,20.0,False
