feature,fold_frequency,frequency_fraction,mean_rank_when_selected,stable
expression__expr::FSTL1 (11167),3,1.0,7.0,True
expression__expr::UCHL1 (7345),3,1.0,7.666666666666667,True
expression__expr::PLAT (5327),3,1.0,8.333333333333334,True
expression__expr::IL1B (3553),2,0.6666666666666666,6.0,False
expression__expr::SPRY2 (10253),2,0.6666666666666666,6.5,False
expression__expr::NRAS (4893),2,0.6666666666666666,8.0,False
expression__expr::PRSS3 (5646),2,0.6666666666666666,8.5,False
expression__expr::FXYD3 (5349),2,0.6666666666666666,8.5,False
expression__expr::DKK1 (22943),2,0.6666666666666666,9.0,False
expression__expr::MMP14 (4323),2,0.6666666666666666,9.5,False
expression__expr::CLDN3 (1365),2,0.6666666666666666,11.5,False
copy_number__cn::ZNF684 (127396),2,0.6666666666666666,16.5,False
expression__expr::LDOC1 (23641),1,0.3333333333333333,1.0,False
expression__expr::FGFR1 (2260),1,0.3333333333333333,3.0,False
expression__expr::DUSP6 (1848),1,0.3333333333333333,4.0,False
expression__expr::CCN1 (3491),1,0.3333333333333333,4.0,False
expression__expr::TIMP3 (7078),1,0.3333333333333333,5.0,False
expression__expr::GJB1 (2705),1,0.3333333333333333,6.0,False
expression__expr::SULF2 (55959),1,0.3333333333333333,7.0,False
expression__expr::LUM (4060),1,0.3333333333333333,8.0,False
expression__expr::LAMC2 (3918),1,0.3333333333333333,8.0,False
expression__expr::QPRT (23475),1,0.3333333333333333,9.0,False
expression__expr::TUBA1A (7846),1,0.3333333333333333,9.0,False
copy_number__cn::CSDE1 (7812),1,0.3333333333333333,9.0,False
expression__expr::EREG (2069),1,0.3333333333333333,10.0,False
expression__expr::IGFBP5 (3488),1,0.3333333333333333,10.0,False
expression__expr::PLTP (5360),1,0.3333333333333333,11.0,False
expression__expr::FHL1 (2273),1,0.3333333333333333,11.0,False
signatures__sig::CIN,1,0.3333333333333333,12.0,False
expression__expr::SDC2 (6383),1,0.3333333333333333,12.0,False
expression__expr::VCAN (1462),1,0.3333333333333333,13.0,False
expression__expr::NES (10763),1,0.3333333333333333,13.0,False
expression__expr::KLK10 (5655),1,0.3333333333333333,15.0,False
expression__expr::PXDN (7837),1,0.3333333333333333,15.0,False
expression__expr::SERPINA3 (12),1,0.3333333333333333,15.0,False
expression__expr::MFAP5 (8076),1,0.3333333333333333,16.0,False
copy_number__cn::KRTAP9-6 (100507608),1,0.3333333333333333,16.0,False
expression__expr::ASS1 (445),1,0.3333333333333333,18.0,False
expression__expr::MIA (8190),1,0.3333333333333333,18.0,False
copy_number__cn::NRAS (4893),1,0.3333333333333333,18.0,False
expression__expr::COL9A3 (1299),1,0.3333333333333333,19.0,False
copy_number__cn::NACA2 (342538),1,0.3333333333333333,19.0,False
expression__expr::AMIGO2 (347902),1,0.3333333333333333,19.0,False
expression__expr::UPK1B (7348),1,0.3333333333333333,20.0,False
expression__expr::COL17A1 (1308),1,0.3333333333333333,20.0,False
